구분,항목,단위,2014.01 월,2014.02 월,2014.03 월,2014.04 월,2014.05 월,2014.06 월,2014.07 월,2014.08 월,2014.09 월,2014.10 월,2014.11 월,2014.12 월,2015.01 월,2015.02 월,2015.03 월,2015.04 월,2015.05 월,2015.06 월,2015.07 월,2015.08 월,2015.09 월,2015.10 월,2015.11 월,2015.12 월,2016.01 월,2016.02 월,2016.03 월,2016.04 월,2016.05 월,2016.06 월,2016.07 월,2016.08 월,2016.09 월,2016.10 월,2016.11 월,2016.12 월,2017.01 월,2017.02 월,2017.03 월,2017.04 월,2017.05 월,2017.06 월,2017.07 월,2017.08 월,2017.09 월,2017.10 월,2017.11 월,2017.12 월,2018.01 월,2018.02 월,2018.03 월,2018.04 월,2018.05 월,2018.06 월,2018.07 월,2018.08 월,2018.09 월,2018.10 월,2018.11 월,2018.12 월,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월,2022.07 월,2022.08 월,2022.09 월,2022.10 월,2022.11 월,2022.12 월,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,Unnamed: 123
안양,월평균,,.01,0.015,0.025,0.031,0.042,0.035,0.032,0.024,0.021,0.017,.013,.011,0.011,0.016,.02,.026,0.033,0.038,0.028**,0.026,.021,.017,.011,.008,.012,.017,.024,.03,.039,.038,.03,.035,.027,.016,.013,.008,.03,0.017,0.036,0.034,0.04,0.041,.032,.024,.024,.017,.013,.01,.012,.017,.027,.03,.035,.036,0.025,.029,.024,.014,.009,.01,.01,.015,0.024,.026,0.043,.039,.034,.034,0.022,.019,.012,.01,.012,.019,.028,.038,.038,.049,.035,.022,.028,.021,.015,.013,.014,.022,.025,.037,.036,.041,.038,.033,.03,.021,.017,.013,.015,.025,.027,.042,.048,.04,.038,.031,.031,.023,.017,.014,0.0147,.0194,.032,.0369,.0405,.0468,.039,.035,.0305,.0251,.0214,.0171,
성남,월평균,,.008,0.015,0.024,0.027,0.039,0.034,0.031,0.024,0.021,0.016,.012,.01,0.01,0.016,.02,.026,0.032,0.037,.027,0.027,.023,.016,.011,.008,.011,.016,.021,.029,.039,.034,.024,.029,.025,.016,.013,.009,.041,0.016,0.043,0.032,0.035,0.037,.024,.02,.024,.016,.013,.011,.012,.018,.027,.034,.036,.038,0.026,.028,.024,.015,.01,.011,.011,.017,0.028,.03,0.045,.04,.032,.029,0.021,.018,.011,.01,.013,.017,.027,.038,.035,.047,.03,.02,.027,.02,.014,.014,.015,.023,.026,.038,.036,.042,.036,.033,.031,.022,.017,.013,.014,.026,.028,.042,.046,.038,.037,.031,.031,.022,.017,.014,0.0166,.0217,.0346,.0401,.0415,.0479,.0358,.033,.0294,.0239,.0227,.0184,
의정부,월평균,,.012,0.019,0.028,0.033,0.044,0.037,0.034,0.027,0.025,0.016,.012,.012,0.013,0.019,.025,.033,0.042,0.048,.034,0.033,.025,.02,.012,.009,.013,.019,.026,.033,.043,.04,.027,.029,.026,.018,.013,.01,.032,0.019,0.032,0.037,0.043,0.045,.033,.026,.022,.014,.011,.012,.018,.029,.036,.046,.043,.044,0.026,.032,.029,.017,.012,.013,.014,.022,0.031,.038,0.052,.044,.036,.032,0.023,.02,.013,.012,.014,.02,.03,.041,.041,.046,.032,.021,.026,.021,.013,.012,.013,.021,.031,.042,.04,.044,.039,.033,.029,.02,.017,.014,.017,.028,.03,.043,.049,.038,.034,.029,.025,.019,.015,.014,0.0138,.017,.0311,.034,.0384,.0421,.0338,.0298,.0266,.0226,.0239,.0197,
광명,월평균,,.011,0.015,0.028,0.031,0.045,0.039,0.036,0.025,0.023,0.017,.013,.012,0.012,0.019,.024,.03,0.037,0.041,.03,0.031,.026,.02,.012,.01,.015,.02,.027,.032,.042,.039,.028,.031,.027,.017,.014,.01,.033,0.019,0.037,0.036,0.04,0.04,.031,.024,.027,.019,.014,.012,.014,.019,.027,.031,.035,.035,0.023,.03,.026,.017,.011,.012,.012,.018,0.028,.029,0.046,.038,.036,.038,0.026,.023,.014,.013,.015,.021,.031,.041,.039,.05,.032,.022,.029,.022,.016,.016,.015,.024,.026,.038,.039,.043,.04,.034,.032,.023,.017,.015,.018,.028,.029,.045,.05,.04,.04,.033,.034,.025,.018,.016,0.017,.0218,0.0359*,0.0418*,.0433,.0492,.0382,.0349,.031,.0275,.0243,.0191,
안산,월평균,,.012,0.016,0.029,0.032,0.045,0.04,0.037,0.031,0.026,0.02,.015,.013,0.013,0.021,.025,.031,0.038,0.042,.033,0.033,.028,.022,.013,.01,.015,.02,.025,.03,.038,.039,.027,.03,.03,.019,.016,.011,.035,0.021,0.035,0.036,0.039,0.04,.03,.026,.028,.021,.016,.013,.014,.02,.029,.034,.038,.038,0.023,.03,.028,.02,.013,.014,.015,.02,0.032,.032,0.046,.039,.032,.034,0.025,.022,.015,.013,.016,.021,.03,.039,.037,.043,.034,0.02*,0.030*,.023,.017,.016,.016,.024,.029,.04,.041,.044,.039,.033,.03,.023,.019,.015,.016,.026,.027,.041,.048,.036,.036,.029,.032,.023,.019,.015,0.0169,.021,.0336,.0378,.0392,.0451,.0348,.032,.0302,.026,.0231,.0184,
평택,월평균,,.011,0.016,0.024,0.028,0.039,0.034,0.027,0.025,0.026,0.019,.014,.012,0.014,0.022,.024,.029,0.036,0.041,.032,0.034,.031,.027,.015,.011,.016,.021,.027,.032,.047,.045,.032,.035,.032,.019,.015,.012,.028,0.023,0.028,0.034,0.043,0.049,.034,.027,.03,.022,.018,.014,.016,.023,.034,0.036*,0.037*,.037,0.025,.028,.026,.02,.014,.014,.015,.021,0.032,.032,0.05,.045,.038,.039,0.028,.022,.016,.014,.017,.022,.033,.044,.043,.048,.034,.024,.03,.024,.017,.016,.017,.026,.031,.043,.043,.047,.038,.035,.032,.024,.02,.015,.017,.028,.03,.043,.051,.04,.041,.032,.034,.027,.02,.015,0.0178,.0222,.0359,.0406,.0453,.0549,.0397,.0396,.0365,.0293,.0254,.0209,
과천,월평균,,.01,0.015,0.025,0.028,0.042,0.034,0.031,0.022,0.019,0.016,.013,.013,0.012,0.017,.022,.027,0.033,0.036,.027,0.027,.021,.018,.011,.009,.014,.019,.024,.031,.038,.036,.024,.027,.022,.015,.013,.009,.035,0.018,0.037,0.033,0.036,0.037,.025,.02,.022,.016,.013,.011,.013,.017,.024,.029,.032,.032,0.022,.025,.021,.015,.009,.011,.011,.016,0.027,.028,0.044,.038,.03,.032,0.021,.018,.012,.011,.013,.018,.028,.04,.036,.048,.031,.02,.028,.021,.016,.015,.017,.024,.027,.039,.037,.041,.034,.029,.028,.02,.017,.014,.015,.028,0.029**,0.041*,.043,.034,.036,.029,.029,.021,.016,.015,0.0162,.0208,.0327,.0424,.0431,.0493,.0366,.0328,.0282,.0234,.022,.0148,
구리,월평균,,.012,0.021,0.029,0.034,0.045,0.042,0.037,0.028,0.025,0.019,.016,.015,0.014,0.02,.026,.033,0.04,0.045,.034,0.033,.025,0.017*,.015,.011,.014,.02,.026,.034,.042,.041,.03,.033,.025,.018,.014,.011,.032,0.02,0.035,0.036,0.039,0.041,.03,.025,.024,.019,.015,.012,.015,.021,.026,.034,.036,.037,0.026,.03,.023,.016,.011,.011,.012,.018,0.027,.031,0.046,0.040*,.036,.032,0.024,.021,.013,.012,.016,.021,.031,.038,.037,.046,.03,.022,.028,.022,.017,.015,.016,.025,.028,.035,.035,.041,.039,.032,.029,.022,.017,.014,.015,.026,.025,.038,.043,.035,.031,.031,.026,.019,.017,.013,0.0134,.0186,.0281,.031,.0352,.0396,.0328,.0288,.0244,.0197,.0197,.0158,
의왕,월평균,,.009,0.013,0.021,0.026,0.036,0.035,0.031,0.024,0.02,0.016,.011,.011,0.01,0.016,.02,.025,0.031,0.037,.027,0.025,.022,.015,0.012**,.007,.011,.014,.022,.03,.037,.036,.025,.029,.024,.015,.012,.008,.037,0.015,0.045,0.029,0.032,0.035,.026,.022,.022,.016,.011,.009,.01,.014,.025,.029,.033,.032,0.023,.028,.024,.015,.009,.01,.01,.014,0.023,.028,0.042,.04,.033,.032,0.023,.02,.013,.009,.011,.017,.025,.039,.04,.047,.032,.023,.03,.023,.017,.014,.016,.024,.027,0.040**,.037,.041,.037,.031,.029,.023,.017,.013,.015,.026,.027,.043,.05,.037,.037,.029,.032,.023,.017,.014,0.0157,.0201,.0343,.0397,.0414,.0474,.0346,.0313,.0286,.0241,.0222,.0183,
고양,월평균,,.012,0.021,0.027,0.03,0.036,0.035,0.036,0.028,0.024,0.019,.016,.015,0.015,0.02,.023,.029,0.038,0.042,.037,0.035,.028,.024,.016,.012,.017,.021,.026,.03,.04,.038,.027,.031,.031,.021,.017,.012,.026,0.022,0.028,0.035,0.039,0.04,.031,.028,.03,.023,.016,.013,.016,.021,.026,.03,.035,.037,0.023,.031,.028,.02,.014,.014,.015,.022,0.032,.035,0.048,.044,.037,.034,0.027,.025,.016,.015,.019,.023,.031,.04,.04,.047,.034,.029,.031,.027,.018,.016,.016,.024,.031,.042,.041,.045,.04,.033,0.029*,.022,.018,.014,.018,.027,.03,.041,.047,.036,.038,.033,.031,.023,.019,.017,0.0176,.0259,.0375,.0404,.0442,.0499,.0411,.0348,.0287,.0257,.0235,.0205,
광주,월평균,,.008,0.016,0.021,0.027,0.036,0.034,0.032,0.027,0.021,0.018,.011,.011,0.01,0.014,.019,.025,0.031,0.037,.029,0.028,.02,.014,.012,.009,.011,.015,.021,.033,.036,.036,.024,.029,.023,.014,.01,.009,.041,0.016,0.042,0.033,0.036,0.039,.025,0.022**,.017,.013,.008,.006,.007,.011,.02,.026,.032,.033,0.025,.029,.021,.013,.007,.008,.008,.012,0.022,.027,0.044,.041,.034,.032,0.021,.016,.009,.006,.01,.016,.024,.036,.036,.048,.031,.021,.027,.018,.014,.012,.014,.021,.027,.036,.034,.038,.032,.03,.027,.019,.016,.013,.013,.027,.028,.044,.05,.039,.035,.029,.026,.02,.015,.013,0.0148,.0197,.0304,.0371,.0401,.0471,.0333,.0306,.0273,.0192,.0205,.0161,
군포,월평균,,.01,0.014,0.024,0.031,0.041,0.037,0.035,0.027,0.023,0.017,.012,.012,0.011,0.018,.02,.023,0.034,0.038,.029,0.032,.027,.019,.013,.01,.016,.023,.028,.035,.044,.041,.028,.035,.029,.018,.014,.011,.039,0.02,0.039,0.036,0.04,0.044,.031,.026,.023,.017,.013,.01,.011,.018,.025,.031,.039,.037,0.025,.029,.025,.017,.01,.011,.013,.018,0.03,.032,0.049,.046,.041,0.034*,0.024,.022,.014,.012,.015,.021,.03,.043,.041,.051,.036,.023,.03,.023,.018,.016,.016,.023,.027,.04,.036,.041,.038,.033,.029,.022,.017,.013,.017,.026,.027,.039,.044,.035,.038,.031,.029,.021,.017,.015,0.0157,.0201,.0334,.0389,.0422,.05,.0384,.0359,.034,.0271,.0237,.0183,
시흥,월평균,,.012,0.015,0.027,0.03,0.043,0.038,0.035,0.029,0.025,0.019,.015,.014,0.013,0.019,.022,.027,0.036,0.039,.031,0.035,.029,.024,.013,.012,.016,.022,.028,.032,.044,.042,.028,.033,.03,.018,.015,.012,.038,0.021,0.039,0.035,0.04,0.039,.031,.026,.029,.021,.017,.013,.014,.021,.028,.032,.037,.037,0.022,.031,.027,.019,.012,.013,.014,.019,0.029,.03,0.048,.041,.035,.037,0.025,.022,.015,.012,.015,.021,.03,.042,.042,.049,.034,.023,.031,.023,.017,.015,0.016*,.025,.029,.039,.041,.044,.04,.034,.03,.022,.018,.015,.017,.026,.025,.039,.048,.038,.034,.029,.029,.02,.016,.013,0.0154,.0197,.0322,.0364,.0397,.0464,.0378,.0331,.0289,.024,.022,.0165,
부천,월평균,,.01,0.013,0.022,0.023,0.035,0.034,0.034,0.025,0.024,0.018,.014,.013,0.013,0.018,.024,.029,0.036,0.04,.031,0.029,.026,.021,.012,.01,.015,.019,.025,.03,.039,.036,.025,.03,.03,.018,.015,.011,.034,0.019,0.036,0.031,0.034,0.034,.027,.023,.027,.02,.014,.011,.013,.017,.022,.024,0.034*,.036,0.022,.03,.027,.018,.013,.012,.013,.019,0.029,.029,0.043,.038,.031,.034,0.023,.02,.013,.011,.014,.019,.027,.036,.036,.043,.033,.028,.027,.023,.015,.014,.014,.021,.025,.037,.038,.04,.044,.036,.03,.022,.017,.013,.016,.024,.026,.039,.046,.035,.038,.029,.03,.023,.016,.015,0.0147,.0205,.0325,.0362,.04,.0479,.0406,.0325,.0312,.0262,.0223,.0161,
남양주,월평균,,.011,0.023,0.027,0.032,0.043,0.038,0.034,0.027,0.025,0.02,.014,.013,0.013,0.019,.023,.033,0.037,0.043,.029,0.03,.029,.021,.017,.011,.014,.019,.024,.034,.04,.037,.024,.027,.028,.021,.016,.011,.029,0.019,0.03,0.035,0.038,0.044,.026,.023,.027,.021,.014,.012,.015,.021,.029,.036,.038,.04,0.029,.033,.029,0.020*,.014,.014,.014,.019,0.03,.033,0.046,.042,.033,.028,0.024,.022,.014,.012,.016,.02,.029,.037,.036,.044,.029,.021,.027,.021,.016,.014,.017,.023,.028,.039,.037,.041,.033,.03,.03,.021,.018,.014,.017,.028,.03,.043,.048,.036,.032,.03,.03,.022,.018,.016,0.0168,.0228,.0337,.0374,.0418,.0439,.0335,.0308,.0286,.0242,.0237,.0202,
용인,월평균,,.009,0.015,0.024,0.029,0.04,0.038,0.034,0.025,0.022,0.017,.012,.01,0.01,0.016,.02,.026,0.033,0.037,.027,0.032,.025,.017,.012,.007,.01,.015,.02,.028,.034,.034,.026,.03,.024,.015,.012,.008,.036,0.015,0.037,0.028,0.031,0.033,.025,.02,.021,.015,.012,.009,.011,.014,.023,.029,.032,.036,0.022,.026,.022,.014,.008,.01,.01,.015,0.026,.029,0.048,.042,.032,.03,0.022,.019,.012,.009,.013,.018,.026,.038,.04,.048,.031,.022,.028,.02,.016,.013,.017,.024,.029,.042,.039,.043,.034,.032,.029,.02,.016,.013,.013,.025,.027,.043,.05,.041,.038,.031,.03,.021,.017,.013,0.0164,.0213,.0341,.0406,.0443,.0512,.0361,.034,.0308,.0224,.0216,.0173,
김포,월평균,,.014,0.024,0.033,0.04,0.049,0.044,0.04,0.033,0.029,0.022,.018,.013,0.014,0.019,.025,.032,0.04,0.043,.033,0.033,.031,.025,.016,.013,.018,.021,.028,.034,.044,.044,.031,.037,.032,.021,.016,.014,.027,0.024,0.024,0.041,0.047,0.047,.04,.036,.033,.026,.017,.013,.019,.024,.029,.037,.039,.038,0.022,.033,.029,.023,.017,.017,.017,.025,0.035,.038,0.051,.046,.037,.039,0.027,.028,.018,.016,.022,.025,.035,.042,.044,.049,.035,.023,.032,.028,.02,.019,.019,.028,.032,.043,.043,.044,.041,.035,.033,0.026*,0.022*,.018,.023,.031,.034,.046,.052,.041,.042,.034,.033,.026,.02,.018,0.0194,.0282,.0393,.0421,.0464,.0522,.0433,.035,.0333,.0295,.0267,.0215,
오산,월평균,,.01,0.016,0.025,0.033,0.044,0.042,0.035,0.028,0.023,0.018,.012,.011,0.011,0.019,.025,.029,0.039,0.043,.029,0.032,.028,.02,.013,.009,.014,.02,.026,.035,.043,.042,.025,.033,.025,.015,.013,.013,.038,0.019,0.038,0.035,0.039,0.041,.024,.017,.02,.016,.014,.012,.014,.019,.029,.032,.034,.035,0.024,.028,.027,.019,.012,.011,.013,.019,0.03,.033,0.047,.042,.031,.031,0.023,.021,.015,.011,.015,.02,.028,.036,.036,.05,.032,.019,.028,.023,.016,.015,.017,.024,.029,.04,.039,.042,.032,.03,.029,.022,.018,.014,.015,.026,.027,.04,.048,.033,0.030**,.035,.035,.023,.017,.013,0.0162,.0203,.0337,.0388,.043,.0517,.037,.0358,.034,.0253,.0231,.0191,
하남,월평균,,.007,0.018,0.025,0.03,0.043,0.038,0.035,0.028,0.023,0.019,.012,.01,0.009,0.015,.02,.03,0.033,0.04,.025,0.024,.021,.014,.012,.007,.009,.013,.018,.027,.032,.035,.024,.028,.025,.016,.012,.007,.043,0.014,0.047,0.029,0.03,0.036,.025,.022,.022,.016,.01,.008,.01,.015,.023,.028,.029,.033,0.025,.027,.026,.016,.011,.01,.009,.015,0.026,.028,0.04,.038,.032,.029,0.024,.02,.013,.011,.013,.017,.024,.028,.028,.038,.028,.021,.03,.022,.016,.014,.016,.022,.026,.038,.036,.04,.035,.034,.032,.021,.016,.013,.014,.026,.027,.044,.051,.037,.034,.029,.029,.021,.016,.014,0.0154,.0196,.03,.0367,.0393,.0442,.034,.0307,.0286,.0225,.0208,.0185,
화성,월평균,,.012,0.017,0.026,0.031,0.041,0.036,0.031,0.025,0.026,0.019,.015,.017,0.017,0.026,.03,.033,0.04,0.043,.032,0.03,.028,.023,.015,0.011*,.016,.025,.029,.036,.046,.044,.03,.038,.031,.018,.014,.011,.028,0.02,0.027,0.034,0.04,0.041,.028,.024,.024,.017,.013,.011,.014,.019,.029,.034,.038,.038,0.027,.031,.031,.021,.014,.013,.014,.021,0.033,.036,0.052,.046,.037,.038,0.029,.026,.018,.015,.018,.024,.034,.044,.043,.052,.036,.024,.031,.025,.02,.018,.02,.028,.033,.043,.043,.047,.041,.036,.033,.026,.022,.016,.018,.029,.031,.044,.051,.04,.041,.032,.036,.027,.022,.016,0.0181,.0231,.0362,.0409,.0446,.0503,.0386,.0358,.0344,.0293,.0246,.0211,
