행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
경상남도 창녕군_2020,7.0,8.0,7.0,7.0,12.0,14.0,18.0,19.0,46.0,3.0,64.0,432.0,2255.0
경상남도 고성군_2020,4.0,7.0,6.0,9.0,7.0,13.0,17.0,18.0,63.0,1.0,53.0,192.0,2157.0
경상남도 남해군_2020,6.0,6.0,6.0,8.0,11.0,11.0,17.0,19.0,39.0,2.0,55.0,191.0,1247.0
경상남도 하동군_2020,5.0,6.0,5.0,6.0,7.0,10.0,15.0,15.0,32.0,3.0,79.0,150.0,1404.0
경상남도 산청군_2020,5.0,5.0,7.0,6.0,8.0,9.0,16.0,16.0,21.0,1.0,99.0,136.0,972.0
경상남도 함양군_2020,7.0,7.0,7.0,6.0,12.0,12.0,18.0,17.0,38.0,2.0,68.0,307.0,1426.0
경상남도 거창군_2020,8.0,10.0,7.0,7.0,13.0,16.0,19.0,19.0,74.0,5.0,57.0,508.0,2941.0
경상남도 합천군_2020,6.0,5.0,5.0,5.0,9.0,9.0,16.0,15.0,29.0,2.0,64.0,215.0,1171.0
경상북도 포항시_2020,12.0,15.0,10.0,9.0,18.0,23.0,22.0,21.0,694.0,60.0,56.0,7760.0,27554.0
경상북도 경주시_2020,11.0,12.0,9.0,9.0,16.0,20.0,21.0,20.0,304.0,29.0,52.0,2737.0,11482.0
경상북도 김천시_2020,11.0,12.0,8.0,7.0,16.0,19.0,22.0,20.0,109.0,13.0,83.0,2063.0,6776.0
경상북도 안동시_2020,11.0,12.0,10.0,8.0,16.0,20.0,22.0,21.0,218.0,25.0,53.0,2070.0,8267.0
경상북도 구미시_2020,12.0,15.0,11.0,11.0,18.0,24.0,24.0,25.0,761.0,64.0,60.0,9644.0,27922.0
경상북도 영주시_2020,9.0,12.0,7.0,8.0,13.0,20.0,19.0,22.0,152.0,17.0,40.0,830.0,4743.0
경상북도 영천시_2020,10.0,10.0,6.0,6.0,15.0,17.0,16.0,16.0,81.0,9.0,62.0,650.0,3458.0
경상북도 상주시_2020,10.0,8.0,5.0,4.0,15.0,15.0,16.0,16.0,86.0,11.0,56.0,1160.0,3787.0
경상북도 문경시_2020,8.0,10.0,7.0,5.0,16.0,16.0,18.0,19.0,73.0,10.0,53.0,700.0,2791.0
경상북도 경산시_2020,10.0,14.0,10.0,11.0,17.0,22.0,23.0,23.0,341.0,28.0,51.0,4021.0,13342.0
경상북도 군위군_2020,7.0,5.0,4.0,7.0,6.0,10.0,11.0,21.0,6.0,0.0,172.0,66.0,494.0
경상북도 의성군_2020,4.0,6.0,4.0,5.0,6.0,11.0,13.0,14.0,16.0,1.0,120.0,119.0,1092.0
경상북도 청송군_2020,8.0,6.0,3.0,4.0,12.0,10.0,10.0,17.0,13.0,1.0,73.0,168.0,611.0
경상북도 영양군_2020,7.0,5.0,4.0,4.0,9.0,10.0,11.0,12.0,6.0,1.0,126.0,79.0,490.0
경상북도 영덕군_2020,8.0,7.0,4.0,6.0,9.0,13.0,12.0,18.0,24.0,0.0,78.0,148.0,1062.0
경상북도 청도군_2020,8.0,6.0,2.0,3.0,12.0,12.0,10.0,16.0,27.0,1.0,44.0,270.0,1048.0
경상북도 고령군_2020,7.0,8.0,4.0,3.0,9.0,13.0,13.0,16.0,18.0,0.0,81.0,147.0,1055.0
경상북도 성주군_2020,6.0,6.0,4.0,7.0,10.0,11.0,12.0,20.0,25.0,0.0,70.0,169.0,1157.0
경상북도 칠곡군_2020,9.0,12.0,10.0,7.0,15.0,19.0,23.0,21.0,169.0,4.0,62.0,1614.0,6824.0
경상북도 예천군_2020,8.0,10.0,4.0,9.0,16.0,16.0,12.0,18.0,62.0,5.0,52.0,589.0,2088.0
경상북도 봉화군_2020,6.0,5.0,4.0,9.0,8.0,9.0,15.0,18.0,12.0,0.0,178.0,172.0,896.0
경상북도 울진군_2020,8.0,8.0,7.0,7.0,11.0,14.0,18.0,17.0,50.0,2.0,68.0,220.0,1859.0
경상북도 울릉군_2020,9.0,6.0,6.0,7.0,10.0,10.0,18.0,17.0,5.0,0.0,184.0,82.0,281.0
광주광역시 동구_2020,10.0,10.0,8.0,8.0,17.0,17.0,20.0,21.0,179.0,106.0,26.0,1026.0,3318.0
광주광역시 서구_2020,11.0,14.0,11.0,10.0,17.0,21.0,23.0,25.0,647.0,69.0,40.0,4337.0,16292.0
광주광역시 남구_2020,11.0,14.0,10.0,10.0,19.0,21.0,22.0,25.0,560.0,39.0,35.0,3746.0,13534.0
광주광역시 북구_2020,11.0,13.0,10.0,10.0,18.0,20.0,22.0,25.0,774.0,136.0,42.0,6237.0,23067.0
광주광역시 광산구_2020,12.0,15.0,12.0,12.0,18.0,22.0,24.0,30.0,871.0,58.0,55.0,7874.0,30208.0
대구광역시 중구_2020,12.0,13.0,11.0,10.0,18.0,22.0,23.0,25.0,121.0,158.0,47.0,800.0,4254.0
대구광역시 동구_2020,12.0,13.0,10.0,10.0,16.0,22.0,21.0,25.0,362.0,36.0,60.0,5064.0,16676.0
대구광역시 서구_2020,11.0,10.0,9.0,7.0,17.0,18.0,21.0,20.0,114.0,25.0,73.0,1077.0,5445.0
대구광역시 남구_2020,11.0,11.0,8.0,7.0,19.0,19.0,21.0,20.0,94.0,29.0,64.0,1392.0,4251.0
대구광역시 북구_2020,12.0,14.0,10.0,10.0,18.0,22.0,22.0,25.0,575.0,44.0,59.0,7106.0,21942.0
대구광역시 수성구_2020,12.0,15.0,11.0,10.0,18.0,24.0,24.0,25.0,927.0,64.0,38.0,5452.0,23136.0
대구광역시 달서구_2020,13.0,13.0,11.0,9.0,19.0,22.0,24.0,24.0,912.0,79.0,51.0,8705.0,30392.0
대구광역시 달성군_2020,12.0,13.0,10.0,10.0,21.0,21.0,22.0,24.0,387.0,14.0,63.0,6055.0,16491.0
대전광역시 동구_2020,10.0,12.0,12.0,9.0,17.0,19.0,26.0,22.0,185.0,34.0,84.0,2024.0,10740.0
대전광역시 중구_2020,10.0,11.0,12.0,11.0,17.0,19.0,26.0,24.0,231.0,106.0,72.0,3107.0,11797.0
대전광역시 서구_2020,11.0,14.0,12.0,9.0,17.0,22.0,26.0,23.0,751.0,139.0,61.0,7034.0,26179.0
대전광역시 유성구_2020,11.0,13.0,12.0,10.0,17.0,21.0,25.0,24.0,520.0,49.0,74.0,6755.0,22814.0
대전광역시 대덕구_2020,10.0,11.0,10.0,9.0,16.0,18.0,22.0,21.0,203.0,19.0,66.0,2356.0,8277.0
부산광역시 중구_2020,7.0,13.0,10.0,9.0,13.0,20.0,22.0,21.0,28.0,22.0,233.0,143.0,1254.0
부산광역시 서구_2020,10.0,12.0,11.0,9.0,18.0,19.0,24.0,22.0,111.0,4.0,60.0,828.0,3677.0
부산광역시 동구_2020,12.0,13.0,11.0,8.0,20.0,20.0,24.0,21.0,43.0,21.0,108.0,822.0,2524.0
부산광역시 영도구_2020,10.0,11.0,9.0,8.0,15.0,18.0,21.0,21.0,75.0,2.0,84.0,740.0,3808.0
부산광역시 부산진구_2020,12.0,14.0,11.0,8.0,21.0,21.0,24.0,19.0,382.0,189.0,55.0,4486.0,14931.0
부산광역시 동래구_2020,11.0,16.0,13.0,10.0,19.0,23.0,27.0,25.0,552.0,50.0,40.0,3381.0,13073.0
부산광역시 남구_2020,11.0,15.0,12.0,8.0,17.0,23.0,25.0,21.0,305.0,52.0,64.0,3003.0,12484.0
부산광역시 북구_2020,11.0,14.0,10.0,9.0,17.0,21.0,23.0,23.0,374.0,37.0,61.0,3992.0,12712.0
부산광역시 해운대구_2020,11.0,15.0,13.0,11.0,18.0,23.0,25.0,25.0,700.0,36.0,47.0,4270.0,19600.0
부산광역시 사하구_2020,10.0,15.0,11.0,10.0,17.0,21.0,24.0,24.0,381.0,36.0,50.0,3323.0,14073.0
부산광역시 금정구_2020,11.0,15.0,12.0,8.0,18.0,22.0,24.0,22.0,342.0,50.0,46.0,2514.0,9608.0
부산광역시 강서구_2020,14.0,15.0,10.0,9.0,21.0,23.0,23.0,24.0,285.0,11.0,50.0,3645.0,10234.0
부산광역시 연제구_2020,12.0,16.0,11.0,9.0,23.0,23.0,24.0,24.0,271.0,39.0,50.0,1705.0,9631.0
부산광역시 수영구_2020,11.0,15.0,12.0,9.0,20.0,22.0,25.0,23.0,252.0,28.0,35.0,2007.0,6100.0
부산광역시 사상구_2020,10.0,13.0,10.0,8.0,17.0,20.0,23.0,21.0,147.0,31.0,78.0,2708.0,8006.0
부산광역시 기장군_2020,13.0,16.0,13.0,12.0,18.0,23.0,26.0,28.0,295.0,13.0,64.0,3198.0,11812.0
서울특별시 종로구_2020,11.0,11.0,8.0,8.0,18.0,19.0,21.0,20.0,99.0,144.0,68.0,1180.0,5192.0
서울특별시 중구_2020,10.0,12.0,7.0,8.0,14.0,20.0,17.0,20.0,53.0,56.0,127.0,1038.0,4990.0
서울특별시 용산구_2020,11.0,12.0,11.0,10.0,20.0,19.0,22.0,23.0,128.0,26.0,77.0,1344.0,6870.0
서울특별시 성동구_2020,12.0,11.0,11.0,8.0,19.0,19.0,22.0,19.0,246.0,43.0,70.0,2110.0,10992.0
서울특별시 광진구_2020,11.0,14.0,12.0,10.0,19.0,22.0,24.0,24.0,348.0,57.0,62.0,2470.0,14257.0
서울특별시 동대문구_2020,11.0,14.0,10.0,8.0,17.0,21.0,22.0,19.0,299.0,51.0,58.0,2849.0,13157.0
서울특별시 중랑구_2020,10.0,13.0,11.0,10.0,17.0,20.0,23.0,22.0,242.0,20.0,91.0,2700.0,14554.0
서울특별시 성북구_2020,11.0,14.0,12.0,10.0,18.0,22.0,25.0,25.0,419.0,20.0,65.0,4346.0,20086.0
서울특별시 강북구_2020,10.0,14.0,12.0,9.0,13.0,21.0,24.0,22.0,184.0,22.0,82.0,1244.0,9913.0
서울특별시 도봉구_2020,10.0,14.0,10.0,9.0,18.0,21.0,21.0,21.0,283.0,14.0,81.0,2252.0,14540.0
서울특별시 노원구_2020,11.0,14.0,12.0,10.0,17.0,21.0,23.0,22.0,671.0,47.0,61.0,5872.0,25841.0
서울특별시 은평구_2020,11.0,14.0,12.0,10.0,16.0,22.0,24.0,22.0,478.0,41.0,59.0,3551.0,20400.0
서울특별시 서대문구_2020,12.0,14.0,11.0,10.0,20.0,22.0,23.0,24.0,289.0,59.0,58.0,2371.0,12988.0
서울특별시 마포구_2020,12.0,13.0,12.0,10.0,19.0,21.0,24.0,24.0,502.0,187.0,40.0,2784.0,14375.0
서울특별시 양천구_2020,11.0,15.0,13.0,10.0,18.0,23.0,25.0,23.0,976.0,32.0,41.0,4150.0,23985.0
서울특별시 강서구_2020,11.0,14.0,10.0,9.0,18.0,22.0,22.0,22.0,643.0,51.0,54.0,5375.0,26078.0
서울특별시 구로구_2020,11.0,13.0,11.0,10.0,18.0,20.0,23.0,24.0,352.0,42.0,82.0,2905.0,18180.0
서울특별시 금천구_2020,11.0,12.0,10.0,8.0,15.0,18.0,21.0,21.0,177.0,35.0,67.0,1550.0,8339.0
서울특별시 영등포구_2020,11.0,13.0,11.0,9.0,19.0,20.0,23.0,21.0,308.0,137.0,75.0,3410.0,13537.0
서울특별시 동작구_2020,11.0,14.0,11.0,10.0,18.0,22.0,23.0,23.0,348.0,123.0,66.0,2846.0,15553.0
서울특별시 관악구_2020,11.0,13.0,11.0,9.0,15.0,20.0,23.0,21.0,348.0,83.0,63.0,2991.0,14410.0
서울특별시 서초구_2020,11.0,17.0,12.0,10.0,18.0,25.0,25.0,25.0,881.0,267.0,41.0,2467.0,22668.0
서울특별시 강남구_2020,10.0,16.0,13.0,9.0,18.0,26.0,27.0,22.0,1870.0,491.0,22.0,3260.0,25905.0
서울특별시 송파구_2020,11.0,14.0,12.0,9.0,19.0,22.0,25.0,22.0,988.0,88.0,51.0,5355.0,31373.0
서울특별시 강동구_2020,13.0,14.0,12.0,9.0,20.0,21.0,24.0,20.0,685.0,39.0,44.0,4237.0,21353.0
울산광역시 중구_2020,13.0,15.0,11.0,9.0,15.0,22.0,25.0,22.0,407.0,45.0,49.0,2701.0,11933.0
울산광역시 남구_2020,13.0,15.0,12.0,9.0,20.0,22.0,25.0,22.0,910.0,99.0,33.0,4251.0,16085.0
울산광역시 동구_2020,13.0,16.0,11.0,9.0,17.0,22.0,24.0,22.0,253.0,11.0,61.0,2214.0,10290.0
울산광역시 북구_2020,15.0,16.0,11.0,10.0,20.0,23.0,24.0,24.0,369.0,22.0,73.0,4794.0,15893.0
울산광역시 울주군_2020,12.0,14.0,11.0,12.0,15.0,21.0,24.0,27.0,373.0,14.0,60.0,2922.0,13196.0
