전라남도 장성군_2015,440,2.101,101.9,0.21,46360,3.4
전라남도 완도군_2015,379,1.767,99.4,0.1,53014,6.8
전라남도 진도군_2015,206,1.697,94.8,-0.2,32476,8.9
전라남도 신안군_2015,217,1.539,111.5,-0.81,43294,5.5
전북특별자치도 전주시_2015,5370,1.255,97.2,-0.05,652282,11.2
전북특별자치도 군산시_2015,2440,1.495,103.1,0.22,278398,3.5
전북특별자치도 익산시_2015,2297,1.341,99.5,-0.65,302061,4.5
전북특별자치도 정읍시_2015,692,1.338,97.8,-0.97,115977,4.6
전북특별자치도 남원시_2015,514,1.383,96.3,-0.82,84856,3.4
전북특별자치도 김제시_2015,476,1.268,98.2,-1.36,88721,3.7
전북특별자치도 완주군_2015,902,1.697,105.3,5.33,95303,5.9
전북특별자치도 진안군_2015,194,1.821,100.2,-0.99,26203,5.4
전북특별자치도 무주군_2015,144,1.46,98.0,-0.57,25220,4.8
전북특별자치도 장수군_2015,128,1.388,98.0,-0.11,23277,6.2
전북특별자치도 임실군_2015,189,1.634,103.1,1.07,30271,4.9
전북특별자치도 순창군_2015,186,1.475,94.3,-0.31,30248,5.2
전북특별자치도 고창군_2015,288,1.278,97.7,-0.03,60046,4.2
전북특별자치도 부안군_2015,267,1.178,98.0,-1.03,56848,5.3
제주특별자치도 제주시_2015,4364,1.494,100.2,2.72,459876,9.781897586302577
제주특별자치도 서귀포시_2015,1236,1.417,102.3,4.5,164519,4.1181024136974225
충청남도 천안시_2015,6412,1.38,103.3,1.29,605776,5.1
충청남도 공주시_2015,634,1.147,101.2,-2.02,111261,5.4
충청남도 보령시_2015,636,1.303,102.3,0.54,104754,6.7
충청남도 아산시_2015,3760,1.692,105.2,1.24,297737,7.3
충청남도 서산시_2015,1667,1.752,105.4,1.64,170099,4.3
충청남도 논산시_2015,815,1.384,100.1,-0.27,124232,6.2
충청남도 계룡시_2015,313,1.305,98.5,2.96,41730,10.2
충청남도 당진시_2015,1945,1.949,109.9,1.41,165122,7.5
충청남도 금산군_2015,292,1.29,102.4,-0.16,54879,5.7
충청남도 부여군_2015,346,1.311,98.5,-0.75,71143,6.2
충청남도 서천군_2015,251,1.213,97.1,-1.24,56910,4.5
충청남도 청양군_2015,170,1.497,99.9,0.85,32485,6.8
충청남도 홍성군_2015,613,1.354,99.7,3.02,94553,7.3
충청남도 예산군_2015,410,1.16,100.6,-1.6,83484,6.1
충청남도 태안군_2015,340,1.321,102.1,1.57,63484,4.7
충청북도 청주시_2015,8529,1.444,100.7,0.11,831912,10.3
충청북도 충주시_2015,1430,1.26,101.4,-0.11,207913,6.1
충청북도 제천시_2015,891,1.301,100.2,-0.49,136138,5.5
충청북도 보은군_2015,185,1.536,99.9,0.23,34296,6.1
충청북도 옥천군_2015,279,1.254,101.0,-0.08,52404,4.7
충청북도 영동군_2015,245,1.21,99.4,-0.21,50693,6.6
충청북도 증평군_2015,390,1.832,105.2,5.38,36671,7.5
