,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,소멸위험지수,소멸위험등급
56,경상남도 거제시_2015,14,15,14,17,21,22,29,36,395,25,72,5320,16556,3,6,100,60,-,49,9.1,2330,82.6,96.8,4.179102596792757,D
57,경상남도 양산시_2015,13,15,15,14,22,23,30,33,390,20,77,5892,17996,3,2,137,63,1,56,22,6637,96.6,95.4,2.4090986449213725,D
58,경상남도 의령군_2015,6,5,7,10,11,8,20,24,18,0,77,179,848,-,1,10,5,-,7,21.7,619,62.8,67.1,0.0,A
59,경상남도 함안군_2015,11,11,12,11,18,17,24,25,71,0,69,1034,3543,-,3,23,11,-,12,16.3,1130,52.2,91.2,0.4414867582719849,B
60,경상남도 창녕군_2015,9,8,11,10,15,14,26,25,59,4,54,606,2214,-,2,26,12,-,14,32.8,2093,67.7,97.7,0.2541644678472324,B
61,경상남도 고성군_2015,6,8,7,12,13,13,18,26,64,2,57,326,2207,-,3,20,11,-,14,16.7,924,59.2,77.3,0.107733702321091,A
62,경상남도 남해군_2015,11,8,7,10,16,13,18,23,44,0,62,257,1474,-,1,22,9,-,10,6.1,282,73.3,65.4,0.0026085997831196,A
63,경상남도 하동군_2015,8,7,6,9,11,12,18,24,38,4,88,236,1698,-,2,20,9,-,8,11.4,575,66.5,53.8,0.3398246139288148,B
64,경상남도 산청군_2015,8,6,7,6,12,11,17,20,23,1,108,198,1142,-,-,12,5,-,12,1,37,66.1,45.6,0.197995749679711,B
65,경상남도 함양군_2015,11,9,9,10,16,13,22,25,38,2,85,407,1685,-,1,22,9,-,9,3.4,136,75.0,57.0,0.1099164673348293,A
66,경상남도 거창군_2015,10,10,9,11,16,16,21,24,90,7,52,590,2916,-,3,24,15,-,15,10.4,660,81.0,74.6,0.3254871603731216,B
67,경상남도 합천군_2015,7,6,8,8,12,9,19,23,39,1,62,319,1407,-,3,17,10,-,14,16.3,801,57.2,47.4,0.0,A
68,경상북도 포항시_2015,13,15,13,13,20,23,28,27,724,58,58,8519,26943,5,11,262,145,1,124,15.8,15.8,96.0,95.0,1.3590305506258058,D
69,경상북도 경주시_2015,13,13,12,12,19,20,26,27,329,20,54,3236,12185,1,13,107,63,1,66,18.1,18.1,94.0,91.0,0.4797385942786771,B
70,경상북도 김천시_2015,13,11,6,12,18,18,17,28,105,19,82,1933,6007,2,-,51,30,-,23,16,16,89.3,86.0,0.6257131218810944,C
71,경상북도 안동시_2015,13,12,11,12,19,20,25,28,200,27,58,2225,8117,3,4,78,43,1,39,30.3,30.3,93.2,91.0,0.4438218622772092,B
72,경상북도 구미시_2015,13,16,14,14,20,25,30,33,719,58,70,9712,27484,3,8,203,105,1,88,8.7,8.7,99.8,99.0,5.847614630678478,D
73,경상북도 영주시_2015,14,13,10,13,19,21,23,28,160,18,43,1148,5156,-,4,55,26,1,26,19.1,19.1,90.3,88.0,0.2391633257051284,B
74,경상북도 영천시_2015,12,10,7,11,17,18,19,25,83,7,70,763,3622,1,3,58,19,1,35,20.9,20.9,97.1,93.0,0.2377582938001661,B
75,경상북도 상주시_2015,12,9,6,5,18,16,18,21,104,10,54,1350,4133,2,1,45,22,-,21,11.2,11.2,79.2,74.0,0.1533124034436744,A
76,경상북도 문경시_2015,12,10,10,7,20,17,24,27,76,9,62,865,3064,1,2,46,16,-,15,17.2,17.2,90.8,89.0,0.2137969157883736,B
77,경상북도 경산시_2015,10,14,13,13,16,22,28,29,298,21,56,4346,12796,1,4,130,65,-,58,16.5,16.5,99.3,99.0,1.2962890492808394,C
78,경상북도 의성군_2015,9,6,5,8,11,11,14,19,20,1,126,205,1323,-,3,16,9,-,9,22,22,95.2,76.0,0.0136272368794747,A
79,경상북도 청송군_2015,10,7,3,5,16,12,10,18,16,1,76,208,743,-,1,9,5,-,9,13.4,13.4,77.3,68.0,0.1283754729779099,A
80,경상북도 영양군_2015,9,6,4,7,11,11,13,18,8,0,128,123,571,-,1,1,3,-,3,2.8,2.8,90.9,90.0,0.0,A
81,경상북도 영덕군_2015,10,8,6,10,11,14,17,23,30,0,77,174,1248,-,1,17,9,-,11,14.4,14.4,96.7,89.0,0.0477614381763845,A
82,경상북도 청도군_2015,10,7,3,8,12,13,11,20,32,1,45,280,1156,-,4,21,9,-,13,34.5,34.5,87.6,71.0,0.1078789443701482,A
83,경상북도 고령군_2015,9,9,6,8,13,14,15,20,23,0,83,248,1300,-,1,13,9,-,8,9.4,9.4,99.1,91.0,0.0700694463124178,A
84,경상북도 성주군_2015,11,6,5,8,13,11,17,20,30,0,69,221,1234,-,2,19,9,-,10,18.4,18.4,81.9,73.0,0.1907526008582882,B
85,경상북도 칠곡군_2015,13,12,12,11,18,20,26,25,180,4,63,2049,7095,-,3,45,21,-,17,15.8,15.8,95.2,90.0,1.5566164149400403,D
86,경상북도 예천군_2015,11,8,6,8,14,14,17,23,33,3,78,279,1456,-,1,15,10,-,10,13.1,13.1,91.8,78.0,0.0289112535975964,A
87,경상북도 봉화군_2015,9,6,5,4,10,11,15,16,15,0,117,214,1070,-,1,7,4,-,7,8.1,8.1,70.9,63.0,0.0990189921098213,A
88,경상북도 울진군_2015,13,9,9,11,15,15,22,24,53,3,81,351,2231,-,2,15,8,-,13,6.2,6.2,83.7,68.0,0.1938912248930138,B
89,경상북도 울릉군_2015,11,7,4,11,14,12,12,24,3,0,404,104,305,-,-,1,1,-,1,6.2,6.2,92.3,86.0,0.2279141704889121,B
90,광주광역시 동구_2015,12,11,11,14,19,19,23,32,193,119,29,803,3445,3,7,120,54,6,33,57.2,5655,99.2,100.0,0.4064905747509779,B
91,광주광역시 서구_2015,11,15,15,14,18,22,30,32,731,87,43,4732,18413,5,18,224,137,17,81,20.6,6270,99.8,100.0,2.31007050794567,D
92,광주광역시 남구_2015,11,15,13,14,18,23,29,32,486,37,41,3609,12795,3,10,118,96,14,45,27,5974,98.7,100.0,1.3522928600314068,D
93,광주광역시 북구_2015,11,14,13,15,18,21,28,34,823,124,46,6856,25016,5,23,245,167,31,83,22.2,9913,99.2,99.8,2.0037487375010583,D
94,광주광역시 광산구_2015,13,16,15,14,20,24,30,34,871,64,61,7741,32193,6,23,170,130,18,71,24.1,9659,96.7,99.5,5.058368083251393,D
95,대구광역시 중구_2015,11,14,12,13,17,21,27,33,137,144,45,784,4283,3,9,217,108,1,71,46.3,3748,100.0,100.0,0.7427790291293993,C
96,대구광역시 동구_2015,11,14,12,13,19,22,26,33,331,26,70,5247,17021,1,9,209,95,-,105,11.4,3974,98.7,99.5,0.9089624498250626,C
97,대구광역시 서구_2015,12,12,11,10,22,19,25,25,142,25,81,1398,7035,1,9,121,54,-,69,18.3,3780,100.0,100.0,0.6549635449903378,C
98,대구광역시 남구_2015,11,13,11,10,17,20,24,33,117,32,67,1601,5392,2,9,105,57,-,66,28.8,4627,100.0,100.0,0.5260261522404586,B
99,대구광역시 북구_2015,12,14,14,14,19,22,27,33,563,41,75,7820,25157,2,17,231,134,-,116,13.9,6150,99.7,99.98,2.0892042636036683,D
100,대구광역시 수성구_2015,11,16,14,15,19,24,28,35,889,45,48,6316,25671,1,19,308,163,1,193,7.9,3578,99.4,100.0,1.792096797170832,D
101,대구광역시 달서구_2015,13,14,14,13,22,22,28,33,830,53,70,9950,34231,2,33,338,189,-,177,13.5,8113,100.0,100.0,2.680683813542956,D
102,대구광역시 달성군_2015,12,13,12,13,20,20,26,32,257,7,69,3835,10793,-,6,94,41,-,43,12.1,2333,82.5,100.0,2.003096156218731,D
103,대전광역시 동구_2015,12,14,13,14,19,21,28,31,194,34,93,2967,12563,1,1,147,69,1,82,13,3116,97.97,99.98,0.835404541449332,C
104,대전광역시 중구_2015,12,13,13,17,20,21,29,37,256,95,79,4026,14086,3,4,180,93,1,90,22.9,5873,99.43,99.98,0.9588376628197705,C
105,대전광역시 서구_2015,13,16,13,13,19,23,29,33,754,97,70,8180,28324,3,21,417,216,3,195,15.6,7673,99.7,99.87,3.2822403104425444,D
106,대전광역시 유성구_2015,14,15,13,14,20,23,29,34,480,39,89,7627,23742,1,3,172,90,-,91,11.6,3884,91.36,99.75,6.013181861662981,D
107,대전광역시 대덕구_2015,12,12,13,12,19,20,27,28,247,14,73,3121,10749,2,4,113,47,-,46,15.2,2983,97.68,99.96,1.8517003283002496,D
108,부산광역시 중구_2015,9,14,13,12,19,20,27,28,33,25,269,152,1612,1,-,73,43,-,24,33,1510,100.0,100.0,0.3010238156275302,B
109,부산광역시 서구_2015,13,13,13,12,24,20,28,28,103,5,80,1130,3994,4,2,56,34,1,40,42.8,4967,100.0,100.0,0.3251638190002764,B
110,부산광역시 동구_2015,13,12,12,11,23,19,25,27,42,28,113,936,2812,3,6,78,40,1,51,33.8,3108,100.0,100.0,0.1796704159146527,B
111,부산광역시 영도구_2015,12,12,11,11,20,18,26,25,80,1,91,1062,4455,2,-,74,28,-,34,12.1,1570,100.0,100.0,0.2288098320561287,B
112,부산광역시 부산진구_2015,13,14,14,10,23,21,28,25,372,176,66,5524,16291,4,12,404,164,1,156,17.3,6586,100.0,100.0,0.915081082940735,C
113,부산광역시 동래구_2015,13,16,15,15,23,23,29,33,468,51,51,3956,12216,3,14,166,124,-,116,21.3,5811,100.0,100.0,1.1303816112128957,C
114,부산광역시 남구_2015,13,15,15,12,23,22,29,28,273,52,81,3258,12638,1,5,149,94,-,83,11.6,3271,100.0,100.0,0.83500406411167,C
115,부산광역시 북구_2015,12,14,13,14,23,21,27,32,357,39,78,4213,13956,1,9,154,86,-,71,14.8,4580,100.0,100.0,1.879010368735781,D
116,부산광역시 해운대구_2015,12,15,15,15,22,22,29,34,602,35,67,5379,21695,2,11,284,156,1,122,14.5,6125,100.0,100.0,1.5295411797998826,D
117,부산광역시 사하구_2015,12,14,15,15,21,21,29,30,404,36,56,4617,15315,-,21,170,99,-,85,22.4,7554,100.0,100.0,1.1937342244505806,C
118,부산광역시 금정구_2015,12,14,15,12,23,21,28,28,348,47,53,2961,10212,1,9,132,88,2,80,22.1,5448,100.0,100.0,0.8612065514330272,C
119,부산광역시 강서구_2015,13,12,11,10,21,20,25,24,154,4,47,1752,4323,-,1,20,18,-,10,3.3,310,85.19,100.0,2.258737379392752,D
120,부산광역시 연제구_2015,12,15,14,10,21,22,27,24,247,36,59,1636,9610,1,9,144,86,2,75,24.1,5083,100.0,100.0,1.1171549262567364,C
121,부산광역시 수영구_2015,13,15,12,15,24,22,25,32,252,23,41,2127,6588,2,8,110,68,-,81,21.6,3886,100.0,100.0,0.9125055853358393,C
122,부산광역시 사상구_2015,11,13,12,12,22,20,26,27,158,23,92,3417,9251,2,8,109,59,-,40,28.5,6779,100.0,100.0,1.3003119516320307,C
123,부산광역시 기장군_2015,14,16,15,14,22,24,28,33,183,9,85,3055,9315,1,5,71,37,1,33,13.5,2066,91.04,100.0,1.7665661011602038,D
124,서울특별시 종로구_2015,13,12,12,14,20,21,26,32,97,164,88,1238,6084,4,2,167,164,1,129,21.5,3327,100.0,100.0,0.9668910352245528,C
125,서울특별시 중구_2015,12,13,10,14,17,23,21,32,60,66,140,1204,5739,3,2,205,212,-,88,12.4,1557,100.0,100.0,0.8436422732145479,C
126,서울특별시 용산구_2015,12,13,13,14,22,22,25,31,129,34,94,1753,8210,1,2,125,107,-,62,4.4,1032,100.0,100.0,1.0900241361912202,C
127,서울특별시 성동구_2015,13,13,13,13,22,22,26,29,240,35,85,2548,12641,1,5,181,121,-,84,6,1782,100.0,100.0,1.7319638508895785,D
128,서울특별시 광진구_2015,13,15,14,15,23,23,29,33,389,57,67,3199,15760,2,3,261,153,-,118,6.9,2470,100.0,100.0,2.6143361725284127,D
129,서울특별시 동대문구_2015,12,15,13,11,20,23,26,25,297,52,70,3437,14916,5,13,235,155,1,174,17,6134,100.0,100.0,1.1615103722978248,C
130,서울특별시 중랑구_2015,12,14,14,13,21,22,28,28,282,15,96,3325,16472,2,12,222,139,-,104,7.9,3274,100.0,100.0,1.4625886858766284,D
131,서울특별시 성북구_2015,13,15,14,13,22,24,29,31,405,28,78,5440,23306,1,4,248,149,-,121,7.1,3273,100.0,100.0,1.342951990661072,D
132,서울특별시 강북구_2015,13,14,15,12,22,24,29,26,206,21,93,2103,11879,1,8,227,120,-,93,6.4,2121,100.0,100.0,0.8759298057550254,C
133,서울특별시 도봉구_2015,13,15,14,11,19,23,28,26,353,13,83,3035,17408,1,7,155,100,-,78,8.1,2832,100.0,100.0,1.2935657312685476,C
134,서울특별시 노원구_2015,13,15,15,13,20,23,29,31,734,46,72,7364,31048,3,6,334,189,2,157,6.2,3551,100.0,100.0,1.8403437722606857,D
135,서울특별시 은평구_2015,13,15,14,12,18,24,28,27,483,32,71,4600,23918,1,10,287,161,1,136,7.3,3622,100.0,100.0,1.3760664101490592,D
136,서울특별시 서대문구_2015,12,14,14,12,21,23,27,27,256,45,70,2571,13171,2,5,195,125,1,94,11.7,3641,100.0,100.0,1.2590933178034118,C
137,서울특별시 마포구_2015,13,14,14,12,22,23,28,27,412,153,58,3132,17117,-,1,337,196,1,154,1.6,629,100.0,100.0,2.104351660798661,D
138,서울특별시 양천구_2015,12,16,15,14,20,24,30,32,1002,29,46,5168,25237,2,5,267,180,3,149,6.1,2943,100.0,100.0,2.727172867188379,D
139,서울특별시 강서구_2015,12,15,13,11,20,23,26,25,673,33,58,5643,27960,3,16,325,194,1,161,5.7,3377,100.0,100.0,2.246331843668901,D
140,서울특별시 구로구_2015,13,14,13,14,22,23,27,32,332,61,101,3568,19363,2,8,251,166,2,112,9,3784,100.0,100.0,1.6564135510025224,D
141,서울특별시 금천구_2015,13,13,12,12,18,22,25,27,175,34,84,1763,9610,1,7,135,100,1,71,8.2,1935,100.0,100.0,1.4214325993206336,D
142,서울특별시 영등포구_2015,12,13,14,12,22,22,28,28,308,139,93,4013,15078,7,11,303,220,3,142,15.3,5774,100.0,100.0,1.473837510611323,D
143,서울특별시 동작구_2015,13,15,14,13,20,25,28,29,355,90,77,3706,17474,2,5,243,166,1,136,7.4,2947,100.0,100.0,1.536514323979847,D
144,서울특별시 관악구_2015,13,14,13,11,21,23,27,25,361,85,78,4549,17747,2,8,301,197,-,151,4.8,2430,100.0,100.0,1.8711148488837823,D
145,서울특별시 서초구_2015,13,17,15,13,23,27,29,31,902,279,43,3097,22817,1,10,577,327,5,280,7,3149,100.0,100.0,2.73372228390025,D
