대구광역시 남구_2015,1015,0.934,94.9,-1.54,160852,69988,3.7,100.0,100.0
대구광역시 북구_2015,3900,1.349,100.3,-0.28,443119,168265,5.6,99.7,99.98
대구광역시 수성구_2015,2603,1.013,95.7,-1.03,451786,158615,3.1,99.4,100.0
대구광역시 달서구_2015,5049,1.26,99.0,-0.6,602641,224991,5.3,100.0,100.0
대구광역시 달성군_2015,1906,1.535,104.4,4.4,192747,67912,4.2,82.5,100.0
대전광역시 동구_2015,1997,1.258,102.4,-2.32,239579,101019,4.9,97.97,99.98
대전광역시 중구_2015,1952,1.165,99.1,-1.86,256186,95581,3.7,99.43,99.98
대전광역시 서구_2015,4483,1.223,97.2,-1.05,490859,187892,5.2,99.7,99.87
대전광역시 유성구_2015,3820,1.463,101.7,2.45,335312,128450,5.2,91.36,99.75
대전광역시 대덕구_2015,1522,1.216,103.4,-2.24,196839,75453,4.6,97.68,99.96
부산광역시 중구_2015,257,0.925,96.5,-1.51,45816,21002,6.6,100.0,100.0
부산광역시 서구_2015,599,0.899,96.7,-1.74,115963,47239,7.8,100.0,100.0
부산광역시 동구_2015,482,0.929,98.6,-2.64,92069,38426,5.8,100.0,100.0
부산광역시 영도구_2015,634,0.899,98.6,-2.03,129385,52899,3.6,100.0,100.0
부산광역시 부산진구_2015,3029,1.079,96.1,-1.47,381572,154407,4.2,100.0,100.0
부산광역시 동래구_2015,1833,1.026,96.8,-1.12,272837,99415,7.7,100.0,100.0
부산광역시 남구_2015,1940,1.049,97.0,-1.26,283101,110388,4.5,100.0,100.0
부산광역시 북구_2015,2397,1.209,99.0,1.15,310484,111540,4.4,100.0,100.0
부산광역시 해운대구_2015,3022,1.081,94.8,-0.13,422818,154606,4.4,100.0,100.0
부산광역시 사하구_2015,2696,1.199,100.0,-1.62,337781,128500,5.0,100.0,100.0
부산광역시 금정구_2015,1540,1.009,96.7,-1.34,246026,99210,3.7,100.0,100.0
부산광역시 강서구_2015,1365,1.982,107.6,17.77,94608,34086,8.4,85.19,100.0
부산광역시 연제구_2015,1513,1.075,96.5,1.29,210718,78398,4.5,100.0,100.0
부산광역시 수영구_2015,1374,1.045,91.8,0.77,179795,70634,3.7,100.0,100.0
부산광역시 사상구_2015,2001,1.241,103.6,-2.07,237711,93008,3.5,100.0,100.0
부산광역시 기장군_2015,1963,1.771,98.0,5.83,153093,54557,15.2,91.04,100.0
서울특별시 종로구_2015,906,0.813,97.6,-0.92,154986,68429,9.4,100.0,100.0
서울특별시 중구_2015,950,0.946,99.4,-1.39,125733,55508,6.9,100.0,100.0
서울특별시 용산구_2015,1967,1.005,94.2,-0.8,233342,96385,7.1,100.0,100.0
서울특별시 성동구_2015,2753,1.095,98.8,0.39,297003,118900,6.6,100.0,100.0
서울특별시 광진구_2015,2951,0.903,96.4,-0.58,360369,155242,7.5,100.0,100.0
서울특별시 동대문구_2015,2687,0.96,100.5,-0.66,360153,153362,5.9,100.0,100.0
서울특별시 중랑구_2015,3368,1.051,99.6,-1.13,413909,160043,6.3,100.0,100.0
서울특별시 성북구_2015,3514,0.991,96.0,-1.34,459275,178717,6.8,100.0,100.0
서울특별시 강북구_2015,2164,0.922,97.1,-1.18,330873,127462,6.1,100.0,100.0
서울특별시 도봉구_2015,2481,1.01,97.1,-0.69,351242,125952,8.8,100.0,100.0
서울특별시 노원구_2015,4462,1.096,95.0,-1.34,574583,206092,6.5,100.0,100.0
서울특별시 은평구_2015,3870,1.003,95.3,-0.13,497920,181725,4.5,100.0,100.0
서울특별시 서대문구_2015,2175,0.913,94.9,0.7,312141,125149,8.3,100.0,100.0
서울특별시 마포구_2015,3626,0.986,92.7,0.64,387643,159636,5.5,100.0,100.0
서울특별시 양천구_2015,3526,1.034,98.1,-0.35,484532,166139,6.0,100.0,100.0
서울특별시 강서구_2015,5812,1.129,95.6,0.68,589074,220598,4.2,100.0,100.0
서울특별시 구로구_2015,4257,1.169,99.4,-0.55,422092,170651,5.4,100.0,100.0
서울특별시 금천구_2015,1885,1.086,104.3,-0.72,236284,103086,9.3,100.0,100.0
서울특별시 영등포구_2015,3611,1.085,100.2,-0.86,378504,162570,6.5,100.0,100.0
서울특별시 동작구_2015,3643,1.012,96.2,-1.55,400641,166706,6.9,100.0,100.0
서울특별시 관악구_2015,3960,0.833,102.1,-0.55,509663,238744,6.0,100.0,100.0
서울특별시 서초구_2015,4078,1.012,92.5,-0.67,446764,156703,8.2,100.0,100.0
서울특별시 강남구_2015,4595,0.857,92.1,-0.29,576495,214911,8.3,100.0,100.0
서울특별시 송파구_2015,5899,1.008,95.4,-0.64,660302,235101,6.0,100.0,100.0
서울특별시 강동구_2015,3865,1.036,99.5,-3.74,458658,167009,5.1,100.0,100.0
울산광역시 중구_2015,2081,1.327,104.5,2.32,244481,90312,5.4,99.8,100.0
울산광역시 남구_2015,3176,1.356,104.3,-1.14,343598,131299,6.6,99.9,100.0
울산광역시 동구_2015,2157,1.622,112.9,-1.3,174963,65660,6.0,100.0,99.4
울산광역시 북구_2015,2258,1.695,107.1,1.33,191063,64931,5.5,98.5,99.0
울산광역시 울주군_2015,2060,1.579,106.1,2.57,219429,81856,10.5,95.5,91.1
인천광역시 강화군_2015,274,1.081,100.5,0.94,67667,25426,5.9,46.0,68.2
인천광역시 옹진군_2015,121,1.339,130.8,1.37,20962,9115,10.8,35.0,26.1
인천광역시 중구_2015,1020,1.299,107.6,2.23,114493,44634,11.4,87.0,96.3
인천광역시 동구_2015,624,1.325,101.8,-1.97,72571,27312,8.0,100.0,100.0
인천광역시 미추홀구_2015,3191,1.127,102.1,-0.78,404893,159620,7.4,100.0,100.0
인천광역시 연수구_2015,2646,1.215,99.7,2.95,319052,109931,7.6,100.0,100.0
인천광역시 남동구_2015,4883,1.24,99.5,3.16,531395,193783,5.4,100.0,99.9
인천광역시 부평구_2015,4918,1.177,99.2,-0.06,555844,203509,7.4,100.0,100.0
인천광역시 계양구_2015,2763,1.126,100.5,-1.52,334332,117591,5.9,100.0,100.0
인천광역시 서구_2015,5051,1.35,102.1,1.24,504606,175376,7.9,99.0,99.9
전라남도 목포시_2015,1930,1.304,99.6,-0.22,238382,93875,3.7,97.9,99.7
전라남도 여수시_2015,2503,1.55,102.8,-0.13,290168,107374,5.0,83.9,85.4
전라남도 순천시_2015,2134,1.34,99.7,0.61,278765,100525,5.5,89.8,94.2
전라남도 나주시_2015,809,1.639,101.6,8.18,98182,38639,4.0,58.8,78.6
전라남도 광양시_2015,1680,1.835,105.4,0.94,153587,54590,5.7,92.1,85.4
