±∏∫–,«◊∏Ò,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
¡¯√µ,≥‚∆Ú±’,,23.33 ,26.83 ,25.17 ,29.00 ,23.42 ,19.92 ,21.50 ,22.33 
ø¡√µ,≥‚∆Ú±’,,,21.33 ,25.00 ,29.00 ,22.08 ,20.17 ,18.67 ,20.25 
øµµø,≥‚∆Ú±’,,,,22.56 ,27.33 ,19.42 ,18.17 ,17.58 ,17.58 
¡ı∆Ú,≥‚∆Ú±’,,,,27.44 ,31.75 ,24.25 ,21.11 ,19.50 ,19.50 
∫∏¿∫,≥‚∆Ú±’,,,,,26.42 ,21.50 ,20.00 ,19.44 ,17.92 
µµ∆Ú±’,≥‚∆Ú±’,36.00 ,26.33 ,27.08 ,27.17 ,28.25 ,21.33 ,19.58 ,20.00 ,20.25 
√µæ»,≥‚∆Ú±’,25.00 ,27.33 ,28.18 ,23.91 ,28.50 ,23.44 ,22.73 ,22.42 ,23.10 
¥Á¡¯,≥‚∆Ú±’,,26.13 ,24.20 ,24.55 ,31.67 ,24.17 ,24.00 ,22.33 ,24.08 
º≠ªÍ,≥‚∆Ú±’,,21.14 ,19.92 ,18.25 ,20.82 ,19.60 ,19.42 ,16.75 ,18.00 
æ∆ªÍ,≥‚∆Ú±’,,,25.70 ,24.18 ,31.33 ,25.25 ,25.08 ,22.42 ,24.83 
≥ÌªÍ,≥‚∆Ú±’,,,20.33 ,19.25 ,21.75 ,19.83 ,18.50 ,18.67 ,18.33 
≈¬æ»,≥‚∆Ú±’,,,17.20 ,17.58 ,19.92 ,15.50 ,18.50 ,15.82 ,16.73 
∫∏∑…,≥‚∆Ú±’,,,20.83 ,20.73 ,23.58 ,20.67 ,19.83 ,19.83 ,19.50 
»´º∫,≥‚∆Ú±’,,,25.40 ,23.92 ,26.83 ,22.33 ,21.50 ,19.58 ,19.83 
∞¯¡÷,≥‚∆Ú±’,,,22.50 ,22.50 ,24.67 ,21.33 ,23.70 ,20.67 ,22.67 
∫Œø©,≥‚∆Ú±’,,,20.17 ,19.25 ,24.08 ,22.55 ,22.27 ,16.36 ,19.92 
√ªæÁ,≥‚∆Ú±’,,,,22.08 ,27.08 ,20.67 ,19.67 ,19.00 ,20.58 
±›ªÍ,≥‚∆Ú±’,,,,19.50 ,23.83 ,23.08 ,20.64 ,18.58 ,21.50 
øπªÍ,≥‚∆Ú±’,,,16.40 ,20.17 ,28.42 ,23.00 ,23.50 ,21.17 ,21.67 
∞Ë∑Ê,≥‚∆Ú±’,,,,14.78 ,21.33 ,18.50 ,16.91 ,17.08 ,16.64 
º≠√µ,≥‚∆Ú±’,,,,15.78 ,22.83 ,20.33 ,18.17 ,16.33 ,17.25 
µµ∆Ú±’,≥‚∆Ú±’,,25.00 ,23.83 ,20.73 ,25.67 ,21.42 ,21.17 ,19.50 ,20.75 
¿”Ω«,≥‚∆Ú±’,,,,24.00 ,24.42 ,17.27 ,16.00 ,17.50 ,18.75 
¿¸¡÷,≥‚∆Ú±’,,26.83 ,25.25 ,28.42 ,29.25 ,18.67 ,19.92 ,20.18 ,20.50 
±∫ªÍ,≥‚∆Ú±’,33.00 ,26.73 ,26.30 ,25.00 ,26.92 ,20.20 ,20.75 ,20.08 ,21.00 
¿ÕªÍ,≥‚∆Ú±’,39.86 ,36.33 ,36.89 ,28.58 ,30.64 ,23.08 ,21.91 ,20.27 ,23.00 
≥≤ø¯,≥‚∆Ú±’,,25.78 ,27.08 ,22.00 ,23.08 ,17.83 ,17.64 ,17.50 ,17.09 
¡§¿æ,≥‚∆Ú±’,,34.00 ,28.00 ,24.75 ,22.83 ,20.83 ,19.36 ,20.08 ,19.67 
∞Ì√¢,≥‚∆Ú±’,,34.14 ,27.45 ,19.09 ,21.58 ,18.18 ,17.67 ,15.92 ,17.92 
∫Œæ»,≥‚∆Ú±’,31.80 ,30.92 ,27.25 ,25.55 ,27.83 ,20.50 ,23.08 ,21.92 ,20.67 
±Ë¡¶,≥‚∆Ú±’,,32.75 ,28.75 ,25.91 ,27.50 ,24.33 ,24.36 ,23.58 ,21.08 
øœ¡÷,≥‚∆Ú±’,,,,21.18 ,24.08 ,21.50 ,18.92 ,18.58 ,19.08 
¡¯æ»,≥‚∆Ú±’,,,,19.55 ,23.75 ,16.08 ,15.75 ,17.00 ,16.92 
π´¡÷,≥‚∆Ú±’,,,,16.80 ,18.83 ,17.08 ,13.42 ,14.08 ,17.33 
