±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√ªæÁ,≥‚∆Ú±’,,,,,0.36,0.45,0.38,0.4,0.35,0.37
±›ªÍ,≥‚∆Ú±’,,,,,0.34,0.42,0.39,0.4,0.3,0.36
øπªÍ,≥‚∆Ú±’,,,,0.35,0.41,0.5,0.37,0.4,0.37,0.37
∞Ë∑Ê,≥‚∆Ú±’,,,,,0.47,0.51,0.45,0.46,0.42,0.42
º≠√µ,≥‚∆Ú±’,,,,,0.44,0.52,0.43,0.41,0.39,0.4
µµ∆Ú±’,≥‚∆Ú±’,0.53,0.54,0.47,0.48,0.48,0.51,0.43,0.43,0.37,0.39
¿”Ω«,≥‚∆Ú±’,,,,,0.4,0.41,0.39,0.37,0.3,0.29
¿¸¡÷,≥‚∆Ú±’,0.44,0.44,0.44,0.51,0.43,0.45,0.37,0.36,0.38,0.38
±∫ªÍ,≥‚∆Ú±’,0.6,0.53,0.51,0.48,0.53,0.5,0.38,0.37,0.34,0.36
¿ÕªÍ,≥‚∆Ú±’,0.52,0.39,0.47,0.48,0.46,0.37,0.34,0.36,0.34,0.34
≥≤ø¯,≥‚∆Ú±’,0.58,0.6,0.57,0.58,0.57,0.43,0.38,0.37,0.33,0.33
¡§¿æ,≥‚∆Ú±’,0.31,0.27,0.33,0.6,0.46,0.38,0.38,0.36,0.34,0.35
∞Ì√¢,≥‚∆Ú±’,0.63,0.62,0.35,0.7,0.51,0.35,0.27,0.3,0.27,0.31
∫Œæ»,≥‚∆Ú±’,,0.38,0.48,0.58,0.53,0.54,0.48,0.39,0.39,0.37
±Ë¡¶,≥‚∆Ú±’,,,0.55,0.57,0.44,0.37,0.42,0.41,0.39,0.37
øœ¡÷,≥‚∆Ú±’,,,,,0.49,0.39,0.38,0.34,0.38,0.35
¡¯æ»,≥‚∆Ú±’,,,,,0.39,0.34,0.31,0.31,0.32,0.3
π´¡÷,≥‚∆Ú±’,,,,,0.38,0.41,0.37,0.35,0.3,0.29
º¯√¢,≥‚∆Ú±’,,,,,0.55,0.34,0.32,0.32,0.23,0.23
¿Âºˆ,≥‚∆Ú±’,,,,,0.4,0.44,0.33,0.32,0.23,0.27
µµ∆Ú±’,≥‚∆Ú±’,0.51,0.47,0.46,0.53,0.48,0.4,0.36,0.34,0.35,0.34
»≠º¯,≥‚∆Ú±’,,,,,,0.58,0.49,0.49,0.44,0.4
ø©ºˆ,≥‚∆Ú±’,0.57,0.59,0.57,0.55,0.54,0.54,0.51,0.52,0.45,0.43
±§æÁ,≥‚∆Ú±’,0.43,0.4,0.4,0.43,0.42,0.48,0.43,0.4,0.36,0.34
º¯√µ,≥‚∆Ú±’,0.51,0.55,0.47,0.6,0.49,0.49,0.45,0.37,0.31,0.34
∏Ò∆˜,≥‚∆Ú±’,0.56,0.63,0.55,0.45,0.56,0.53,0.42,0.41,0.44,0.42
øµæœ,≥‚∆Ú±’,0.45,0.32,0.36,0.32,0.38,0.45,0.32,0.39,0.39,0.41
≥™¡÷,≥‚∆Ú±’,,,,,0.37,0.39,0.3,0.28,0.23,0.24
¥„æÁ,≥‚∆Ú±’,,,,,0.34,0.37,0.27,0.3,0.27,0.28
¿Âº∫,≥‚∆Ú±’,,,,,0.38,0.42,0.3,0.23,0.22,0.24
«ÿ≥≤,≥‚∆Ú±’,,,,,0.44,0.38,0.34,0.36,0.4,0.41
øµ±§,≥‚∆Ú±’,,,,,0.5,0.46,0.36,0.36,0.32,0.27
¿Â»Ô,≥‚∆Ú±’,,,,,,0.42,0.39,0.34,0.33,0.3
¡¯µµ,≥‚∆Ú±’,,,,,,0.54,0.42,0.41,0.37,0.38
øœµµ,≥‚∆Ú±’,,,,,,0.53,0.43,0.46,0.36,0.41
«‘∆Ú,≥‚∆Ú±’,,,,,,0.53,0.53,0.43,0.35,0.35
∞Ì»Ô,≥‚∆Ú±’,,,,,,0.49,0.43,0.42,0.38,0.46
Ω≈æ»,≥‚∆Ú±’,,,,,,0.31,0.27,0.27,0.23,0.22
π´æ»,≥‚∆Ú±’,,,,,,0.39,0.39,0.4,0.41,0.39
∞≠¡¯,≥‚∆Ú±’,,,,,,0.3,0.32,0.3,0.3,0.28
∞Óº∫,≥‚∆Ú±’,,,,,,0.53,0.55,0.45,0.39,0.41
±∏∑ ,≥‚∆Ú±’,,,,,,0.42,0.48,0.41,0.37,0.42
∫∏º∫,≥‚∆Ú±’,,,,,,0.5,0.53,0.49,0.41,0.4
µµ∆Ú±’,≥‚∆Ú±’,0.51,0.53,0.5,0.48,0.47,0.48,0.43,0.41,0.36,0.37
øµ¥ˆ,≥‚∆Ú±’,,,,,,,0.3,0.28,0.27,0.3
øµ√µ,≥‚∆Ú±’,,,,,,0.47,0.46,0.45,0.37,0.31
¿«º∫,≥‚∆Ú±’,,,,,,,0.46,0.43,0.38,0.36
øÔ∏™µµ,≥‚∆Ú±’,,,,,,0.24,0.27,0.27,0.27,0.27
∆˜«◊,≥‚∆Ú±’,0.61,0.65,0.53,0.53,0.46,0.44,0.46,0.47,0.39,0.45
±∏πÃ,≥‚∆Ú±’,0.57,0.9,0.58,0.57,0.49,0.43,0.43,0.43,0.32,0.39
±Ë√µ,≥‚∆Ú±’,0.58,0.45,0.56,0.55,0.49,0.4,0.45,0.33,0.31,0.35
∞Ê¡÷,≥‚∆Ú±’,0.52,0.41,0.36,0.41,0.38,0.34,0.31,0.32,0.29,0.3
æ»µø,≥‚∆Ú±’,0.6,0.48,0.57,0.55,0.57,0.33,0.43,0.46,0.38,0.41
øµ¡÷,≥‚∆Ú±’,0.7,0.67,0.66,0.71,0.56,0.46,0.49,0.5,0.49,0.51
∞ÊªÍ,≥‚∆Ú±’,0.46,0.47,0.49,0.51,0.53,0.45,0.42,0.46,0.38,0.37
ªÛ¡÷,≥‚∆Ú±’,,,,,0.45,0.41,0.38,0.38,0.37,0.31
ƒ•∞Ó,≥‚∆Ú±’,,,,,0.39,0.38,0.34,0.33,0.33,0.31
øÔ¡¯,≥‚∆Ú±’,,,,,,0.37,0.39,0.34,0.29,0.32
∫¿»≠,≥‚∆Ú±’,,,,,,0.31,0.38,0.39,0.39,0.41
∞Ì∑…,≥‚∆Ú±’,,,,,,0.4,0.38,0.51,0.49,0.47
±∫¿ß,≥‚∆Ú±’,,,,,,,0.41,0.41,0.26,0.3
º∫¡÷,≥‚∆Ú±’,,,,,,,0.46,0.47,0.47,0.46
øπ√µ,≥‚∆Ú±’,,,,,,,0.28,0.27,0.23,0.21
√ªµµ,≥‚∆Ú±’,,,,,,,0.34,0.36,0.31,0.3
√ªº€,≥‚∆Ú±’,,,,,,,0.32,0.31,0.3,0.27
øµæÁ,≥‚∆Ú±’,,,,,,,0.29,0.27,0.25,0.25
πÆ∞Ê,≥‚∆Ú±’,,,,,,,0.3,0.34,0.31,0.32
µµ∆Ú±’,≥‚∆Ú±’,0.58,0.6,0.56,0.53,0.48,0.43,0.39,0.42,0.35,0.37
√¢ø¯,≥‚∆Ú±’,0.53,0.47,0.48,0.47,0.45,0.46,0.42,0.44,0.43,0.42
∏∂ªÍ,≥‚∆Ú±’,0.33,,,,,,,,,
¡¯¡÷,≥‚∆Ú±’,0.51,0.53,0.52,0.53,0.48,0.5,0.43,0.52,0.48,0.47
¡¯«ÿ,≥‚∆Ú±’,0.53,,,,,,,,,
«œµø,≥‚∆Ú±’,0.37,0.38,0.38,0.42,0.36,0.38,0.38,0.38,0.37,0.36
±Ë«ÿ,≥‚∆Ú±’,0.37,0.43,0.42,0.39,0.4,0.36,0.37,0.39,0.41,0.39
æÁªÍ,≥‚∆Ú±’,0.43,0.42,0.4,0.45,0.51,0.47,0.44,0.46,0.43,0.42
∞≈¡¶,≥‚∆Ú±’,0.42,0.45,0.47,0.48,0.48,0.49,0.43,0.48,0.4,0.46
ªÁ√µ,≥‚∆Ú±’,0.53,0.51,0.37,0.45,0.46,0.42,0.39,0.39,0.43,0.45
π–æÁ,≥‚∆Ú±’,,,,0.5,0.25,0.28,0.28,0.31,0.32,0.28
≈Îøµ,≥‚∆Ú±’,,,,0.5,0.32,0.34,0.3,0.32,0.43,0.41
∞Ìº∫,≥‚∆Ú±’,,,,,,0.42,0.4,0.38,0.41,0.43
∞≈√¢,≥‚∆Ú±’,,,,,,0.45,0.39,0.33,0.41,0.45
«‘æ»,≥‚∆Ú±’,,,,,,0.52,0.42,0.41,0.53,0.43
«‘æÁ,≥‚∆Ú±’,,,,,,0.4,0.4,0.33,0.37,0.38
≥≤«ÿ,≥‚∆Ú±’,,,,,,0.43,0.46,0.4,0.46,0.46
ªÍ√ª,≥‚∆Ú±’,,,,,,0.45,0.35,0.32,0.34,0.35
¿«∑…,≥‚∆Ú±’,,,,,,0.45,0.35,0.32,0.34,0.34
√¢≥Á,≥‚∆Ú±’,,,,,,0.45,0.37,0.34,0.37,0.36
«’√µ,≥‚∆Ú±’,,,,,,0.4,0.34,0.34,0.34,0.34
µµ∆Ú±’,≥‚∆Ú±’,0.46,0.47,0.46,0.45,0.44,0.43,0.41,0.43,0.42,0.41
¡¶¡÷,≥‚∆Ú±’,0.38,0.38,0.34,0.3,0.27,0.33,0.34,0.27,0.25,0.28
º≠±Õ∆˜,≥‚∆Ú±’,0.3,0.31,0.28,0.27,0.23,0.25,0.26,0.27,0.27,0.29
µµ∆Ú±’,≥‚∆Ú±’,0.34,0.35,0.32,0.29,0.26,0.27,0.3,0.27,0.26,0.28
