행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
대구광역시 수성구_2017,11.0,15.0,12.0,14.0,19.0,24.0,25.0,32.0,909.0,55.0,42.0,6348.0,23967.0
대구광역시 달서구_2017,13.0,14.0,12.0,12.0,22.0,23.0,25.0,29.0,879.0,71.0,59.0,9887.0,32135.0
대구광역시 달성군_2017,14.0,12.0,11.0,11.0,22.0,20.0,23.0,29.0,310.0,11.0,66.0,5758.0,13365.0
대전광역시 동구_2017,11.0,13.0,11.0,11.0,16.0,20.0,26.0,27.0,181.0,33.0,92.0,2403.0,11794.0
대전광역시 중구_2017,11.0,13.0,13.0,12.0,18.0,20.0,28.0,30.0,242.0,106.0,76.0,3725.0,13082.0
대전광역시 서구_2017,11.0,15.0,12.0,11.0,19.0,22.0,27.0,27.0,758.0,127.0,63.0,7866.0,26732.0
대전광역시 유성구_2017,12.0,14.0,12.0,12.0,19.0,22.0,27.0,29.0,486.0,46.0,82.0,7387.0,23055.0
대전광역시 대덕구_2017,12.0,11.0,11.0,9.0,17.0,19.0,24.0,23.0,232.0,12.0,67.0,2631.0,9577.0
부산광역시 중구_2017,9.0,14.0,11.0,9.0,17.0,21.0,24.0,23.0,30.0,27.0,250.0,189.0,1396.0
부산광역시 서구_2017,13.0,12.0,12.0,10.0,25.0,20.0,26.0,26.0,105.0,5.0,69.0,1022.0,3694.0
부산광역시 동구_2017,12.0,12.0,11.0,12.0,20.0,18.0,24.0,24.0,42.0,31.0,96.0,820.0,2456.0
부산광역시 영도구_2017,11.0,12.0,9.0,12.0,18.0,19.0,22.0,24.0,79.0,1.0,81.0,967.0,4086.0
부산광역시 부산진구_2017,12.0,14.0,12.0,9.0,22.0,21.0,25.0,22.0,386.0,195.0,57.0,5297.0,15375.0
부산광역시 동래구_2017,12.0,16.0,14.0,14.0,22.0,23.0,27.0,30.0,486.0,50.0,47.0,3895.0,12486.0
부산광역시 남구_2017,12.0,14.0,13.0,11.0,21.0,22.0,26.0,26.0,288.0,52.0,70.0,2970.0,12130.0
부산광역시 북구_2017,12.0,14.0,11.0,12.0,22.0,21.0,25.0,29.0,362.0,32.0,69.0,4542.0,13403.0
부산광역시 해운대구_2017,12.0,15.0,13.0,14.0,21.0,23.0,27.0,32.0,626.0,34.0,58.0,5092.0,20391.0
부산광역시 사하구_2017,11.0,14.0,12.0,12.0,21.0,21.0,26.0,28.0,395.0,35.0,52.0,4307.0,14394.0
부산광역시 금정구_2017,11.0,14.0,13.0,11.0,22.0,21.0,25.0,26.0,342.0,49.0,49.0,2908.0,9690.0
부산광역시 강서구_2017,14.0,14.0,10.0,10.0,21.0,21.0,25.0,25.0,182.0,3.0,57.0,3089.0,6962.0
부산광역시 연제구_2017,12.0,15.0,12.0,10.0,23.0,22.0,24.0,25.0,253.0,39.0,54.0,1684.0,9440.0
