시군별(1),시군별(2),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
시군별(1),시군별(2),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구(A) (명),급수인구(B) (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개)
남부,여주시,114048,97593,85.6,50000,33347,342.0,18205,114628,98866,86.2,50000,35138,355.0,20709,115496,100275,86.8,50000,38309,382.0,22257,115074,101760,88.4,50000,38132,375.0,23746,114659,102574,89.5,50000,38128,372.0,25172,115358,104644,90.7,50000,40007,382.0,26598,115317,105520,91.5,50000,40375,382.6,28660
남부,양평군,109785,72043,65.6,32000,20341,282.0,16725,112880,80119,71.0,32000,22118,276.0,18408,116698,85896,73.6,32000,23740,276.0,20488,117670,90653,77.0,32000,25573,282.0,22414,118374,94014,79.4,32000,25538,272.0,23749,120174,97101,80.8,32000,25617,264.0,24958,122539,99585,81.3,32000,27229,273.4,26262
북부,소계,3349013,3271476,97.7,2035200,1019182,385.0,322967,3391070,3298794,97.3,1939200,1039856,389.0,321630,3417334,3329533,97.4,1909200,1080948,401.0,368221,3462291,3387311,97.8,1949200,1107032,408.0,390989,3509276,3443385,98.1,1922200,1121556,326.0,402946,3555042,3490750,98.2,1922200,1129897,324.0,417298,3593349,3515496,97.8,1952200,1154488,328.4,428568
북부,의정부시,437754,435885,99.6,224000,113953,261.0,44855,442303,439207,99.3,224000,119873,273.0,47208,445700,443541,99.5,224000,121179,273.0,49500,451542,448547,99.3,224000,125429,280.0,49810,456776,453578,99.3,224000,124211,274.0,50654,466455,463192,99.3,224000,124459,269.0,51726,468339,465416,99.4,224000,126724,272.3,52302
북부,동두천시,101050,100343,99.3,90000,30790,307.0,17970,101403,100813,99.4,90000,30188,299.0,18666,100266,98771,98.5,90000,30402,308.0,19464,99566,98066,98.5,90000,30337,309.0,20193,98245,96745,98.5,90000,29186,302.0,21475,97687,95427,97.7,90000,28905,303.0,21937,96860,94600,97.7,90000,29507,311.9,22533
북부,고양시,1039839,1035160,99.6,492000,307019,297.0,61352,1051970,1048289,99.7,492000,312693,298.0,67926,1054236,1051074,99.7,462000,319498,304.0,74067,1056853,1053589,99.7,492000,324218,308.0,80862,1078859,1075695,99.7,462000,331862,309.0,83069,1090738,1087716,99.7,462000,337038,310.0,86708,1090339,1088144,99.8,492000,340930,313.3,89134
북부,구리시,188155,187966,99.9,105000,62098,330.0,19548,195153,194957,99.9,105000,63293,325.0,19869,201459,201258,99.9,105000,64104,319.0,21523,204977,204811,99.9,105000,63673,311.0,24968,200755,200589,99.9,105000,64222,320.0,21319,198856,198830,100.0,105000,65310,328.0,20830,193351,193304,100.0,105000,65781,340.3,19984
북부,남양주시,659633,659523,100.0,298000,169623,257.0,59471,668696,646629,96.7,298000,172261,266.0,63834,672120,651248,96.9,298000,174396,268.0,66689,688965,668985,97.1,298000,188062,281.0,67700,709307,689101,97.2,298000,199879,290.0,70556,720462,700291,97.2,298000,200940,287.0,72486,740856,723816,97.7,298000,206463,285.2,73960
북부,파주시,433052,426123,98.4,553500,149498,351.0,47877,441019,434809,98.6,457500,153770,354.0,52079,448524,442866,98.7,457500,178049,402.0,56705,463122,458486,99.0,451500,168133,367.0,60782,465612,461474,99.1,451500,166343,360.0,65059,476272,471976,99.1,451500,166969,354.0,67530,493503,489066,99.1,451500,174804,357.4,69596
북부,양주시,212438,206896,97.4,128500,79123,382.0,21757,212811,207478,97.5,128500,77817,375.0,23014,219267,214160,97.7,128500,77274,361.0,24543,224250,219519,97.9,128500,81972,373.0,26169,229778,225328,98.1,128500,81039,360.0,27645,237370,232831,98.1,128500,83173,357.0,28965,243071,238607,98.2,128500,89646,375.7,30470
북부,포천시,167390,127049,75.9,83200,48912,385.0,23742,167312,132511,79.2,83200,48804,368.0,1735,165339,131653,79.6,83200,52422,398.0,26659,163474,138585,84.8,82200,57823,417.0,30997,161643,145128,89.8,82200,57011,393.0,32809,159389,144858,90.9,82200,58250,402.0,35370,160209,145678,90.9,82200,59905,411.2,36969
북부,연천군,46617,43955,94.3,33000,36260,825.0,14254,46886,44079,94.0,33000,39436,895.0,14254,46407,43600,94.0,33000,41181,945.0,15126,45606,44531,97.6,50000,42825,962.0,14969,44839,43924,98.0,50000,43640,994.0,15229,44433,43531,98.0,50000,43649,1003.0,15848,43553,42643,97.9,50000,38401,900.5,16203
북부,가평군,63085,48576,77.0,28000,21907,451.0,12141,63517,50022,78.8,28000,21721,434.0,13045,64016,51362,80.2,28000,22443,437.0,13945,63936,52192,81.6,28000,24559,471.0,14539,63462,51823,81.7,31000,24163,466.0,15131,63380,52098,82.2,31000,21205,407.0,15898,63268,34222,54.1,31000,22327,652.4,17417
