행정구역(시군)별(1),산업대분류별(1),2015,2015.1,2015.2,2015.3,2015.4,2016,2016.1,2016.2,2016.3,2016.4,2017,2017.1,2017.2,2017.3,2017.4,2018,2018.1,2018.2,2018.3,2018.4,2019,2019.1,2019.2,2019.3,2019.4,2020,2020.1,2020.2,2020.3,2020.4,2021,2021.1,2021.2,2021.3,2021.4
행정구역(시군)별(1),산업대분류별(1),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명)
창원시,전문  과학 및 기술 서비스업,1810,-,12627,-,-,1865,-,12005,-,-,1813,-,11959,-,-,1951,-,11736,-,-,2023,-,12866,-,-,3190,-,15980,-,-,3193,-,15143,-,-
창원시,"사업시설관리, 사업지원 및 임대 서비스업",1125,-,20944,-,-,1139,-,21200,-,-,1411,-,21423,-,-,1439,-,22077,-,-,1443,-,20418,-,-,2849,-,21030,-,-,2710,-,20230,-,-
창원시,공공행정  국방 및 사회보장 행정,221,-,12456,-,-,223,-,12388,-,-,224,-,13265,-,-,224,-,13692,-,-,224,-,13864,-,-,225,-,17428,-,-,230,-,15979,-,-
창원시,교육 서비스업,4093,-,29679,-,-,4251,-,28950,-,-,4329,-,29297,-,-,4397,-,30720,-,-,4460,-,31835,-,-,5197,-,31040,-,-,5574,-,31359,-,-
창원시,보건업 및 사회복지 서비스업,2694,-,29732,-,-,2830,-,32482,-,-,2912,-,35449,-,-,2960,-,38131,-,-,2985,-,39400,-,-,3041,-,41746,-,-,3143,-,44308,-,-
창원시,예술  스포츠 및 여가관련 서비스업,2115,-,6464,-,-,2305,-,6902,-,-,2459,-,7164,-,-,2437,-,7458,-,-,2411,-,8173,-,-,2583,-,6912,-,-,2557,-,6704,-,-
창원시,협회 및 단체  수리  및 기타 개인 서비스업,8892,-,20133,-,-,9099,-,20550,-,-,8980,-,18085,-,-,9300,-,18434,-,-,9430,-,18606,-,-,10558,-,18271,-,-,10754,-,19019,-,-
진주시,계,28055,12107,126287,68667,57620,29074,12719,131027,69953,61074,30035,13156,133992,70767,63225,30859,13640,137027,72160,64867,31696,13987,142414,74806,67608,40850,16942,141801,75676,66125,41268,6459,151143,80470,70673
진주시,농업  임업 및 어업,50,-,769,-,-,47,-,745,-,-,54,-,585,-,-,59,-,621,-,-,59,-,553,-,-,112,-,762,-,-,119,-,869,-,-
진주시,광업,3,-,17,-,-,3,-,20,-,-,3,-,20,-,-,1,-,X,-,-,1,-,X,-,-,3,-,8,-,-,3,-,8,-,-
진주시,제조업,2564,-,15310,-,-,2543,-,15270,-,-,2669,-,15516,-,-,2619,-,15288,-,-,2710,-,15434,-,-,3152,-,15522,-,-,3198,-,15777,-,-
진주시,"전기,가스,증기 및 공기조절 공급업",16,-,779,-,-,20,-,694,-,-,17,-,549,-,-,18,-,556,-,-,33,-,626,-,-,307,-,912,-,-,413,-,1050,-,-
진주시,수도·하수 및 폐기물 처리 원료재생업,49,-,678,-,-,48,-,606,-,-,52,-,738,-,-,54,-,788,-,-,54,-,828,-,-,68,-,841,-,-,66,-,857,-,-
진주시,건설업,1112,-,9889,-,-,1143,-,10156,-,-,1180,-,10695,-,-,1224,-,11314,-,-,1312,-,12128,-,-,4057,-,12925,-,-,4235,-,14608,-,-
진주시,도매 및 소매업,7402,-,19533,-,-,7717,-,20346,-,-,7893,-,20526,-,-,7953,-,20271,-,-,8004,-,20786,-,-,10357,-,20559,-,-,10122,-,20769,-,-
진주시,운수 및 창고업,2227,-,6867,-,-,2261,-,6851,-,-,2310,-,7126,-,-,2457,-,7320,-,-,2504,-,7128,-,-,3612,-,7578,-,-,3900,-,7898,-,-
진주시,숙박 및 음식점업,5768,-,14884,-,-,6073,-,15885,-,-,6261,-,16357,-,-,6483,-,16716,-,-,6629,-,17273,-,-,7056,-,14383,-,-,7056,-,14767,-,-
진주시,정보통신업,124,-,1553,-,-,120,-,1509,-,-,129,-,1589,-,-,135,-,1450,-,-,182,-,1707,-,-,308,-,1925,-,-,312,-,1760,-,-
진주시,금융 및 보험업,371,-,4782,-,-,379,-,4729,-,-,395,-,5063,-,-,375,-,4279,-,-,366,-,4396,-,-,446,-,3963,-,-,456,-,4201,-,-
진주시,부동산업,889,-,4763,-,-,1038,-,4997,-,-,1018,-,4903,-,-,1082,-,5150,-,-,1084,-,5801,-,-,1496,-,6102,-,-,1428,-,6414,-,-
진주시,전문  과학 및 기술 서비스업,571,-,3867,-,-,567,-,4844,-,-,605,-,5059,-,-,660,-,5496,-,-,784,-,6135,-,-,1043,-,6414,-,-,1070,-,7507,-,-
진주시,"사업시설관리, 사업지원 및 임대 서비스업",317,-,2869,-,-,338,-,2978,-,-,469,-,3121,-,-,488,-,2852,-,-,528,-,3236,-,-,778,-,2757,-,-,786,-,3899,-,-
진주시,공공행정  국방 및 사회보장 행정,97,-,5620,-,-,94,-,5504,-,-,90,-,5495,-,-,90,-,6054,-,-,93,-,6334,-,-,92,-,6921,-,-,93,-,8841,-,-
진주시,교육 서비스업,1606,-,12981,-,-,1634,-,13245,-,-,1693,-,13735,-,-,1761,-,14032,-,-,1798,-,13735,-,-,2009,-,13602,-,-,2083,-,13998,-,-
진주시,보건업 및 사회복지 서비스업,907,-,11414,-,-,943,-,12447,-,-,1027,-,14155,-,-,1040,-,15799,-,-,1073,-,16833,-,-,1107,-,17981,-,-,1137,-,18996,-,-
진주시,예술  스포츠 및 여가관련 서비스업,788,-,1948,-,-,849,-,2287,-,-,928,-,2298,-,-,977,-,2450,-,-,984,-,2581,-,-,1002,-,2098,-,-,975,-,2146,-,-
진주시,협회 및 단체  수리  및 기타 개인 서비스업,3194,-,7764,-,-,3257,-,7914,-,-,3242,-,6462,-,-,3383,-,6590,-,-,3498,-,6890,-,-,3845,-,6548,-,-,3816,-,6778,-,-
통영시,계,11034,4897,47995,27518,20477,11147,5005,44692,24874,19818,11345,5223,44050,23753,20297,11799,5341,41995,21224,20771,11975,5433,43550,21673,21877,14831,6480,45106,23450,21656,15052,5789,47173,24483,22690
통영시,농업  임업 및 어업,2,-,69,-,-,2,-,X,-,-,0,-,0,-,-,1,-,X,-,-,2,-,X,-,-,20,-,201,-,-,20,-,150,-,-
통영시,광업,1,-,7,-,-,1,-,X,-,-,1,-,X,-,-,1,-,X,-,-,1,-,X,-,-,1,-,1,-,-,2,-,9,-,-
통영시,제조업,455,-,11360,-,-,458,-,7761,-,-,601,-,6362,-,-,601,-,4056,-,-,624,-,3778,-,-,750,-,4179,-,-,772,-,4289,-,-
