행정구역(시)별,산업별,2015,2015.1,2015.2,2015.3,2015.4,2016,2016.1,2016.2,2016.3,2016.4,2017,2017.1,2017.2,2017.3,2017.4,2018,2018.1,2018.2,2018.3,2018.4,2019,2019.1,2019.2,2019.3,2019.4,2020,2020.1,2020.2,2020.3,2020.4,2021,2021.1,2021.2,2021.3,2021.4
행정구역(시)별,산업별,사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
제주시,운수업,4062,-,11213,-,-,4612,-,11978,-,-,4645,220,12207,10634,1573,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주시,운수 및 창고업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4666,225,12480,11039,1441,4922,-,12890,-,-,6468,-,15040,-,-,6595,-,14591,-,-
제주시,숙박 및 음식점업,9956,-,32359,-,-,10604,-,33786,-,-,11593,6936,35914,13359,22555,12527,7373,37904,14478,23426,13430,-,40342,-,-,15477,-,36862,-,-,16004,-,38050,-,-
제주시,"출판, 영상,방송통신 및 정보서비스업",283,-,4227,-,-,306,-,4376,-,-,293,65,4164,2752,1412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주시,정보통신업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,69,4166,2748,1418,317,-,4409,-,-,703,-,6578,-,-,785,-,5559,-,-
제주시,금융 및 보험업,481,-,7139,-,-,499,-,6511,-,-,492,74,6073,2636,3437,489,86,6210,2649,3561,491,-,6302,-,-,656,-,7079,-,-,682,-,6947,-,-
제주시,부동산 및 임대업,1409,-,4474,-,-,1715,-,4923,-,-,1546,482,3374,2215,1159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주시,부동산업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1626,511,3354,2146,1208,1680,-,3690,-,-,3059,-,5514,-,-,3040,-,5366,-,-
제주시,"전문, 과학 및 기술서비스업",855,-,5029,-,-,946,-,5532,-,-,976,151,5526,3585,1941,1051,170,6257,4084,2173,1176,-,6672,-,-,2101,-,8611,-,-,2242,-,8866,-,-
제주시,사업 시설관리 및 사업 지원 서비스,1020,-,9553,-,-,1042,-,9530,-,-,1354,396,10826,5580,5246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
