구분별(1),구분별(2),구분별(3),자치구별(1),산업대분류별(1),2015,2016,2017,2018,2019,2020,2021
합계,종사자수 (명),남,서울시,전기 가스 증기 및 공기조절 공급업,-,-,4399,4936,4904,5065,5206
합계,종사자수 (명),남,서울시,하수폐기물처리 원료재생 및 환경복원업,5817,5727,-,-,-,-,-
합계,종사자수 (명),남,서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,7636,7738,7749,8711,9135
합계,종사자수 (명),남,서울시,건설업,313276,316057,333644,327286,312550,443070,382937
합계,종사자수 (명),남,서울시,도매 및 소매업,513648,496701,491158,491875,496010,588691,563952
합계,종사자수 (명),남,서울시,운수업,235642,230657,-,-,-,-,-
합계,종사자수 (명),남,서울시,운수 및 창고업,-,-,228462,226286,218899,231468,225076
합계,종사자수 (명),남,서울시,숙박 및 음식점업,196003,190938,193031,202019,203826,186910,178888
합계,종사자수 (명),남,서울시,출판 영상 방송통신 및 정보서비스업,244087,237323,-,-,-,-,-
합계,종사자수 (명),남,서울시,정보통신업,-,-,238472,244021,243843,308932,326192
합계,종사자수 (명),남,서울시,금융 및 보험업,144977,139246,136278,135556,138713,152044,156906
합계,종사자수 (명),남,서울시,부동산업 및 임대업,112119,114904,-,-,-,-,-
합계,종사자수 (명),남,서울시,부동산업,-,-,102731,100821,106276,136398,132788
합계,종사자수 (명),남,서울시,전문 과학 및 기술 서비스업,294647,279670,279908,296927,308595,363550,368958
합계,종사자수 (명),남,서울시,사업시설관리 및 사업지원 서비스업,212199,227721,-,-,-,-,-
합계,종사자수 (명),남,서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,235606,242166,237192,258971,251086
합계,종사자수 (명),남,서울시,공공행정 국방 및 사회보장 행정,89123,88852,88661,87383,87715,90359,92310
합계,종사자수 (명),남,서울시,교육 서비스업,131331,130260,131623,134775,136813,128611,135976
합계,종사자수 (명),남,서울시,보건업 및 사회복지 서비스업,70124,72842,73846,78590,84052,90242,92584
합계,종사자수 (명),남,서울시,예술 스포츠 및 여가관련 서비스업,44758,46216,46830,48939,49265,47553,47524
합계,종사자수 (명),남,서울시,협회 및 단체 수리 및 기타 개인서비스업,105087,101880,93974,94014,92912,97883,92561
합계,종사자수 (명),여,서울시,합계,2221109,2232049,2271763,2332709,2341383,2563982,2552697
합계,종사자수 (명),여,서울시,농업 임업 및 어업,90,77,88,78,77,225,209
합계,종사자수 (명),여,서울시,광업,12,6,8,19,7,13,30
합계,종사자수 (명),여,서울시,제조업,120075,117102,116468,112051,109358,118561,111688
합계,종사자수 (명),여,서울시,전기 가스 증기 및 수도사업,1629,1644,-,-,-,-,-
합계,종사자수 (명),여,서울시,전기 가스 증기 및 공기조절 공급업,-,-,1177,1147,1330,1776,1667
합계,종사자수 (명),여,서울시,하수폐기물처리 원료재생 및 환경복원업,895,870,-,-,-,-,-
합계,종사자수 (명),여,서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,1327,1401,1409,1631,1475
합계,종사자수 (명),여,서울시,건설업,46916,49017,51564,52067,50235,72376,66123
합계,종사자수 (명),여,서울시,도매 및 소매업,398758,394753,397306,404451,403632,454816,445171
합계,종사자수 (명),여,서울시,운수업,44279,46269,-,-,-,-,-
합계,종사자수 (명),여,서울시,운수 및 창고업,-,-,46331,46332,45282,48010,49401
합계,종사자수 (명),여,서울시,숙박 및 음식점업,284087,279419,281484,293073,290086,245733,245183
합계,종사자수 (명),여,서울시,출판 영상 방송통신 및 정보서비스업,106255,106832,-,-,-,-,-
합계,종사자수 (명),여,서울시,정보통신업,-,-,106558,113740,116219,150873,164429
합계,종사자수 (명),여,서울시,금융 및 보험업,140121,130466,131974,126717,127397,141060,142152
합계,종사자수 (명),여,서울시,부동산업 및 임대업,56862,62768,-,-,-,-,-
합계,종사자수 (명),여,서울시,부동산업,-,-,55862,57242,59818,77146,72590
합계,종사자수 (명),여,서울시,전문 과학 및 기술 서비스업,157357,155416,157914,166592,176555,227396,228801
합계,종사자수 (명),여,서울시,사업시설관리 및 사업지원 서비스업,215890,233055,-,-,-,-,-
합계,종사자수 (명),여,서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,242776,254267,235381,246829,241897
합계,종사자수 (명),여,서울시,공공행정 국방 및 사회보장 행정,47043,47191,49489,52738,53867,60546,63480
합계,종사자수 (명),여,서울시,교육 서비스업,209619,203226,210109,211444,214507,225626,225687
합계,종사자수 (명),여,서울시,보건업 및 사회복지 서비스업,250065,259186,284717,299776,316091,353003,357812
합계,종사자수 (명),여,서울시,예술 스포츠 및 여가관련 서비스업,35754,38774,39622,42165,43487,41074,40967
합계,종사자수 (명),여,서울시,협회 및 단체 수리 및 기타 개인서비스업,105402,105978,96989,97409,96645,97288,93935
조직형태별,개인,사업체수 (개),서울시,합계,631635,631779,628981,624869,618188,899558,883064
조직형태별,개인,사업체수 (개),서울시,농업 임업 및 어업,-,-,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,광업,1,-,-,1,1,3,3
조직형태별,개인,사업체수 (개),서울시,제조업,52425,51481,51655,48621,46685,64164,62085
조직형태별,개인,사업체수 (개),서울시,전기 가스 증기 및 수도사업,5,8,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,전기 가스 증기 및 공기조절 공급업,-,-,13,20,20,375,327
조직형태별,개인,사업체수 (개),서울시,하수폐기물처리 원료재생 및 환경복원업,66,65,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,60,67,76,213,207
조직형태별,개인,사업체수 (개),서울시,건설업,11635,11606,11486,11253,11291,51427,51451
조직형태별,개인,사업체수 (개),서울시,도매 및 소매업,182764,177492,172549,168740,163127,269649,260024
조직형태별,개인,사업체수 (개),서울시,운수업,87830,89106,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,운수 및 창고업,-,-,87996,89607,88918,97801,102939
조직형태별,개인,사업체수 (개),서울시,숙박 및 음식점업,117991,118840,120113,119762,120797,131706,127946
조직형태별,개인,사업체수 (개),서울시,출판 영상 방송통신 및 정보서비스업,7077,7026,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,정보통신업,-,-,6752,6899,6619,24936,26024
조직형태별,개인,사업체수 (개),서울시,금융 및 보험업,1323,1540,1677,1715,1810,5839,4872
조직형태별,개인,사업체수 (개),서울시,부동산업 및 임대업,26505,28686,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,부동산업,-,-,28041,28935,29331,45810,44616
조직형태별,개인,사업체수 (개),서울시,전문 과학 및 기술 서비스업,20147,20027,19570,20677,20824,47085,44939
조직형태별,개인,사업체수 (개),서울시,사업시설관리 및 사업지원 서비스업,5035,5025,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,6355,6525,6599,19762,17897
조직형태별,개인,사업체수 (개),서울시,공공행정 국방 및 사회보장 행정,-,-,-,-,-,-,-
조직형태별,개인,사업체수 (개),서울시,교육 서비스업,26026,26403,26689,27150,27194,34683,36472
조직형태별,개인,사업체수 (개),서울시,보건업 및 사회복지 서비스업,22669,23197,24019,22994,22916,19576,19989
조직형태별,개인,사업체수 (개),서울시,예술 스포츠 및 여가관련 서비스업,18077,19112,20163,20080,20245,25539,24320
조직형태별,개인,사업체수 (개),서울시,협회 및 단체 수리 및 기타 개인서비스업,52059,52165,51843,51823,51735,60990,58953
조직형태별,개인,종사자수 (명),서울시,합계,1585519,1573964,1582451,1573654,1558442,1717514,1647861
조직형태별,개인,종사자수 (명),서울시,농업 임업 및 어업,-,-,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,광업,1,-,-,1,1,7,3
조직형태별,개인,종사자수 (명),서울시,제조업,157655,157043,161109,149396,140924,154187,138732
조직형태별,개인,종사자수 (명),서울시,전기 가스 증기 및 수도사업,9,16,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,전기 가스 증기 및 공기조절 공급업,-,-,21,44,40,457,381
조직형태별,개인,종사자수 (명),서울시,하수폐기물처리 원료재생 및 환경복원업,237,207,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,197,201,224,487,476
조직형태별,개인,종사자수 (명),서울시,건설업,30701,31833,32898,32091,35620,77517,75889
조직형태별,개인,종사자수 (명),서울시,도매 및 소매업,390799,374808,367035,361647,355470,430193,410127
조직형태별,개인,종사자수 (명),서울시,운수업,98988,100518,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,운수 및 창고업,-,-,98663,100247,98311,106692,110927
조직형태별,개인,종사자수 (명),서울시,숙박 및 음식점업,356734,351476,356144,367281,364797,313202,305063
조직형태별,개인,종사자수 (명),서울시,출판 영상 방송통신 및 정보서비스업,20693,19701,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,정보통신업,-,-,18283,17712,16236,41562,39942
조직형태별,개인,종사자수 (명),서울시,금융 및 보험업,2866,3468,3855,3742,3946,8061,6617
조직형태별,개인,종사자수 (명),서울시,부동산업 및 임대업,51214,54649,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,부동산업,-,-,50573,50894,51445,78008,66860
조직형태별,개인,종사자수 (명),서울시,전문 과학 및 기술 서비스업,67850,68415,65780,66663,66059,100150,93882
조직형태별,개인,종사자수 (명),서울시,사업시설관리 및 사업지원 서비스업,18267,17131,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,18763,18350,20100,34958,31172
조직형태별,개인,종사자수 (명),서울시,공공행정 국방 및 사회보장 행정,-,-,-,-,-,-,-
조직형태별,개인,종사자수 (명),서울시,교육 서비스업,77174,74675,78134,79306,78740,80431,79816
조직형태별,개인,종사자수 (명),서울시,보건업 및 사회복지 서비스업,166310,170789,184238,180715,182146,151381,153211
조직형태별,개인,종사자수 (명),서울시,예술 스포츠 및 여가관련 서비스업,42123,45011,46916,46750,46759,43845,41600
조직형태별,개인,종사자수 (명),서울시,협회 및 단체 수리 및 기타 개인서비스업,103898,104224,99842,98614,97624,96376,93163
조직형태별,회사법인,사업체수 (개),서울시,합계,150004,149198,153609,156768,162552,257455,249100
조직형태별,회사법인,사업체수 (개),서울시,농업 임업 및 어업,10,16,21,23,18,154,141
조직형태별,회사법인,사업체수 (개),서울시,광업,22,18,21,23,19,22,22
조직형태별,회사법인,사업체수 (개),서울시,제조업,9641,9524,9767,10164,10430,14222,14514
