시군별,산업별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,Unnamed: 10
파주시,숙박 및 음식점업,종사자수[명],명,14292,15078,16099,16929,15162,16239,
파주시,정보통신업,사업체수[개],개,363,403,404,424,1233,1429,
파주시,정보통신업,종사자수[명],명,4035,4139,4164,4251,5153,5653,
파주시,금융 및 보험업,사업체수[개],개,162,165,176,170,239,254,
파주시,금융 및 보험업,종사자수[명],명,2121,2146,2096,2063,1910,2149,
파주시,부동산업,사업체수[개],개,1087,1076,1253,1369,3034,3479,
파주시,부동산업,종사자수[명],명,3702,3118,3346,3720,5982,6541,
파주시,"전문, 과학 및 기술서비스업",사업체수[개],개,404,434,489,564,1413,1623,
파주시,"전문, 과학 및 기술서비스업",종사자수[명],명,1639,1778,2073,2269,3545,4087,
파주시,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,261,395,415,468,1387,1315,
파주시,사업시설관리 및 사업지원 및 임대서비스업,종사자수[명],명,3687,3852,3711,3843,5540,6303,
파주시,"공공행정, 국방 및 사회보장행정",사업체수[개],개,63,65,65,66,66,66,
파주시,"공공행정, 국방 및 사회보장행정",종사자수[명],명,2348,2542,2638,2735,3089,3313,
파주시,교육서비스업,사업체수[개],개,1092,1154,1247,1364,1969,2148,
파주시,교육서비스업,종사자수[명],명,10147,10905,11484,11945,12004,12792,
파주시,보건업 및 사회복지서비스업,사업체수[개],개,1043,1089,1110,1137,1200,1272,
파주시,보건업 및 사회복지서비스업,종사자수[명],명,9623,10897,11682,12857,14462,15872,
파주시,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,773,909,962,1018,1299,1320,
파주시,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,2971,3431,4093,4280,3669,4458,
파주시,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,2430,2478,2649,2770,3392,3550,
파주시,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,6091,5714,6051,6136,6334,6882,
양주시,합계,사업체수[개],개,16235,16952,17558,18597,27495,28132,
양주시,합계,여성대표자 사업체수[개],개,5481,5730,5991,6475,9258,9645,
양주시,합계,종사자수[명],명,82010,84544,87633,92748,99762,101546,
양주시,합계,남성 종사자수[명],명,50455,51484,53258,55379,59499,60201,
양주시,합계,여성 종사자수[명],명,31555,33060,34375,37369,40263,41345,
양주시,농업 임업 및 어업,사업체수[개],개,8,10,9,7,37,31,
양주시,농업 임업 및 어업,종사자수[명],명,39,34,33,29,85,95,
양주시,광업,사업체수[개],개,5,5,6,5,6,4,
양주시,광업,종사자수[명],명,67,63,84,101,123,81,
양주시,제조업,사업체수[개],개,4031,4227,4276,4319,5454,5388,
양주시,제조업,종사자수[명],명,34605,35330,34784,33909,34258,32545,
양주시,전기가스증기 및 공기조절 공급업,사업체수[개],개,11,11,12,16,122,129,
양주시,전기가스증기 및 공기조절 공급업,종사자수[명],명,154,107,111,173,256,261,
양주시,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,93,92,92,91,110,113,
양주시,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,877,889,915,1008,1100,1122,
양주시,건설업,사업체수[개],개,536,573,630,669,2370,2393,
양주시,건설업,종사자수[명],명,3689,3740,4464,4884,6470,6807,
양주시,도매 및 소매업,사업체수[개],개,3623,3703,3782,4044,7063,7119,
양주시,도매 및 소매업,종사자수[명],명,11177,11285,11947,12744,15650,16034,
양주시,운수 및 창고업,사업체수[개],개,1427,1615,1665,1703,2244,2446,
양주시,운수 및 창고업,종사자수[명],명,3195,3423,3701,4111,4606,5571,
양주시,숙박 및 음식점업,사업체수[개],개,2453,2514,2630,2901,3224,3358,
양주시,숙박 및 음식점업,종사자수[명],명,6806,7027,7573,8767,7742,7976,
