행정구역(동읍면)별,2015,2016,2017,2018,2019,2020,2021
경기도 수원시,4.421850330675927,4.04339574942411,3.4583642944948108,2.9765184157999776,2.520678611070315,2.097311807157298,1.876531568476692
경기도 시흥시,4.974503124317034,4.5256979113949285,4.201624985521179,4.064455685751908,3.595574881921896,3.0859390044448984,2.5156500755871902
경기도 안산시,4.634025584497635,4.1614196558306,3.399277861383512,2.755025031850655,2.3074477509629068,2.0454704342225454,1.6633446757650134
경기도 안성시,0.9552066815703866,1.0794436140671269,0.8500933251642105,0.7950715219541458,0.6572515163952241,0.734264923743047,0.640829074110837
경기도 안양시,2.8188522413958963,2.6240291818106054,2.1351625580169227,1.753183527740615,1.4356366311034503,1.0707934230335765,1.0839844047726863
경기도 양주시,1.586111851090338,1.3835495788453671,1.4161272475458504,1.2263689933020576,1.115892285776265,1.069228338759714,0.9369358343692736
경기도 양평군,0.5513845430961003,0.5325897120146721,0.5551287502960567,0.3459263033662623,0.2999963748419612,0.3430974248760288,0.3706407531898126
경기도 여주시,0.6674322266808987,0.6195251419151536,0.5490882757434523,0.420816676247546,0.3530746223869869,0.3991071661077208,0.3427358695322193
경기도 연천군,0.3423102748695844,0.2920780222984234,0.1598714855862597,0.0698967681496309,0.0453977275365505,0.125054321306633,0.0689623991222126
경기도 오산시,5.336184782631133,5.020793537914268,4.476207830088827,4.089925407944256,3.5563248501938256,2.9462406306463875,2.430891406832356
경기도 용인시,2.6927401408249017,2.5185053847074026,2.187556191385997,2.0783468151391906,1.8423639201073208,1.5464452625651146,1.3031268074521585
경기도 의왕시,2.471767943509892,2.1986749564479373,1.79157399077864,1.4296876387787865,1.6629101057863382,1.331656713045124,1.0300116374018002
경기도 의정부시,1.809732492231082,1.693619701351901,1.4828720842362684,1.376972652017308,1.205636292112451,1.1139963313404302,0.9463829751690752
경기도 이천시,1.6932241785483333,1.833202230754144,1.5691450525476662,1.3561835905731376,1.2301179096652082,1.1252899344451064,1.1062158699991158
경기도 파주시,1.9366955281775635,1.8035430165782544,1.6458132551632751,1.643053977067063,1.308991438782506,1.308311630908621,1.3354742783611782
경기도 평택시,2.160819079793824,2.086489717417375,1.9295162844036928,1.8570998824721123,1.7613954443035509,1.7159147740084462,1.7067124968114475
경기도 포천시,0.7490193703750927,0.7052181077233276,0.5281845539086387,0.4195022523283684,0.31628659990363,0.3202143053668034,0.4509316345762748
경기도 하남시,2.318406663490741,2.9217676370163383,2.4134411437231216,2.20765718797728,2.0342265821127183,1.9601272860797496,1.9718898827977416
경기도 화성시,4.468961816399332,4.472124456855936,4.367387742033771,4.40048813365106,4.152073954486019,3.67631983306052,3.293369102808681
경상남도 거제시,4.179102596792757,3.715205887853224,3.037757382320815,2.567820944664317,2.1402993197789897,1.691419220216338,1.2819055036326488
경상남도 거창군,0.3254871603731216,0.2822941494680906,0.1610918096663311,0.2023070707959446,0.1877266610538647,0.0919248862423911,0.1562009885598378
경상남도 고성군,0.107733702321091,0.1026727549700504,0.0860290588212908,0.0433020402575935,-0.0164249984313903,-0.0141151539764295,0.0280918777388927
경상남도 김해시,3.685819424678916,3.279388941775714,2.849356559119711,2.489219043861944,2.2613509064995,1.7572084466083582,1.4054465633120647
경상남도 남해군,0.0026085997831196,0.0200422301962149,0.0803384055157802,0.0406337032199761,0.1082674574188332,0.024453853790776,0.0426918341066852
경상남도 밀양시,0.2880868739869541,0.2950465193058388,0.1876449524427856,0.1261126921252393,0.0897206857182666,0.1215132494527501,0.0833262320188591
경상남도 사천시,0.4363687645105516,0.4194686998010526,0.3847843463654248,0.379220532695994,0.212426756169932,0.2504117728997688,0.21528345269947
경상남도 산청군,0.197995749679711,0.1615632340886764,0.2161929658243594,0.0531749958877528,-0.0070475525032205,0.0092682996449705,0.0536354225399764
경상남도 양산시,2.4090986449213725,2.3665678382538804,2.26414259124258,1.87404983486356,1.4254629406174584,1.1581358456641753,1.0123034546810674
경상남도 의령군,-0.0603919642702222,0.020009720135204,0.0669145898696643,0.1036186211971631,-0.0144485072088328,0.0288772546852516,0.0299300569849116
경상남도 진주시,1.2505832921398297,1.1393448999846345,0.9691263921722852,0.858507799583256,0.7988839385109329,0.6855879037659759,0.5842355450341794
경상남도 창녕군,0.2541644678472324,0.2083863632289089,0.1875543734770736,0.0730806029045525,0.0033686237883817,0.012030971725594,0.0060943085652085
