"행정구역(동읍면)별","5세별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"종로구","15 - 19세","총인구수[명]","명","8635","8091","7565","7067","6595","5861","5447","5369","5199",
"종로구","15 - 19세","남자인구수[명]","명","4465","4136","3806","3550","3315","2928","2715","2684","2551",
"종로구","15 - 19세","여자인구수[명]","명","4170","3955","3759","3517","3280","2933","2732","2685","2648",
"종로구","20 - 24세","총인구수[명]","명","11459","11379","11524","11176","10924","10474","9965","9563","9113",
"종로구","20 - 24세","남자인구수[명]","명","5766","5620","5673","5416","5185","4852","4559","4302","4125",
"종로구","20 - 24세","여자인구수[명]","명","5693","5759","5851","5760","5739","5622","5406","5261","4988",
"종로구","25 - 29세","총인구수[명]","명","11813","11891","12383","12589","12648","12942","12837","12721","12383",
"종로구","25 - 29세","남자인구수[명]","명","6093","6181","6490","6511","6499","6653","6414","6291","6049",
"종로구","25 - 29세","여자인구수[명]","명","5720","5710","5893","6078","6149","6289","6423","6430","6334",
"종로구","30 - 34세","총인구수[명]","명","11398","10684","10662","10348","10172","10084","10302","10553","10882",
"종로구","30 - 34세","남자인구수[명]","명","5750","5387","5379","5183","5080","5055","5198","5311","5508",
"종로구","30 - 34세","여자인구수[명]","명","5648","5297","5283","5165","5092","5029","5104","5242","5374",
"종로구","35 - 39세","총인구수[명]","명","10428","10379","10771","10883","10204","9859","9168","8789","8440",
"종로구","35 - 39세","남자인구수[명]","명","5128","5034","5271","5340","5006","4855","4509","4325","4140",
"종로구","35 - 39세","여자인구수[명]","명","5300","5345","5500","5543","5198","5004","4659","4464","4300",
"종로구","40 - 44세","총인구수[명]","명","12814","11603","11112","10259","9981","9949","9909","9812","9783",
"종로구","40 - 44세","남자인구수[명]","명","6321","5672","5329","4915","4802","4795","4751","4752","4767",
"종로구","40 - 44세","여자인구수[명]","명","6493","5931","5783","5344","5179","5154","5158","5060","5016",
"종로구","45 - 49세","총인구수[명]","명","13474","13819","13960","13590","13096","12282","11060","10132","9411",
"종로구","45 - 49세","남자인구수[명]","명","6622","6844","6934","6691","6420","6039","5385","4853","4524",
"종로구","45 - 49세","여자인구수[명]","명","6852","6975","7026","6899","6676","6243","5675","5279","4887",
"종로구","65 - 69세","총인구수[명]","명","7679","7411","7568","7648","7854","8464","8841","8902","9357",
"종로구","65 - 69세","남자인구수[명]","명","3569","3411","3532","3639","3788","4135","4360","4417","4648",
"종로구","65 - 69세","여자인구수[명]","명","4110","4000","4036","4009","4066","4329","4481","4485","4709",
"종로구","70 - 74세","총인구수[명]","명","6839","6636","6581","6569","6702","6732","6254","6184","6218",
"종로구","70 - 74세","남자인구수[명]","명","3100","3009","2919","2913","2993","3035","2855","2862","2922",
"종로구","70 - 74세","여자인구수[명]","명","3739","3627","3662","3656","3709","3697","3399","3322","3296",
"종로구","75 - 79세","총인구수[명]","명","4953","5263","5858","5948","5836","5768","5383","5220","5285",
"종로구","75 - 79세","남자인구수[명]","명","2197","2311","2609","2663","2559","2483","2321","2257","2289",
"종로구","75 - 79세","여자인구수[명]","명","2756","2952","3249","3285","3277","3285","3062","2963","2996",
"종로구","80 - 84세","총인구수[명]","명","2861","3104","3320","3538","3836","3999","4078","4345","4328",
"종로구","80 - 84세","남자인구수[명]","명","1133","1289","1345","1459","1604","1665","1680","1813","1802",
"종로구","80 - 84세","여자인구수[명]","명","1728","1815","1975","2079","2232","2334","2398","2532","2526",
"종로구","85 - 89세","총인구수[명]","명","1400","1480","1602","1678","1837","1979","2071","2109","2316",
"종로구","85 - 89세","남자인구수[명]","명","480","506","575","601","670","750","802","803","872",
"종로구","85 - 89세","여자인구수[명]","명","920","974","1027","1077","1167","1229","1269","1306","1444",
"종로구","90 - 94세","총인구수[명]","명","588","602","625","691","725","802","750","725","760",
"종로구","90 - 94세","남자인구수[명]","명","199","207","215","228","242","256","220","228","260",
"종로구","90 - 94세","여자인구수[명]","명","389","395","410","463","483","546","530","497","500",
"종로구","95 - 99세","총인구수[명]","명","223","234","250","269","275","291","200","190","201",
