시도별_2018,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
서울특별시 동대문구_2018,0,0,1,1,"3,297","13,543",1,2,19,148,766,"5,849","10,923","31,318","3,617","6,562","4,863","14,447",254,"2,119",275,"4,314","1,359","4,598",630,"7,073",435,"8,666",50,"3,443","1,000","16,243","1,031","14,494",776,"2,462","2,581","5,466"
서울특별시 중랑구_2018,0,0,1,3,"3,384","15,250",6,109,23,228,912,"6,006","5,296","16,071","6,550","13,092","4,152","11,212",135,"1,027",162,"1,800","1,085","2,921",336,"1,643",321,"2,853",47,"3,471",936,"7,773",999,"11,920",940,"2,484","2,739","5,153"
서울특별시 성북구_2018,0,0,0,0,"2,214","8,140",5,10,11,178,554,"3,934","4,805","15,159","3,080","6,058","4,463","13,397",235,"1,877",145,"1,512","1,125","2,708",478,"4,328",254,"5,255",52,"3,301","1,382","21,481","1,044","12,835",756,"2,306","2,684","5,722"
서울특별시 강북구_2018,0,0,0,0,"1,444","5,903",2,84,8,340,506,"2,133","3,768","10,625","3,218","6,625","3,719","10,674",103,682,267,"4,074",807,"1,782",293,"1,185",216,"3,440",44,"3,265",684,"5,871",813,"9,195",741,"2,037","2,285","4,503"
서울특별시 도봉구_2018,1,3,0,0,"1,020","4,137",1,1,9,110,495,"3,402","3,455","10,983","5,099","10,030","2,751","7,906",82,757,134,"1,281",796,"2,768",347,"1,773",181,"1,841",38,"3,872",962,"7,537",837,"11,640",622,"1,907","2,064","4,366"
서울특별시 노원구_2018,1,1,0,0,858,"3,720",6,311,11,214,551,"2,507","5,030","15,757","6,598","12,573","4,191","14,443",156,"1,242",236,"4,253","1,231","4,289",438,"3,259",317,"4,602",38,"3,141","1,950","21,138","1,454","18,684",934,"3,078","2,616","5,501"
서울특별시 은평구_2018,0,0,0,0,899,"3,041",6,159,15,255,635,"4,053","4,984","15,264","5,214","8,898","4,273","12,317",157,"1,201",164,"2,324","1,471","3,291",369,"1,710",249,"1,741",51,"3,879","1,469","10,058","1,190","13,963",810,"2,277","2,917","5,618"
서울특별시 서대문구_2018,1,3,0,0,686,"2,494",4,69,13,576,506,"3,868","4,025","14,045","2,903","5,835","4,315","14,505",443,"2,746",181,"4,067","1,023","2,634",632,"6,113",444,"6,690",43,"5,080","1,086","18,651",777,"15,362",572,"1,844","2,142","4,908"
서울특별시 마포구_2018,1,1,0,0,"1,317","5,350",11,464,28,355,"1,029","14,703","7,655","35,083","2,987","12,398","8,429","31,288","2,487","37,909",505,"10,751","1,918","5,932","2,632","20,741","1,069","34,430",57,"4,671","1,742","15,637","1,184","10,902","1,061","4,794","3,120","9,743"
서울특별시 양천구_2018,0,0,0,0,"1,150","4,926",2,266,20,473,828,"10,437","5,259","17,547","5,053","12,806","3,604","12,092",273,"5,094",209,"2,549","1,254","3,571",736,"3,232",336,"5,260",48,"6,609","2,376","14,974","1,203","14,213",931,"3,104","2,844","6,158"
