시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
강원특별자치도 춘천시,84,710,10,160,"1,618","8,520",328,"1,170",73,795,"3,251","11,768","7,223","15,701","3,388","6,700","6,066","14,963",447,"3,734",322,"3,504","1,015","3,250","1,034","5,292",739,"3,674",92,"7,512","1,441","11,941",985,"14,474","1,016","4,304","3,231","5,637",
강원특별자치도 원주시,90,380,23,255,"2,451","19,896",541,912,107,"1,029","4,627","16,091","10,022","22,412","3,361","6,894","7,171","15,215",353,"1,756",454,"9,951","1,714","4,411","1,103","5,457","1,052","7,708",85,"6,060","1,710","12,478","1,109","17,955","1,009","3,639","4,016","7,135",
강원특별자치도 강릉시,100,535,30,190,"1,522","7,593",267,693,82,729,"2,990","11,248","6,614","14,069","2,172","4,934","6,500","14,829",185,937,315,"2,813",727,"1,687",627,"3,033",629,"3,587",76,"3,831","1,179","8,459",701,"9,984",704,"1,993","2,572","4,392",
강원특별자치도 동해시,4,21,6,126,595,"3,573",40,486,22,177,"1,854","4,207","2,746","5,417",897,"2,959","2,234","4,447",32,195,116,973,206,629,151,482,218,"1,487",42,"2,323",419,"2,301",263,"3,816",241,551,"1,025","1,713",
강원특별자치도 태백시,25,107,19,803,247,"1,158",86,171,24,259,535,"2,261","1,365","2,626",371,"1,027","1,024","2,244",37,116,61,489,80,249,79,470,98,483,32,"1,900",203,"1,355",145,"3,410",155,614,743,"1,217",
강원특별자치도 속초시,14,86,0,0,488,"2,238",28,86,27,273,900,"2,694","2,958","5,980",754,"1,638","2,942","7,618",59,300,111,"1,037",449,"1,055",200,654,205,515,39,"1,837",366,"2,373",284,"3,191",306,925,"1,028","1,720",
강원특별자치도 삼척시,47,237,44,"1,694",414,"2,052",183,817,34,284,"1,264","4,646","1,844","3,398",408,860,"2,138","4,358",26,175,75,680,138,402,137,922,179,"1,585",59,"2,099",261,"2,722",210,"2,642",219,722,765,"1,228",
강원특별자치도 홍천군,105,498,6,60,499,"2,922",494,571,39,347,"1,296","4,299","1,918","3,734",542,"1,096","2,083","4,932",40,168,64,678,206,369,160,759,200,"1,012",43,"2,036",252,"2,131",213,"2,267",194,"1,633",743,"1,206",
강원특별자치도 횡성군,73,191,2,26,457,"5,484",222,273,21,244,738,"1,878","1,236","2,776",324,580,"1,172","2,791",31,133,34,233,178,299,109,393,101,452,35,"1,492",153,"1,563",154,"1,585",130,753,445,731,
강원특별자치도 영월군,42,155,23,314,310,"2,079",194,360,20,149,778,"5,188","1,118","2,132",253,526,"1,175","2,217",31,160,36,266,60,123,104,471,109,"1,210",45,"3,720",165,"1,135",129,"1,473",171,610,469,760,
강원특별자치도 평창군,118,669,3,41,287,"1,196",212,281,30,255,747,"2,534","1,275","2,597",231,561,"1,855","5,190",28,117,53,463,173,273,125,"1,122",184,785,32,"1,303",158,"1,298",125,"1,043",171,805,450,811,
강원특별자치도 정선군,47,344,22,399,249,"1,091",132,179,14,111,543,"1,661","1,159","1,861",261,575,"1,397","2,875",30,130,76,312,67,148,69,303,137,"2,167",42,"2,116",122,"1,042",96,"1,328",127,"7,637",455,888,
강원특별자치도 철원군,56,364,1,7,314,"1,572",296,352,24,151,480,"3,815","1,063","2,006",226,367,"1,129","2,093",27,170,36,297,90,150,79,316,90,206,25,"1,014",200,"1,152",126,"1,608",175,531,497,815,
