시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
전라남도 영암군,162,479,5,45,"1,212","15,726","1,055","1,166",27,220,723,"4,568","1,492","3,047",693,"1,423",952,"1,997",41,313,49,417,77,221,141,611,128,507,42,"1,656",152,"1,680",206,"2,388",116,610,496,734,
전라남도 무안군,102,408,23,40,727,"3,091",773,899,30,298,700,"2,557","2,334","4,449",984,"1,607","1,365","2,973",41,188,93,977,323,812,194,916,126,"1,169",52,"5,523",402,"4,009",271,"3,662",177,935,756,"1,207",
전라남도 함평군,99,473,5,34,432,"2,108",342,391,24,141,558,"1,529",863,"1,720",285,619,396,842,26,106,29,210,47,78,60,184,43,129,34,"1,210",79,864,143,"1,578",46,302,347,544,
전라남도 영광군,99,464,83,210,946,"3,682",282,"2,065",20,87,801,"2,926","1,646","3,035",541,768,876,"1,842",30,148,50,427,83,192,101,523,102,892,47,"1,276",162,"1,338",189,"2,506",84,281,533,886,
전라남도 장성군,97,343,3,36,918,"6,450",497,520,30,194,734,"4,053","1,296","2,810",846,"1,461",686,"1,428",30,149,32,313,127,180,122,544,102,442,34,"1,523",105,"1,020",138,"2,014",82,441,386,819,
전라남도 완도군,83,258,5,103,483,"1,876",450,641,29,168,515,"1,951","1,933","3,370",359,866,"1,199","2,106",39,173,57,655,46,70,52,174,75,177,66,"1,931",163,"1,335",150,"1,410",109,284,529,736,
전라남도 진도군,95,244,7,42,254,748,391,517,19,117,425,"1,274","1,011","1,976",185,315,647,"1,287",23,126,32,300,30,44,43,127,44,78,41,"1,279",96,741,120,"1,271",94,251,431,577,
전라남도 신안군,57,154,790,"1,660",216,944,222,346,24,100,303,"2,671",826,"1,486",510,854,661,"1,327",34,154,27,235,15,24,25,205,56,110,83,"1,824",84,892,120,"1,196",47,187,328,404,
전북특별자치도 전주시,85,595,6,14,"3,672","15,870","1,120","1,962",99,"1,365","8,129","30,280","20,398","42,501","5,851","11,508","11,020","26,268",778,"4,615",970,"13,634","3,634","8,043","2,636","11,521","1,852","11,775",118,"11,502","3,836","24,744","2,326","36,151","2,011","5,246","7,722","14,135",
전북특별자치도 군산시,108,375,6,87,"2,576","23,875","1,099","2,186",110,"1,211","2,977","10,072","8,206","15,244","3,486","7,150","4,959","10,614",172,629,297,"2,376","1,087","2,492",610,"3,044",697,"4,363",117,"4,746","1,220","8,791",913,"13,563",676,"1,590","3,010","4,714",
전북특별자치도 익산시,185,762,20,196,"3,173","25,204","2,933","3,351",102,917,"2,500","12,325","8,425","16,942","3,699","7,461","4,390","9,490",151,759,264,"3,074","1,048","2,686",604,"3,048",638,"3,831",92,"3,559","1,297","9,868","1,002","14,499",702,"1,671","3,321","5,387",
전북특별자치도 정읍시,177,614,9,78,"1,122","8,776","2,702","2,827",63,395,"1,365","3,774","3,223","5,899","1,218","1,829","1,763","3,430",64,333,139,"1,240",202,551,220,"1,065",220,570,84,"2,231",476,"3,128",455,"5,451",241,"1,066","1,394","2,133",
전북특별자치도 남원시,86,324,20,229,768,"3,497","1,757","1,833",24,151,"1,402","3,455","2,640","4,776",733,"1,209","1,575","3,012",45,198,99,854,168,389,176,779,123,404,73,"2,045",325,"2,257",335,"4,071",184,717,904,"1,393",
전북특별자치도 김제시,199,957,5,8,"1,283","11,120","2,993","3,309",65,350,916,"3,745","2,624","5,633","1,014","1,694","1,183","2,504",40,240,83,647,181,328,151,603,154,873,57,"2,269",297,"2,289",327,"4,956",167,598,921,"1,536",
전북특별자치도 완주군,70,261,3,50,"1,341","21,658","1,009","1,035",31,205,891,"4,185","2,460","5,116","2,114","3,353","1,711","4,092",67,505,47,390,308,606,254,"4,283",222,995,47,"2,656",425,"4,117",329,"3,693",192,530,815,"1,452",
전북특별자치도 진안군,61,258,0,0,354,"1,327",618,651,18,144,336,"1,208",667,"1,166",129,415,383,818,22,96,31,276,18,33,54,308,30,65,37,"1,076",77,836,110,"1,173",42,117,243,402,
전북특별자치도 무주군,39,134,1,15,198,754,191,288,11,51,393,"1,556",660,"1,239",326,537,728,"1,771",14,74,25,139,53,75,59,163,130,620,30,"1,089",87,714,100,"1,155",73,453,263,563,
전북특별자치도 장수군,64,305,2,30,211,860,800,880,12,114,308,"1,582",491,992,140,173,352,673,17,149,23,161,20,36,56,234,23,72,27,"1,449",70,643,91,902,59,335,206,400,
전북특별자치도 임실군,72,268,0,0,257,"1,699","1,210","1,257",21,112,349,"2,184",639,"1,149",308,501,424,925,20,97,30,216,25,45,37,214,48,259,46,"1,274",89,958,134,"2,553",51,246,282,461,
전북특별자치도 순창군,63,206,1,15,297,"1,452",325,362,15,120,466,"1,208",650,"1,092",133,286,436,858,27,94,28,232,28,80,40,154,32,67,48,"1,120",93,804,123,"1,489",60,185,267,520,
전북특별자치도 고창군,157,757,28,102,494,"2,150",778,840,19,257,747,"2,539","1,679","3,069",452,787,927,"1,958",32,204,63,536,86,155,101,404,109,279,61,"1,871",200,"1,480",220,"3,362",133,757,750,"1,156",
전북특별자치도 부안군,122,339,16,63,473,"2,706","1,257","1,358",24,179,563,"1,665","1,792","3,350",452,857,"1,318","2,804",35,120,61,695,127,215,76,312,72,278,59,"2,099",168,"1,397",190,"2,468",108,314,553,847,
제주특별자치도 제주시,443,"2,131",9,171,"2,730","10,856",670,"1,439",126,"1,043","7,558","29,416","16,082","36,920","6,468","15,040","15,477","36,862",703,"6,578",656,"7,079","3,059","5,514","2,101","8,611","2,566","12,705",145,"11,427","2,648","16,067","1,591","21,460","1,882","7,250","5,125","10,443",
제주특별자치도 서귀포시,316,"1,850",2,20,893,"2,995",418,775,62,416,"1,735","4,695","6,010","12,902","1,389","2,661","7,210","18,591",156,422,192,"2,311",920,"2,493",485,"1,511",479,"2,030",64,"3,958",838,"5,730",539,"6,875",601,"4,473","1,653","3,171",
충청남도 천안시,122,562,3,54,"7,668","91,591",608,881,158,"1,579","6,490","21,426","18,201","40,883","6,584","14,875","11,119","27,061",805,"3,269",657,"5,832","3,860","8,373","2,388","10,864","2,088","19,127",103,"5,905","3,307","24,590","2,042","29,151","1,893","4,315","6,485","11,332",
충청남도 공주시,110,436,10,52,"1,101","10,361","1,226","1,278",50,356,"1,791","6,507","3,120","6,569",972,"2,273","2,528","5,270",97,369,110,881,412,846,353,"2,096",299,"1,904",52,"2,740",401,"5,398",401,"6,428",324,919,"1,334","2,440",
충청남도 보령시,109,669,19,120,909,"5,921",808,"2,575",34,359,"1,355","4,629","3,233","5,825","1,156","2,031","2,763","5,488",61,261,97,"1,036",277,671,201,"1,871",197,"1,523",67,"2,813",416,"2,566",327,"5,280",333,710,"1,151","1,807",
충청남도 아산시,113,633,13,115,"4,941","98,516",682,"1,092",110,907,"3,285","11,801","7,177","16,659","3,450","6,703","5,403","13,441",335,"1,088",228,"2,536","1,554","3,261",766,"3,420","1,008","5,175",52,"3,663","1,293","11,949",980,"11,335",774,"1,895","2,611","4,950",
충청남도 서산시,98,504,17,96,"1,161","23,077",901,"1,354",62,678,"2,030","7,483","4,707","9,506","1,995","5,095","3,550","7,024",98,460,171,"1,864",667,"1,478",394,"1,728",429,"4,563",62,"3,049",800,"4,858",521,"7,364",464,978,"1,837","3,077",
충청남도 논산시,123,676,3,7,"1,405","11,121","2,043","2,097",65,599,"1,549","4,362","3,933","7,368","1,350","2,299","2,264","4,561",84,321,138,"1,154",329,634,227,"1,112",309,"1,122",47,"3,274",466,"4,009",474,"6,514",350,708,"1,565","2,439",
충청남도 계룡시,3,9,0,0,182,"1,049",12,26,15,106,202,752,803,"1,632",291,"1,017",539,"1,287",39,386,25,153,142,383,92,303,68,207,12,863,246,"1,238",143,"1,234",106,347,387,816,
충청남도 당진시,194,727,11,59,"2,078","36,363",783,"2,255",100,"1,191","2,274","7,879","4,434","8,864","2,410","5,334","3,252","6,918",106,476,136,"1,370",814,"1,468",349,"2,173",481,"4,498",56,"2,420",727,"4,402",504,"6,735",541,"1,210","1,779","2,984",
충청남도 금산군,86,274,7,100,"1,494","11,704",957,"1,019",49,368,833,"2,426","2,564","4,216",799,"1,568","1,028","1,886",40,175,46,323,173,254,116,478,99,355,32,"1,932",173,"1,823",234,"2,345",131,318,613,946,
충청남도 부여군,147,710,8,73,546,"2,941","1,136","1,187",33,283,982,"2,849","1,891","3,435",605,"1,041","1,072","2,042",46,239,62,509,102,195,121,506,118,395,47,"1,917",182,"1,843",229,"2,925",118,517,701,977,
충청남도 서천군,62,365,0,0,650,"5,614",982,"1,372",32,252,849,"2,304","1,751","2,883",572,"1,057","1,048","1,978",41,190,62,506,121,205,89,"1,255",111,494,51,"1,461",174,"1,280",219,"5,629",142,277,674,949,
충청남도 청양군,85,387,0,0,356,"2,664",378,460,29,108,445,"1,290",985,"1,715",697,862,608,"1,159",31,115,35,240,51,87,60,183,46,109,32,"1,365",92,852,121,"1,322",99,267,622,839,
충청남도 홍성군,101,629,6,85,824,"5,651",715,795,35,346,"1,399","3,786","3,051","6,005","1,031","1,589","1,876","3,807",94,459,129,"1,263",332,804,246,"1,058",239,915,53,"4,692",471,"3,585",337,"5,038",249,545,"1,200","2,031",
충청남도 예산군,125,632,5,65,934,"10,512",883,959,43,365,"1,428","3,825","2,313","4,374",836,"1,431","1,711","3,425",60,244,89,889,256,551,169,720,213,451,44,"2,657",257,"1,901",269,"3,385",271,535,"1,016","1,724",
충청남도 태안군,106,768,29,53,455,"1,295",474,"2,183",38,273,832,"4,171","2,328","4,044",488,844,"2,707","5,101",33,194,54,477,221,381,123,"1,069",155,913,37,"1,817",192,"1,470",183,"3,232",211,728,681,"1,080",
충청북도 청주시,146,677,22,198,"7,773","93,916","1,028","1,897",263,"2,323","8,373","37,364","23,056","48,708","8,817","17,759","14,270","32,603",799,"4,131",804,"8,743","3,772","9,960","2,609","16,551","2,572","22,853",153,"16,677","3,829","27,402","2,602","35,394","2,538","5,996","8,144","14,475",
충청북도 충주시,127,630,30,260,"1,950","22,873",751,892,74,"1,108","3,043","10,096","6,052","12,126","2,428","4,574","4,687","9,528",142,665,222,"2,173",749,"1,900",483,"2,080",567,"3,648",89,"3,340",927,"8,152",636,"9,047",666,"3,002","2,317","3,734",
충청북도 제천시,69,229,27,213,"1,075","8,424",414,475,53,469,"2,277","5,753","4,180","8,113","2,136","4,935","3,308","6,177",83,286,152,"1,191",417,818,265,"1,004",305,"2,114",52,"2,315",538,"4,584",452,"7,206",431,992,"1,771","3,056",
충청북도 보은군,56,318,6,32,402,"4,171",415,480,14,132,298,"1,911",918,"1,506",499,741,732,"1,381",24,97,43,297,71,97,55,187,82,253,38,"1,215",103,979,111,"2,176",71,297,308,570,
충청북도 옥천군,47,203,5,7,807,"6,378",714,764,25,218,"1,048","2,410","1,380","2,650",717,"1,240",924,"1,849",31,171,53,464,113,211,98,528,147,359,36,"1,274",132,"1,390",172,"2,441",124,305,515,892,
충청북도 영동군,46,183,5,50,436,"2,775",382,417,18,227,501,"2,135","1,194","2,312",245,608,888,"1,552",38,139,45,303,87,136,83,298,77,162,38,"1,336",163,"1,325",182,"2,029",100,276,520,817,
충청북도 증평군,15,89,0,0,321,"4,438",168,212,22,110,306,"1,024","1,069","2,124",630,822,800,"1,564",15,52,31,263,115,327,57,127,98,"1,049",10,913,130,928,127,"1,170",116,382,444,606,
충청북도 진천군,79,365,7,115,"1,761","32,408",251,312,76,535,"1,503","3,715","2,044","4,219","1,057","2,273","1,791","3,496",52,679,62,456,345,827,162,"1,287",352,"2,119",28,"1,449",263,"3,153",239,"2,851",221,"1,050",657,"1,104",
충청북도 괴산군,77,366,3,27,489,"4,370",460,489,35,255,475,"1,482",883,"1,819",319,"1,100",951,"1,773",27,181,32,327,92,117,95,390,69,157,35,"1,539",102,"1,288",125,"1,443",61,125,315,606,
충청북도 음성군,93,730,0,0,"3,199","42,222",434,530,87,607,979,"4,935","3,224","6,619","1,551","2,897","2,218","4,552",54,358,95,834,489,989,250,"2,731",471,"2,643",40,"2,385",252,"2,827",298,"3,595",295,975,938,"1,996",
충청북도 단양군,25,114,17,251,275,"2,272",197,247,18,179,628,"2,381",841,"1,323",399,946,"1,052","2,042",19,78,29,162,54,108,45,173,75,943,32,"1,300",87,706,97,"1,055",118,509,324,854,
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
강원도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
충청북도 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
전북특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
경상남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
제주특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
