시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 중구,20,"1,387",1,3,667,"1,444",1,33,9,158,147,"1,442","6,077","14,103","2,176","20,904","2,773","8,975",108,"1,070",220,"2,417",412,"1,144",334,"2,617",378,"5,960",37,"2,195",181,"1,071",219,"2,554",303,"1,027","1,095","2,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 서구,22,921,2,6,479,"2,923",3,102,10,178,205,"1,193","3,642","9,052",756,"3,189","1,837","4,974",32,131,72,561,244,745,119,474,162,"1,914",36,"1,614",348,"3,293",262,"9,543",173,543,"1,148","2,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 동구,5,51,1,3,"1,176","2,942",2,66,9,133,390,"6,010","4,922","12,854","1,188","8,711","2,210","6,225",101,"1,368",380,"7,770",447,"2,221",444,"3,393",386,"10,584",48,"2,577",262,"2,022",336,"5,379",162,615,"1,501","3,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 영도구,4,184,0,0,919,"7,568",3,68,19,251,260,"1,953","2,119","5,484","1,122","3,783","1,712","4,140",48,424,49,339,294,790,96,966,65,"2,424",37,"2,194",313,"3,799",254,"3,504",175,568,"1,722","4,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 부산진구,2,56,1,3,"2,316","8,494",4,627,13,224,"1,058","13,489","10,414","28,154","2,623","7,495","6,198","20,923",238,"1,647",784,"14,734","1,501","6,641",839,"5,639",602,"15,911",62,"3,044","1,382","13,283","1,110","14,654",760,"2,880","3,579","9,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 동래구,1,28,1,3,"1,030","3,591",5,215,10,383,893,"9,794","5,299","14,763","2,423","3,744","3,950","12,509",74,728,169,"1,928",920,"2,976",422,"2,587",327,"7,719",34,"1,767","1,202","7,250",691,"9,065",600,"1,882","2,412","5,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 남구,0,0,0,0,939,"4,956",3,402,18,289,495,"5,456","3,711","10,323","2,151","9,762","3,130","9,240",149,825,142,"4,476",679,"2,016",305,"1,522",243,"4,004",51,"2,263",872,"11,285",576,"6,945",473,"1,549","2,047","5,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 북구,0,0,1,3,593,"2,574",3,179,13,302,386,"2,632","3,572","9,517","2,349","3,618","2,962","8,400",52,399,149,"2,512",702,"1,920",180,"1,351",141,"1,857",42,"2,596",987,"6,942",663,"8,849",563,"1,511","1,779","3,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 해운대구,0,0,1,3,801,"6,371",5,152,26,423,762,"7,434","7,411","24,529","2,692","5,673","4,816","21,252",463,"5,060",265,"3,110","1,615","6,408","1,065","7,101",366,"6,318",65,"2,870","1,704","11,101",995,"12,168",698,"3,091","2,805","6,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 사하구,8,321,0,0,"3,351","31,744",10,435,49,698,511,"4,812","5,103","14,552","2,560","9,600","4,138","10,682",62,496,143,"1,727",778,"2,406",253,"1,681",239,"2,362",52,"2,593","1,084","8,728",746,"9,836",598,"1,534","2,505","5,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 금정구,1,28,0,0,"1,682","10,847",2,66,22,301,701,"11,868","4,561","13,827","1,665","8,833","3,478","9,522",89,803,110,996,760,"2,172",464,"2,877",189,"2,615",45,"2,102",915,"11,394",563,"7,203",582,"2,059","2,073","5,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 강서구,9,53,5,32,"6,093","69,781",8,183,75,544,379,"2,575","3,967","13,075",838,"7,413","1,628","4,771",42,573,83,731,685,"1,268",220,"2,629",107,893,56,"2,521",261,"2,319",185,"1,646",179,"1,439",714,"2,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 연제구,0,0,0,0,718,"3,226",0,0,13,91,750,"10,899","3,683","12,793","1,473","3,355","3,013","9,309",109,"1,137",411,"6,834",954,"4,291","1,091","5,943",358,"7,178",49,"8,045",768,"4,892",554,"7,167",399,"1,174","1,984","4,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 수영구,0,0,0,0,572,"2,096",2,66,12,213,575,"6,092","3,607","9,625","1,047","3,267","2,830","8,640",77,908,98,967,644,"2,048",332,"2,070",247,"2,322",29,"1,726",727,"3,487",449,"6,230",356,860,"1,692","3,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 사상구,0,0,0,0,"7,235","42,653",4,118,77,722,647,"4,326","9,548","29,098","2,054","7,099","3,698","9,156",118,803,126,"1,133",610,"1,815",447,"2,999",196,"4,597",37,"2,553",572,"6,707",477,"7,158",542,"1,195","2,193","5,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 기장군,7,33,0,0,"1,096","16,360",10,"2,575",42,437,394,"4,531","2,712","8,257",758,"3,069","2,215","6,733",23,207,63,666,451,"1,472",105,435,113,"2,045",26,"2,370",509,"3,581",393,"4,331",253,"1,285","1,038","2,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 종로구,3,30,4,10,"4,450","13,078",7,363,6,136,339,"30,754","17,025","44,263","1,350","6,818","6,724","26,577",883,"18,628",551,"21,634","1,301","7,223","1,499","20,315","1,242","18,625",90,"16,504",852,"13,317",732,"15,954",926,"6,198","2,506","8,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 중구,0,0,2,3,"9,947","30,475",5,689,9,343,402,"5,462","32,867","97,809","1,484","14,172","6,141","31,793",929,"25,116","1,260","51,405","1,661","8,913","2,698","35,960","1,484","36,580",63,"18,145",454,"8,307",734,"9,437",574,"3,546","2,222","8,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 용산구,0,0,0,0,"1,054","3,446",4,11,11,142,423,"6,834","7,258","27,506","1,367","3,919","4,453","18,201",525,"9,492",292,"5,921","1,083","4,426",784,"17,785",348,"10,838",50,"3,219",539,"7,297",554,"6,367",410,"2,188","1,651","5,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 성동구,1,2,0,0,"4,612","28,130",5,410,30,745,649,"5,981","7,250","32,412","2,683","8,295","3,786","11,744",744,"8,701",293,"4,023","1,272","5,433","1,199","11,663",385,"15,503",47,"4,373",886,"11,311",743,"8,357",593,"2,529","2,100","7,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 광진구,1,3,0,0,"1,853","7,616",2,3,16,240,796,"12,798","6,103","19,488","2,518","6,133","4,675","16,498",391,"3,791",223,"4,579","1,201","3,241",726,"4,061",440,"9,998",36,"2,523","1,159","14,191",904,"10,686","1,052","3,746","2,592","5,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 동대문구,0,0,1,1,"3,539","14,237",1,3,17,147,775,"6,270","11,272","31,474","3,602","6,889","4,909","14,047",277,"1,855",292,"5,002","1,309","4,589",591,"7,425",441,"9,109",50,"4,267",985,"15,117","1,006","14,693",749,"2,376","2,595","5,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 중랑구,0,0,1,3,"3,578","16,259",6,123,20,214,920,"5,503","5,416","16,124","6,412","13,473","4,154","10,944",134,"1,118",150,"1,713","1,061","2,757",320,"1,626",308,"2,832",47,"3,350",922,"7,863",985,"11,586",896,"2,302","2,715","4,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 성북구,0,0,0,0,"2,424","9,199",5,11,11,177,569,"4,093","4,927","15,313","3,520","6,708","4,415","12,731",234,"1,756",151,"1,600","1,099","2,673",456,"3,954",262,"5,601",52,"3,915","1,372","20,652","1,065","12,533",735,"2,130","2,742","5,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강북구,0,0,0,0,"1,541","6,621",1,80,9,326,498,"2,057","3,857","10,768","3,192","6,822","3,681","10,569",101,715,253,"4,027",789,"1,776",275,"1,123",218,"3,321",44,"2,750",683,"5,729",816,"8,573",721,"1,972","2,249","4,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 도봉구,1,2,0,0,"1,090","4,556",0,0,9,116,492,"3,150","3,500","10,915","4,502","9,543","2,732","7,514",87,709,136,"1,320",785,"2,609",325,"1,785",172,"1,352",39,"3,605",960,"7,423",845,"9,640",620,"1,903","2,056","4,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 노원구,1,2,0,0,848,"4,042",4,214,13,162,538,"2,431","5,084","15,534","6,550","12,677","4,143","14,211",168,"1,233",243,"4,315","1,198","4,574",420,"2,339",313,"5,110",38,"3,042","1,951","21,222","1,468","18,404",921,"2,852","2,615","5,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 은평구,0,0,0,0,957,"3,266",6,160,13,206,645,"4,092","5,121","15,605","4,990","8,482","4,178","11,781",149,"1,246",170,"2,437","1,409","3,296",347,"1,510",229,"1,694",53,"4,042","1,430","9,983","1,170","13,259",814,"2,216","2,880","5,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 서대문구,1,1,0,0,754,"2,721",2,51,14,574,502,"4,062","4,071","14,505","2,881","6,195","4,337","14,107",416,"2,852",213,"4,796",989,"2,594",568,"5,884",450,"7,011",44,"5,428","1,078","18,919",781,"14,639",587,"1,788","2,164","4,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 마포구,0,0,0,0,"1,336","5,121",8,425,22,307,"1,084","16,287","7,664","33,868","2,947","11,967","8,139","28,793","2,469","34,801",497,"11,322","1,755","5,588","2,460","19,824","1,072","35,339",58,"4,599","1,609","15,681","1,182","10,593","1,000","4,257","3,023","9,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 양천구,0,0,0,0,"1,190","5,294",2,270,21,457,840,"9,741","5,432","17,338","4,894","12,935","3,566","11,585",283,"5,010",207,"2,486","1,242","3,647",695,"3,049",315,"4,694",48,"6,153","2,366","15,026","1,213","13,177",935,"3,097","2,828","5,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강서구,1,30,0,0,"1,258","7,027",6,426,42,639,"1,135","13,334","8,713","34,665","7,095","53,820","5,651","20,057",659,"11,196",298,"3,976","1,909","7,006",989,"17,291",554,"17,199",57,"3,267","1,787","13,832","1,542","17,902","1,176","3,498","3,684","9,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 구로구,1,1,0,0,"3,729","19,002",7,102,21,219,"1,020","11,691","12,201","40,111","4,768","9,552","4,688","14,686","2,096","30,009",480,"8,392","1,320","4,381","1,485","15,312",697,"21,935",46,"4,061","1,204","10,481","1,124","13,889",888,"2,403","2,630","7,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 금천구,1,4,2,3,"5,412","40,151",6,15,27,305,"1,130","15,891","8,948","41,969","2,824","9,589","3,318","10,293","2,441","36,266",227,"2,505",984,"3,114","1,922","26,071",610,"20,864",32,"1,908",675,"5,452",692,"7,229",588,"1,464","1,911","4,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구,0,0,2,19,"4,186","14,084",9,761,23,628,"1,372","23,440","11,581","51,856","4,094","12,233","7,003","25,853","1,785","28,943","1,158","54,040","1,849","11,132","2,310","30,977","1,120","58,775",67,"8,676","1,251","9,054","1,201","16,182","1,096","3,956","3,056","12,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 동작구,0,0,1,2,651,"2,228",3,142,14,435,569,"4,921","4,689","14,990","2,115","3,290","4,143","12,907",240,"4,182",199,"3,558","1,203","5,348",414,"6,640",323,"12,877",44,"3,217","1,215","15,448","1,010","12,622",812,"2,600","2,321","5,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 관악구,0,0,1,5,"1,350","5,480",0,0,12,171,695,"9,125","5,164","16,347","4,089","6,609","5,640","17,322",299,"3,124",180,"2,182","1,402","3,960",586,"4,725",347,"6,590",50,"3,763","1,227","15,100","1,172","11,432","1,068","3,088","3,092","6,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 서초구,4,29,2,5,"1,064","5,666",13,146,16,285,"1,805","69,230","12,253","68,309","1,390","8,717","6,728","31,508","2,201","29,731",941,"18,249","3,153","13,460","6,303","64,040","1,296","56,251",67,"11,070","2,529","21,284","1,672","19,747","1,328","6,077","3,442","12,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강남구,1,2,3,10,"1,707","14,910",25,"1,052",24,856,"2,071","55,618","17,274","133,772","3,092","11,093","11,074","56,982","4,662","58,867","1,951","35,865","5,686","29,287","8,798","103,202","2,093","71,474",57,"6,052","3,850","29,001","3,057","39,254","1,833","8,557","5,253","23,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 송파구,9,315,2,5,"1,487","8,803",9,25,30,622,"1,887","45,141","13,728","58,913","5,746","15,124","7,032","28,346",776,"23,646",522,"8,764","2,486","13,280","2,165","25,352",800,"31,046",71,"6,687","2,299","18,803","1,781","25,071","1,622","8,597","4,224","10,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강동구,4,48,0,0,"1,566","6,508",3,94,15,511,"1,072","17,302","6,897","24,610","5,597","9,738","4,885","15,466",257,"2,043",278,"4,141","1,531","4,286",602,"5,909",431,"13,764",46,"3,534","1,479","11,239","1,234","17,337",969,"3,112","3,086","6,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세종특별자치시,13,?103,?11,?138,?971,"?19,310",?7,?247,?47,?395,?518,"?4,133","?2,417","?6,964",?784,"?2,613","?2,724","?8,348",?82,"?1,099",?132,"?1,251",?946,"?3,370",?275,"?5,454",?170,"?2,307",?102,"?17,063",?609,"?8,802",?549,"?5,308",?370,"?1,255","?1,126","?2,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 중구,1,23,1,2,914,"2,543",4,116,21,144,670,"4,340","4,388","9,799","1,866","2,800","3,164","7,233",62,782,115,"1,808",593,"1,894",310,"3,479",184,"1,631",33,"2,487",893,"5,774",480,"5,867",560,"1,346","2,070","3,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 남구,2,20,1,54,"1,450","27,944",16,987,62,752,"1,232","18,032","7,685","23,631","2,475","9,593","6,586","20,696",181,"2,307",557,"9,906","1,375","8,104","1,010","7,531",550,"10,149",70,"6,564","1,843","12,302","1,044","11,447","1,095","3,184","3,313","8,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 동구,2,4,0,0,483,"47,283",2,21,3,53,165,"1,775","2,015","4,799",618,"1,064","2,679","7,445",22,235,84,"1,042",269,704,95,"2,626",88,756,22,"1,219",553,"4,124",377,"5,148",371,888,"1,066","1,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 북구,1,9,1,7,"1,525","53,064",6,325,14,110,277,"2,071","2,698","9,469","1,057","4,528","2,163","6,532",26,248,96,867,446,"1,311",153,"1,733",116,"2,315",27,"1,500",660,"5,364",411,"3,901",385,848,"1,095","3,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 울주군,13,75,12,221,"2,519","46,675",11,257,92,794,844,"9,684","3,222","8,797","1,429","6,758","3,540","8,621",47,295,79,897,589,"1,593",161,"1,174",293,"3,904",50,"1,499",695,"6,298",446,"5,357",457,"1,376","1,502","3,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 강화군,9,79,1,18,384,"2,600",3,76,9,48,198,"1,091","1,300","2,539",364,633,"1,705","3,666",29,153,48,509,208,330,60,261,30,98,57,"1,284",161,"1,686",184,"2,142",131,420,601,"1,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 옹진군,6,89,2,36,47,156,18,846,0,0,74,763,292,530,61,184,982,"1,894",12,59,17,93,37,49,6,21,27,171,45,686,42,381,40,352,53,94,119,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 중구,3,42,17,365,401,"7,207",8,185,38,446,281,"1,804","3,526","10,686","2,413","26,577","2,772","10,192",52,"1,093",102,"1,081",446,"1,962",129,871,223,"8,242",72,"6,253",299,"3,690",301,"4,899",302,"1,969",997,"3,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 동구,0,0,1,18,"1,556","10,666",0,0,19,142,348,"1,833","2,778","6,832",734,"2,588",798,"1,789",20,61,56,389,191,536,110,388,70,591,22,"1,101",143,"1,712",216,"3,011",92,256,680,"1,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 미추홀구,0,0,0,0,"2,031","15,799",6,353,33,320,873,"5,336","6,626","18,422","3,873","9,773","4,986","13,094",191,"1,271",319,"4,936","1,114","2,998",746,"4,612",336,"6,172",59,"5,682",945,"10,082",885,"11,336",887,"2,100","3,331","7,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 연수구,0,0,0,0,812,"12,446",7,544,22,474,494,"7,549","4,370","15,434","2,275","5,232","3,374","13,743",153,"1,286",119,"1,298",959,"3,636",394,"6,591",208,"3,174",34,"2,197","1,161","12,402",712,"7,198",651,"2,381","1,764","3,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 남동구,2,28,0,0,"7,266","85,187",5,167,112,"1,372",988,"11,121","8,396","25,791","4,587","7,492","6,048","19,006",134,"1,516",376,"6,706","1,419","4,927",736,"5,144",409,"9,853",58,"6,153","1,411","11,419","1,321","17,343","1,151","3,407","3,439","8,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 부평구,0,0,0,0,"3,427","38,323",5,457,34,266,937,"7,562","8,045","23,643","3,656","6,936","5,524","15,814",140,"1,687",398,"7,077","1,400","3,971",482,"3,489",405,"4,962",54,"2,927","1,436","11,313","1,333","16,173","1,152","2,981","3,726","8,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 계양구,2,28,1,18,"1,722","11,401",2,23,25,251,567,"4,477","4,020","12,635","2,693","5,480","3,208","9,075",75,946,133,"1,712",818,"2,268",333,"1,652",207,"4,869",29,"2,259",808,"7,647",779,"9,427",708,"1,768","2,034","4,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 서구,4,19,11,171,"6,549","63,575",15,"1,530",143,"2,327",752,"5,796","6,703","23,144","3,587","11,504","4,915","14,175",62,662,152,"1,694","1,315","3,111",337,"5,167",254,"2,629",48,"4,225","1,300","10,525","1,064","12,423",955,"2,773","2,975","7,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 목포시,4,118,6,34,976,"3,374",7,267,29,366,745,"4,379","6,312","15,040","1,549","5,691","4,453","11,359",92,969,243,"3,758",602,"2,088",334,"1,632",266,"2,185",76,"3,825",989,"7,290",740,"11,127",617,"1,685","2,827","5,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 여수시,39,"1,282",3,42,"1,234","20,745",31,"1,042",73,"1,052","1,019","14,848","6,496","16,122","1,822","7,920","5,502","13,530",73,806,250,"3,448",439,"1,937",335,"2,077",287,"5,019",124,"3,426","1,104","7,254",704,"8,650",654,"1,879","2,910","6,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
