시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 의정부시,3,24,1,92,"1,309","6,702",6,360,21,343,757,"5,867","6,387","19,852","2,914","6,377","5,211","15,554",117,"1,366",329,"5,400","1,156","3,641",625,"3,799",242,"3,221",61,"6,016","1,459","11,886","1,264","14,498",888,"2,527","3,190","7,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 동두천시,1,5,0,0,442,"5,626",7,287,28,261,193,966,"1,468","3,553",643,"1,399","1,437","3,744",15,211,54,885,234,601,64,187,44,204,28,"1,075",257,"2,175",314,"4,012",166,589,809,"1,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 고양시,6,39,0,0,"5,453","30,993",17,705,98,"1,581","2,079","17,737","17,289","60,212","5,898","17,566","9,949","34,408",860,"6,025",573,"8,360","3,317","13,830","1,663","9,241",815,"12,197",106,"6,143","4,058","28,797","2,548","31,607","2,065","8,185","6,848","18,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 구리시,0,0,1,2,831,"4,196",3,200,18,260,475,"5,088","3,968","13,039","1,623","3,490","2,398","8,036",56,651,181,"3,466",616,"1,962",279,"2,250",127,"2,252",30,"2,003",732,"4,747",546,"5,854",377,"1,494","1,497","3,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 남양주시,13,81,3,40,"5,376","31,779",14,485,67,616,"1,149","8,133","8,672","31,216","4,357","8,778","6,077","17,630",107,785,159,"1,970","1,704","4,790",467,"1,957",226,"1,721",59,"3,194","1,870","14,654","1,560","15,275",974,"3,870","3,371","7,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 파주시,17,227,3,39,"5,145","75,363",11,258,69,867,814,"5,481","6,040","20,858","2,574","9,557","4,869","14,292",363,"4,035",162,"2,121","1,087","3,702",404,"1,639",261,"3,687",63,"2,348","1,092","10,147","1,043","9,623",773,"2,971","2,430","6,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 양주시,8,39,5,67,"4,031","34,605",11,154,93,877,536,"3,689","3,623","11,177","1,427","3,195","2,453","6,806",23,112,62,771,593,"1,637",181,788,198,"1,382",39,"1,771",564,"4,990",526,"4,996",397,"1,467","1,465","3,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 포천시,32,270,11,276,"5,722","42,191",9,274,126,962,478,"3,305","3,528","11,074","1,398","3,227","3,197","8,765",32,212,89,"1,525",341,787,198,855,145,884,55,"1,945",358,"4,857",412,"4,521",382,"2,259","1,353","2,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 연천군,11,138,9,92,330,"2,669",4,107,31,257,197,"1,301",797,"1,807",209,404,886,"1,885",17,87,37,375,129,249,49,196,19,45,37,"1,068",117,994,138,"1,282",119,399,456,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 가평군,2,101,3,116,310,"1,762",7,199,21,209,278,"1,703","1,107","2,690",226,694,"2,783","6,950",26,150,39,414,188,427,115,470,42,381,29,"1,162",181,"1,705",183,"2,173",248,"1,905",528,"1,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 춘천시,27,487,8,199,"1,110","6,849",17,856,41,467,821,"6,690","4,926","13,893","1,862","5,146","5,395","14,868",199,"3,265",269,"3,853",750,"3,087",538,"3,625",232,"2,742",90,"7,611","1,115","11,402",817,"11,001",789,"3,396","2,684","6,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 원주시,25,190,10,218,"1,719","18,852",13,407,80,735,"1,325","11,694","7,097","19,601","2,595","5,874","6,022","16,032",136,"1,695",357,"8,008","1,183","4,091",615,"3,838",391,"7,174",84,"4,378","1,322","12,617","1,036","13,082",857,"2,549","3,300","7,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 강릉시,39,390,27,307,"1,173","6,884",14,496,50,418,831,"7,048","4,872","13,256","1,506","4,435","5,449","13,862",93,954,252,"3,283",510,"1,554",385,"2,127",244,"2,689",75,"4,248",997,"8,007",604,"7,191",564,"1,422","2,330","5,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 동해시,2,18,4,109,435,"2,956",11,475,14,121,349,"3,085","2,114","5,031",682,"2,740","2,046","4,997",22,231,81,"1,055",175,601,86,376,103,"1,076",45,"1,666",360,"2,407",239,"2,781",206,550,916,"2,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 태백시,5,31,16,912,200,"1,095",11,163,17,210,245,"1,874","1,185","2,724",373,"1,075",963,"2,292",34,187,56,613,79,282,45,432,74,887,32,"1,393",155,"1,511",133,"1,439",133,569,646,"1,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 속초시,6,48,0,0,344,"2,064",4,90,22,172,286,"1,884","2,227","5,522",688,"1,684","2,482","6,899",35,295,85,"1,141",240,820,128,577,75,508,39,"1,799",298,"2,208",263,"2,474",251,805,892,"1,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 삼척시,17,161,40,"1,855",329,"1,591",19,643,24,195,419,"3,689","1,589","3,271",363,865,"1,940","4,278",28,211,68,658,103,426,87,535,94,"1,053",57,"2,067",241,"2,657",188,"2,243",207,744,700,"1,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 홍천군,25,286,3,28,367,"2,604",11,113,22,195,337,"2,388","1,458","3,361",408,"1,099","1,740","5,624",22,181,58,698,205,452,110,782,50,813,43,"1,649",223,"1,900",199,"1,703",157,991,701,"1,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 횡성군,15,133,1,28,334,"3,824",8,131,14,119,208,"1,101",897,"2,160",201,429,"1,017","2,715",24,127,32,369,153,345,71,273,35,305,38,"1,242",126,"1,359",131,"1,219",117,645,386,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 영월군,2,25,17,381,223,"1,856",7,189,9,56,211,"1,889",836,"1,849",233,566,"1,051","2,219",18,117,34,300,65,196,60,207,41,338,45,"1,319",133,"1,186",120,"1,224",146,603,440,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 평창군,33,296,3,37,205,"1,058",6,84,14,178,196,"1,226",952,"2,226",198,515,"1,610","4,771",15,98,44,624,158,429,72,439,49,921,37,"1,443",132,"1,128",113,794,123,629,381,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 정선군,10,125,14,352,200,934,7,81,8,52,173,"1,119",927,"1,756",240,604,"1,264","3,757",19,100,71,379,86,261,45,146,51,"1,695",42,"1,253",119,975,90,865,112,"3,095",424,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도 철원군,17,208,1,3,210,"1,259",4,13,13,103,192,"1,258",893,"1,841",230,396,"1,041","2,279",18,108,36,308,73,168,51,237,26,76,25,937,150,"1,120",113,"1,388",143,650,446,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
