시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
경기도 의왕시_2019,2,6,0,0,"1,095","10,216",2,33,26,256,345,"2,961","1,876","7,368","1,473","4,725","1,351","4,769",106,"2,129",42,384,493,"1,552",254,"5,115",123,"1,463",27,"2,343",461,"3,868",390,"4,743",281,"1,094",857,"2,050"
경기도 하남시_2019,4,18,0,0,"1,566","9,572",5,188,32,408,648,"6,424","5,529","24,547","1,471","4,502","2,319","8,837",160,989,76,753,892,"2,549",358,"2,065",286,"3,679",33,"1,867",708,"5,691",662,"6,773",432,"2,019","1,417","3,408"
경기도 용인시_2019,34,218,10,280,"4,482","59,389",20,255,104,"1,813","1,760","18,480","12,455","49,690","6,078","20,984","9,566","34,374",552,"5,636",370,"4,924","3,805","10,682","1,665","30,945",880,"12,937",99,"6,658","4,147","38,099","2,525","29,877","1,877","11,893","5,399","13,878"
경기도 이천시_2019,62,566,0,0,"1,956","42,934",8,93,54,845,607,"7,965","3,728","12,572","1,771","12,287","3,294","11,195",60,455,131,"1,784",677,"1,833",324,"2,698",390,"7,647",66,"2,325",794,"7,000",563,"7,415",544,"2,852","1,761","3,579"
경기도 안성시_2019,89,809,4,26,"2,806","40,935",6,209,77,678,566,"4,483","3,238","10,757","1,682","4,889","3,066","8,179",36,662,100,"1,247",480,"1,167",264,"1,742",329,"4,469",60,"2,150",613,"6,907",543,"6,316",489,"2,376","1,436","2,909"
경기도 김포시_2019,23,164,1,5,"9,668","75,606",15,231,144,"1,243",879,"5,760","7,015","23,858","2,651","7,961","4,685","15,534",149,841,178,"1,927","1,849","4,131",548,"2,304",476,"2,281",50,"2,518","1,530","11,578","1,092","11,857",829,"2,796","2,487","5,640"
경기도 화성시_2019,39,279,13,133,"19,544","242,389",27,317,318,"2,747","2,137","22,508","12,466","43,356","5,517","18,676","9,574","31,423",254,"2,183",322,"3,597","3,222","8,436","1,381","36,861",871,"12,628",85,"4,841","2,995","25,002","2,032","20,763","1,580","5,822","4,390","10,070"
경기도 광주시_2019,26,173,1,30,"6,443","48,374",13,136,58,700,"1,039","8,033","6,266","25,100","3,508","10,234","3,865","11,971",62,470,96,"1,386","1,083","2,360",507,"2,406",369,"1,666",43,"2,879",935,"7,797",835,"9,963",745,"2,775","2,301","5,180"
경기도 여주시_2019,28,329,6,34,"1,155","9,034",2,57,34,525,360,"2,664","2,148","6,555",889,"3,082","1,923","5,369",25,163,65,748,315,676,166,990,192,"2,285",59,"2,196",333,"3,277",335,"4,215",310,"3,220",942,"2,086"
경기도 양평군_2019,20,167,0,0,432,"1,613",7,64,25,243,462,"3,233","1,639","4,677",567,"1,136","2,466","6,873",50,244,57,643,510,905,178,719,102,367,50,"1,929",373,"3,094",327,"4,157",263,"1,110",834,"1,587"
경기도 의정부시_2019,1,16,2,47,"1,292","7,067",7,635,26,553,735,"6,023","6,243","19,612","2,745","5,943","5,465","16,840",126,"1,385",337,"4,826","1,200","3,956",721,"4,511",354,"3,098",62,"6,832","1,532","12,496","1,376","18,360","1,041","3,062","3,377","6,815"
경기도 동두천시_2019,1,2,0,0,504,"5,475",7,211,30,355,212,"1,117","1,447","3,775",762,"1,417","1,522","4,280",21,191,51,758,232,662,77,227,87,310,30,"1,465",271,"2,493",318,"4,372",203,679,887,"1,577"
경기도 고양시_2019,23,130,0,0,"5,891","32,526",26,609,117,"2,086","2,408","20,535","18,411","64,562","7,011","19,277","10,686","37,464",925,"6,628",594,"8,275","3,325","10,985","1,969","10,813","1,330","14,432",108,"7,343","4,385","31,386","2,675","40,593","2,432","8,997","7,371","18,110"
경기도 구리시_2019,1,2,0,0,787,"4,092",2,87,22,336,457,"4,031","4,152","13,974","1,838","4,106","2,626","8,582",62,518,162,"2,902",627,"1,821",326,"2,314",209,"2,834",30,"2,194",781,"5,105",619,"7,395",482,"1,624","1,643","4,466"
경기도 남양주시_2019,19,80,5,30,"5,673","33,690",12,213,68,"1,028","1,379","9,497","9,606","34,867","3,381","8,622","6,706","21,228",125,857,173,"2,003","1,911","4,871",696,"2,943",516,"2,821",56,"3,683","2,139","16,757","1,764","19,422","1,215","4,472","3,788","7,794"
경기도 파주시_2019,23,181,5,59,"6,075","76,913",12,235,80,"1,238",990,"8,003","6,868","23,802","3,329","11,194","5,636","16,929",424,"4,251",170,"2,063","1,369","3,720",564,"2,269",468,"3,843",66,"2,735","1,364","11,945","1,137","12,857","1,018","4,280","2,770","6,136"
경기도 양주시_2019,7,29,5,101,"4,319","33,909",16,173,91,"1,008",669,"4,884","4,044","12,744","1,703","4,111","2,901","8,767",37,212,72,712,735,"1,739",256,"1,103",288,"1,747",41,"2,352",650,"6,093",634,"7,996",497,"1,749","1,632","3,319"
경기도 포천시_2019,34,349,17,424,"6,159","44,549",10,351,124,948,563,"3,583","3,716","11,933","1,443","3,548","3,364","9,241",47,269,93,"1,418",340,680,255,"1,242",239,923,60,"2,344",365,"5,230",428,"4,994",405,"2,463","1,332","2,620"
경기도 연천군_2019,23,166,6,47,394,"2,940",5,64,37,431,219,"1,267",777,"1,686",256,582,928,"2,019",15,87,36,282,138,216,57,245,55,192,37,"1,500",121,917,149,"1,572",140,467,448,810
경기도 가평군_2019,2,106,4,237,334,"1,798",8,161,22,294,319,"2,063","1,173","2,970",265,738,"3,085","8,451",35,164,41,423,203,437,135,558,72,438,30,"1,496",183,"2,035",192,"2,326",266,"2,282",563,"1,400"
강원특별자치도 춘천시_2019,35,508,7,165,"1,283","7,767",26,829,60,655,"1,028","9,116","5,193","15,127","1,752","5,430","5,655","17,018",231,"3,481",265,"3,815",690,"2,930",690,"4,128",432,"3,596",93,"7,274","1,216","13,671",947,"13,882",921,"4,560","2,906","6,318"
강원특별자치도 원주시_2019,39,279,13,686,"2,030","19,739",44,396,89,952,"1,531","13,277","7,373","21,749","2,922","6,588","6,600","18,232",174,"2,033",361,"9,815","1,206","3,832",717,"4,650",631,"7,693",88,"5,308","1,401","13,361","1,070","17,115",945,"3,449","3,495","7,241"
강원특별자치도 강릉시_2019,38,353,21,191,"1,283","7,284",12,446,50,455,952,"8,860","4,850","13,697","1,662","4,610","6,067","16,819",102,928,237,"3,113",486,"1,422",432,"2,641",400,"3,219",76,"3,722","1,073","8,926",665,"9,190",638,"2,151","2,303","4,540"
강원특별자치도 동해시_2019,3,20,5,124,491,"3,390",8,458,22,215,399,"4,010","2,074","5,169",709,"2,578","2,088","5,048",20,137,86,928,150,520,118,480,161,"1,441",42,"2,096",353,"2,397",262,"3,600",232,587,936,"1,715"
강원특별자치도 태백시_2019,10,56,16,623,230,"1,227",31,135,24,277,270,"1,936","1,150","2,765",478,"1,150",995,"2,488",33,135,56,571,64,229,56,448,85,586,33,"1,967",168,"1,640",141,"1,807",160,701,697,"1,101"
강원특별자치도 속초시_2019,7,57,0,0,414,"2,238",7,72,25,202,360,"2,415","2,276","5,807",740,"1,916","2,686","7,970",40,269,88,"1,159",280,860,145,564,148,660,38,"1,821",305,"2,292",273,"2,897",290,"1,039",946,"1,758"
강원특별자치도 삼척시_2019,21,207,42,"1,614",371,"2,097",13,641,31,262,479,"4,497","1,569","3,386",412,935,"2,062","4,885",21,164,68,649,98,339,107,812,127,"1,263",57,"2,181",234,"2,948",201,"2,450",220,857,705,"1,197"
강원특별자치도 홍천군_2019,27,298,4,64,445,"2,856",15,84,30,264,369,"2,647","1,492","3,702",376,"1,176","1,897","5,552",22,165,56,741,146,297,118,646,136,"1,211",43,"1,732",231,"2,164",204,"2,077",167,"1,144",710,"1,130"
강원특별자치도 횡성군_2019,20,158,1,16,400,"4,803",23,70,17,248,232,"1,230",977,"2,716",263,407,"1,100","3,020",22,124,30,303,134,267,83,327,89,428,36,"1,381",134,"1,599",143,"1,327",123,743,403,751
강원특별자치도 영월군_2019,9,73,22,428,276,"2,234",10,179,17,128,241,"1,892",852,"1,951",261,533,"1,114","2,460",21,181,31,250,51,117,82,368,68,984,45,"2,881",145,"1,395",128,"1,357",150,651,433,732
강원특별자치도 평창군_2019,42,337,3,43,251,"1,147",3,48,24,247,222,"1,405",972,"2,210",181,517,"1,790","6,039",13,121,48,495,113,211,94,629,137,799,35,"1,205",137,"1,258",121,"1,100",146,"1,043",396,837
강원특별자치도 정선군_2019,13,99,15,373,223,"1,074",8,47,11,115,196,952,938,"1,947",300,613,"1,305","3,902",20,113,77,334,51,129,53,209,98,"1,932",42,"1,600",119,"1,095",90,"1,028",125,"3,854",426,967
강원특별자치도 철원군_2019,31,208,0,0,255,"1,554",8,45,16,122,251,"1,568",871,"1,842",254,382,"1,073","2,317",20,155,31,323,69,122,58,278,57,151,25,"1,069",159,"1,213",119,"1,548",165,580,452,789
강원특별자치도 화천군_2019,18,141,0,0,130,571,6,59,16,142,158,980,472,905,102,233,742,"1,472",18,134,16,126,36,80,37,127,32,112,28,"1,951",91,803,77,691,109,271,238,398
강원특별자치도 양구군_2019,6,88,4,31,146,668,3,28,17,91,167,"1,031",424,"1,017",93,222,666,"1,584",15,98,20,115,32,68,35,120,45,171,25,934,88,919,62,669,78,337,202,365
강원특별자치도 인제군_2019,16,88,3,20,204,872,3,34,15,200,216,"1,487",770,"1,775",166,274,"1,245","2,634",11,74,30,356,37,54,53,327,47,243,29,"1,228",122,"1,145",77,"1,022",150,696,298,536
강원특별자치도 고성군_2019,15,115,15,78,228,"1,283",3,26,12,162,216,"1,389",622,"1,309",134,253,"1,142","3,275",11,29,25,196,50,73,33,222,57,462,31,"1,170",86,"1,080",72,"1,614",64,445,254,453
강원특별자치도 양양군_2019,18,80,10,94,229,"1,172",8,127,32,191,229,"1,289",830,"1,750",191,757,"1,590","3,854",14,98,27,206,102,213,52,189,89,324,30,"1,114",143,936,76,"1,910",127,469,308,642
경상남도 창원시_2019,18,136,15,85,"10,274","126,562",37,779,152,"1,942","3,133","23,205","20,627","57,033","6,697","20,176","18,143","47,466",463,"4,445",981,"14,606","3,127","10,517","2,023","12,866","1,443","20,418",224,"13,864","4,460","31,835","2,985","39,400","2,411","8,173","9,430","18,606"
경상남도 진주시_2019,59,553,1,11,"2,710","15,434",33,626,54,828,"1,312","12,128","8,004","20,786","2,504","7,128","6,629","17,273",182,"1,707",366,"4,396","1,084","5,801",784,"6,135",528,"3,236",93,"6,334","1,798","13,735","1,073","16,833",984,"2,581","3,498","6,890"
경상남도 통영시_2019,2,8,1,11,624,"3,778",12,356,26,320,364,"2,336","3,103","7,489",935,"2,125","3,555","7,908",40,313,162,"2,002",328,860,178,852,165,"1,078",64,"2,985",493,"3,585",366,"4,505",335,978,"1,222","2,058"
경상남도 사천시_2019,22,163,2,22,"1,038","18,123",10,148,44,440,390,"3,211","2,898","7,270",690,"1,923","2,366","6,483",31,348,95,"1,051",340,768,161,707,159,836,48,"2,034",431,"3,005",348,"4,590",245,"1,027","1,160","2,276"
경상남도 김해시_2019,22,305,13,194,"10,593","91,488",34,347,240,"2,156","1,377","10,408","10,702","30,887","3,950","9,498","8,273","22,770",122,"1,278",322,"3,978","1,620","3,649",862,"4,775",639,"4,845",70,"4,253","2,318","15,805","1,389","17,424","1,210","4,453","4,158","8,204"
경상남도 밀양시_2019,19,159,1,11,"1,015","9,438",14,155,36,284,404,"2,489","2,239","5,513",767,"2,018","2,240","4,586",35,248,95,"1,016",305,613,160,"1,014",121,660,51,"2,072",349,"2,303",301,"3,945",189,544,"1,140","1,887"
경상남도 거제시_2019,6,23,2,22,855,"43,953",3,66,41,815,526,"10,723","3,445","8,635",999,"2,791","5,314","13,519",54,420,149,"2,181",529,"1,833",345,"5,021",336,"4,103",64,"2,333",899,"6,981",591,"6,929",541,"1,494","1,709","3,101"
경상남도 양산시_2019,13,91,4,44,"4,373","51,098",12,184,115,"1,195",842,"6,323","5,510","16,530","3,043","9,816","5,443","14,881",64,481,179,"2,276","1,059","2,489",387,"2,107",429,"3,269",58,"2,870","1,333","9,241",981,"14,506",745,"3,069","2,836","5,854"
경상남도 의령군_2019,13,121,4,30,313,"2,094",3,47,14,114,121,719,373,838,136,203,497,967,18,88,29,184,29,49,38,94,18,83,35,"1,582",72,764,103,"1,144",46,203,250,397
경상남도 함안군_2019,21,189,2,22,"2,771","24,078",19,147,61,614,261,"1,586","1,401","3,638",554,"1,376","1,179","2,679",23,131,40,385,189,344,80,301,79,670,33,"1,130",201,"1,696",214,"3,202",123,439,601,"1,198"
경상남도 창녕군_2019,35,366,3,23,937,"9,595",33,78,30,165,226,"1,356","1,166","2,996",387,881,"1,316","2,932",24,112,52,364,155,234,82,366,100,402,36,"1,383",201,"1,580",196,"2,781",116,648,605,"1,026"
경상남도 고성군_2019,27,168,1,11,573,"5,994",25,575,14,78,238,"1,676","1,111","2,357",286,694,"1,128","2,439",29,149,52,416,104,168,80,228,70,433,45,"1,275",174,"1,334",161,"1,830",97,381,583,982
경상남도 남해군_2019,28,167,1,11,323,"1,293",4,41,25,153,212,"1,314","1,027","2,251",238,509,"1,727","4,224",25,131,51,439,82,134,60,258,68,186,40,"1,237",149,"1,308",147,"2,073",99,349,437,867
경상남도 하동군_2019,20,201,4,6,403,"1,429",34,737,18,135,183,"1,355","1,107","2,138",199,426,"1,088","2,051",26,142,41,469,72,120,67,276,38,757,46,"1,296",141,"1,088",160,"2,061",88,242,460,757
경상남도 산청군_2019,37,252,14,73,374,"2,194",6,102,11,84,176,"1,112",681,"1,615",166,430,852,"1,924",22,112,29,260,53,79,45,130,29,92,37,"1,436",105,976,133,"1,666",67,249,337,709
경상남도 함양군_2019,20,129,3,38,347,"2,031",4,40,11,113,201,"1,721",885,"1,852",218,586,911,"1,905",30,122,41,402,58,96,55,246,46,156,33,"1,537",144,"1,095",136,"1,556",64,381,359,679
경상남도 거창군_2019,9,122,9,149,452,"2,642",5,49,11,158,294,"2,815","1,240","2,909",280,793,"1,152","2,602",36,143,57,718,70,148,98,486,72,454,39,"1,475",273,"2,086",205,"2,273",120,472,606,943
경상남도 합천군_2019,24,212,7,40,377,"1,489",3,58,13,142,235,"1,749",803,"1,624",226,368,829,"1,649",26,138,49,385,50,61,58,252,45,190,51,"1,326",118,"1,002",138,"1,677",75,439,436,972
경상북도 포항시_2019,24,153,12,62,"3,140","41,309",32,351,111,"1,791","1,794","18,037","11,361","28,177","3,731","11,409","9,686","24,545",213,"2,299",434,"5,769","1,166","3,231",881,"6,617",726,"11,061",137,"6,954","2,051","16,358","1,524","19,964","1,377","3,621","5,028","10,135"
경상북도 경주시_2019,46,403,17,45,"3,845","42,254",34,"1,989",107,"1,358",914,"5,815","5,671","13,183","2,007","4,692","6,701","17,016",110,720,193,"2,418",565,"1,349",434,"3,974",483,"4,007",92,"3,543",957,"7,524",692,"10,007",712,"3,652","2,487","4,714"
경상북도 김천시_2019,32,265,11,72,"1,055","14,040",10,108,61,461,500,"3,489","2,580","6,631",938,"3,615","2,298","5,736",56,372,108,"1,150",267,846,175,"3,990",176,"1,734",74,"3,785",463,"4,344",430,"7,488",308,711,"1,343","2,254"
경상북도 안동시_2019,26,269,15,133,944,"4,775",18,562,34,400,615,"4,727","3,731","9,613","1,103","2,445","3,125","7,297",110,797,188,"2,224",267,"1,097",309,"1,800",211,967,100,"6,101",714,"5,982",500,"8,454",433,"1,398","1,655","3,159"
경상북도 구미시_2019,32,295,7,41,"4,849","86,214",50,485,91,"1,009","1,462","9,452","7,881","19,809","3,910","7,025","6,830","17,572",208,"1,227",378,"4,418","1,044","3,947",646,"3,087",699,"7,201",96,"3,903","1,881","13,212","1,236","13,580","1,224","3,097","3,758","7,198"
경상북도 영주시_2019,13,75,8,121,824,"6,398",6,126,33,275,428,"2,771","2,789","6,810",800,"2,289","2,065","5,141",43,322,111,"1,310",149,511,154,731,115,604,57,"1,822",448,"3,446",313,"4,410",233,923,"1,212","2,108"
경상북도 영천시_2019,37,299,2,14,"1,744","17,952",12,68,81,565,338,"2,138","2,064","4,944",715,"1,449","1,634","3,652",35,175,96,838,226,520,119,762,126,"1,051",59,"1,739",284,"2,278",314,"4,266",185,815,925,"1,756"
경상북도 상주시_2019,19,197,9,37,832,"5,034",2,30,21,196,438,"3,595","1,920","4,421",682,"1,545","1,589","3,304",52,254,93,943,131,353,137,843,120,437,67,"2,137",379,"2,939",321,"4,244",177,776,979,"1,691"
경상북도 문경시_2019,21,158,5,62,569,"3,518",3,42,25,325,264,"1,853","1,574","3,571",565,996,"1,531","3,444",26,155,61,800,107,213,98,328,84,440,55,"1,600",247,"1,899",240,"4,860",145,507,735,"1,296"
경상북도 경산시_2019,17,121,5,106,"3,488","37,679",12,269,84,612,662,"5,089","4,753","12,842","1,751","4,954","3,998","10,705",109,819,142,"1,619",804,"2,047",450,"2,960",306,"1,666",56,"2,999","1,033","14,004",744,"9,129",607,"1,811","2,162","3,975"
경상북도 군위군_2019,12,62,2,14,300,"2,084",7,40,17,88,131,862,413,966,145,339,386,907,13,73,23,170,50,70,34,147,16,39,38,936,44,409,70,781,45,254,230,357
경상북도 의성군_2019,42,282,6,7,452,"1,985",34,90,28,224,312,"1,664","1,067","2,306",349,575,752,"1,467",30,157,66,489,51,109,75,298,54,230,58,"1,679",101,897,188,"2,225",64,275,553,926
경상북도 청송군_2019,8,381,4,28,193,554,3,90,11,84,128,746,505,"1,094",109,307,640,"1,385",15,88,27,183,23,27,23,91,14,56,37,"2,077",59,581,83,"2,774",50,188,272,436
경상북도 영양군_2019,12,64,1,7,106,368,3,27,6,43,180,668,306,498,80,127,273,485,10,68,14,115,2,5,20,186,17,39,27,968,48,373,55,545,25,78,168,223
경상북도 영덕군_2019,9,76,5,40,310,"1,285",11,74,18,126,198,"1,346","1,086","2,078",194,324,"1,183","2,382",21,117,46,373,52,69,46,182,27,107,41,"1,276",106,965,123,"1,631",90,563,435,762
경상북도 청도군_2019,55,916,2,14,511,"2,688",20,63,16,143,237,"1,257","1,080","2,456",246,461,"1,031","2,303",19,94,36,266,142,196,73,272,52,185,38,"1,202",122,853,148,"1,899",75,442,459,893
경상북도 고령군_2019,23,171,4,43,"1,501","10,413",5,46,50,400,182,897,864,"2,212",225,496,509,"1,109",20,99,31,193,68,127,42,111,32,83,29,961,87,601,108,"1,151",67,332,290,568
경상북도 성주군_2019,21,154,3,52,"1,295","9,584",6,49,42,295,236,"1,425",878,"2,120",199,701,844,"1,875",20,108,37,258,82,159,59,218,48,163,37,"1,177",92,824,125,"1,179",64,229,348,598
경상북도 칠곡군_2019,21,178,8,50,"3,070","26,535",20,153,71,492,446,"2,969","2,893","8,262","1,061","3,880","2,084","5,206",40,300,69,602,310,822,130,693,147,716,47,"1,767",415,"3,548",337,"3,831",307,964,"1,033","2,028"
경상북도 예천군_2019,18,84,2,14,337,"1,239",6,115,15,170,194,"1,349",925,"2,037",228,432,810,"1,733",32,172,41,298,89,189,61,192,50,206,51,"1,526",159,"1,124",184,"2,137",89,321,446,732
경상북도 봉화군_2019,16,134,5,72,243,"1,880",5,46,22,194,264,"1,976",598,"1,135",122,361,644,"1,195",16,91,31,208,24,35,36,106,16,72,37,"1,229",78,745,79,951,64,443,302,541
경상북도 울진군_2019,19,133,8,75,280,"1,172",7,"2,309",20,244,343,"2,770","1,288","2,515",189,349,"1,435","3,166",26,138,55,398,52,121,62,334,86,455,46,"2,117",159,"1,219",127,"1,614",129,395,506,797
경상북도 울릉군_2019,1,3,0,0,98,346,4,42,10,75,94,526,287,559,86,233,442,"1,067",10,54,13,69,5,8,10,24,42,186,23,644,28,228,18,199,22,86,115,220
광주광역시 동구_2019,3,9,0,0,906,"2,068",35,71,6,156,388,"4,255","4,570","12,249",687,"1,610","2,807","8,332",176,"2,436",293,"4,131",674,"1,657",821,"3,953",347,"5,516",36,"3,153",617,"6,684",477,"10,339",444,"1,752","1,566","3,328"
광주광역시 서구_2019,8,70,6,39,"1,066","10,802",66,385,28,688,"1,522","17,513","7,651","25,104","2,028","6,003","4,611","16,241",213,"2,138",697,"12,454","1,421","6,705","1,038","6,768",597,"11,162",74,"6,231","1,446","8,131","1,110","13,579",922,"3,188","3,181","7,470"
광주광역시 남구_2019,4,12,0,0,509,"1,779",61,69,26,380,685,"8,182","3,409","8,808","1,376","2,835","2,335","6,696",154,970,109,838,817,"2,177",328,"1,593",264,"1,874",32,"1,702","1,220","8,908",782,"13,243",544,"1,502","2,068","4,435"
광주광역시 북구_2019,2,6,2,20,"2,424","20,446",88,528,25,299,"1,723","20,764","8,771","25,545","3,679","9,164","5,617","16,389",236,"2,039",271,"3,447","1,389","4,227",835,"5,703",605,"8,286",68,"4,254","1,899","16,558","1,390","19,515","1,301","4,405","4,059","7,680"
광주광역시 광산구_2019,10,246,0,0,"4,361","50,763",74,618,91,693,"1,145","8,248","7,398","22,488","3,538","10,703","5,372","17,063",130,"2,057",194,"2,017","1,274","3,498",468,"2,581",506,"4,762",60,"3,950","1,860","13,628","1,251","16,922","1,071","3,021","3,258","6,990"
대구광역시 중구_2019,0,0,0,0,"1,884","4,544",4,306,11,228,267,"4,174","9,275","21,901",619,"1,574","3,580","11,561",178,"1,675",547,"11,246",527,"1,807",668,"2,964",463,"4,955",37,"2,746",641,"4,509",638,"11,141",396,"1,361","1,676","3,979"
대구광역시 동구_2019,3,4,1,10,"1,371","7,953",21,"1,229",40,441,912,"9,249","6,680","21,055","3,506","9,988","4,881","13,705",211,"2,817",216,"2,705","1,101","3,564",692,"5,245",420,"6,695",74,"3,756","1,290","7,743","1,025","12,495",752,"1,996","3,181","7,081"
대구광역시 서구_2019,0,0,1,10,"3,144","19,208",18,265,48,563,691,"4,377","5,360","15,047","1,692","4,318","3,000","6,399",35,455,138,"1,872",468,"1,511",241,"1,419",284,"3,222",39,"2,674",480,"3,649",549,"8,348",432,912,"2,079","4,281"
대구광역시 남구_2019,2,2,1,10,770,"1,998",8,12,25,243,674,"3,669","3,711","8,419","1,201","2,105","2,623","6,259",158,"1,024",138,"1,204",456,"1,262",525,"2,451",273,"5,050",33,"1,884",589,"4,838",546,"12,916",461,"1,045","1,947","3,293"
대구광역시 북구_2019,3,188,0,0,"8,573","34,113",15,273,43,511,"1,156","10,040","11,649","34,650","4,023","7,953","5,985","16,347",281,"2,724",232,"2,456","1,174","3,730",633,"3,546",391,"5,828",72,"5,089","1,725","17,776","1,132","14,751",982,"3,220","3,295","6,414"
