행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
경상북도 울진군_2018,10.0,9.0,7.0,9.0,12.0,15.0,18.0,22.0,49.0,2.0,77.0,255.0,2039.0
경상북도 울릉군_2018,10.0,6.0,3.0,9.0,14.0,11.0,10.0,22.0,2.0,0.0,532.0,118.0,290.0
광주광역시 동구_2018,11.0,10.0,7.0,10.0,16.0,17.0,18.0,26.0,163.0,99.0,29.0,917.0,3211.0
광주광역시 서구_2018,11.0,14.0,12.0,12.0,18.0,21.0,24.0,29.0,684.0,87.0,40.0,4760.0,17233.0
광주광역시 남구_2018,13.0,14.0,10.0,12.0,19.0,22.0,23.0,29.0,513.0,41.0,38.0,3957.0,13118.0
광주광역시 북구_2018,11.0,13.0,10.0,11.0,15.0,20.0,23.0,29.0,744.0,119.0,46.0,6557.0,23808.0
광주광역시 광산구_2018,13.0,15.0,12.0,13.0,19.0,23.0,25.0,32.0,887.0,65.0,56.0,8418.0,31252.0
대구광역시 중구_2018,13.0,13.0,10.0,12.0,19.0,22.0,23.0,29.0,138.0,170.0,43.0,780.0,4306.0
대구광역시 동구_2018,12.0,13.0,10.0,12.0,17.0,22.0,21.0,29.0,350.0,34.0,64.0,5435.0,17150.0
대구광역시 서구_2018,13.0,11.0,9.0,9.0,21.0,20.0,21.0,21.0,131.0,28.0,71.0,1313.0,6003.0
대구광역시 남구_2018,11.0,11.0,8.0,9.0,16.0,20.0,22.0,21.0,96.0,31.0,67.0,1625.0,4570.0
대구광역시 북구_2018,12.0,13.0,11.0,11.0,18.0,22.0,23.0,28.0,552.0,46.0,65.0,7729.0,22867.0
대구광역시 수성구_2018,11.0,15.0,12.0,12.0,18.0,24.0,25.0,29.0,914.0,62.0,41.0,6105.0,23630.0
대구광역시 달서구_2018,13.0,13.0,11.0,11.0,21.0,23.0,25.0,27.0,901.0,77.0,55.0,9437.0,31660.0
대구광역시 달성군_2018,14.0,13.0,10.0,10.0,22.0,21.0,22.0,26.0,360.0,11.0,62.0,6051.0,14974.0
대전광역시 동구_2018,11.0,13.0,11.0,9.0,15.0,20.0,26.0,25.0,178.0,33.0,91.0,2242.0,11558.0
대전광역시 중구_2018,11.0,12.0,12.0,12.0,16.0,20.0,27.0,27.0,232.0,111.0,76.0,3576.0,12650.0
