sigun_gu,student_per_teacher_kin,teacher_per_student_pri,teacher_per_student_mid,teacher_per_student_high,student_per_class_kin,student_per_class_pri,student_per_class_mid,student_per_class_high,extra_curr_school,extra_curr_lifelong,student_per_extra_curr,kin_stu,pri_stu,extinction_index,extinction_grade,general_hospital,hospital,clinic,dental_clinic,medicine_hospital,beds_per_thousandpeople,total_beds
"경기도 김포시_2015",15,17,15,13,19,24,29,28,493,21,82,8285,22951,2.384719508921567,"D",2,4,150,101,2,8.4,2927.0
"경기도 화성시_2015",16,17,16,16,20,25,32,36,919,29,81,13381,44842,4.468961816399332,"D",2,9,246,168,0,7.8,4675.0
"경기도 광주시_2015",14,19,16,14,21,27,32,31,359,9,81,2830,16940,2.61546222888397,"D",0,3,97,60,0,4.6,1424.0
"경기도 여주시_2015",13,12,13,11,17,18,27,23,196,12,47,1471,5699,0.6674322266808987,"C",0,4,48,30,0,16.2,1795.0
"경기도 양평군_2015",11,12,11,9,14,19,24,24,78,2,89,680,4983,0.5513845430961003,"B",0,2,39,25,1,11.0,1187.0
"경기도 의정부시_2015",13,16,15,13,19,25,30,32,620,41,73,5473,22595,1.809732492231082,"D",3,17,241,134,1,12.6,5465.0
"경기도 동두천시_2015",12,16,14,12,19,23,27,30,92,8,77,939,5358,0.8412484708503774,"C",0,1,38,25,0,26.0,2549.0
"경기도 고양시_2015",14,18,15,14,22,26,31,32,1772,99,66,14703,56342,2.680214332545797,"D",5,21,520,303,2,12.5,12798.0
"경기도 구리시_2015",14,17,16,13,23,25,32,32,309,13,72,2533,10049,2.673484826869082,"D",1,9,120,79,0,13.0,2427.0
"경기도 남양주시_2015",14,18,15,13,19,25,30,31,783,26,94,10604,41703,2.362166415926008,"D",3,11,273,166,0,8.5,5570.0
"경기도 파주시_2015",14,16,16,14,19,24,31,31,428,24,107,7711,27217,1.936695528177564,"D",1,9,157,98,2,8.9,3764.0
"경기도 양주시_2015",12,16,16,15,16,23,32,34,199,4,120,2924,13265,1.586111851090338,"D",0,3,61,36,0,10.7,2194.0
"경기도 포천시_2015",12,13,12,12,14,19,25,26,128,8,120,1427,7757,0.7490193703750927,"C",2,3,55,33,0,13.3,2064.0
"경기도 연천군_2015",10,9,10,11,13,14,24,25,35,1,118,367,1813,0.3423102748695844,"B",0,0,16,11,0,7.1,323.0
"경기도 가평군_2015",10,11,13,10,14,17,25,26,64,3,92,478,2684,0.4258470612535009,"B",0,4,21,16,2,19.7,1222.0
"강원특별자치도 춘천시_2015",12,14,15,14,21,22,30,35,410,30,67,3214,14973,1.099431680643979,"C",2,7,7,149,3,15.4,4272.0
"강원특별자치도 원주시_2015",13,14,14,15,19,22,29,35,492,39,68,4999,19360,1.715396453014311,"D",2,15,15,179,3,14.5,4817.0
"강원특별자치도 강릉시_2015",11,14,15,13,18,20,30,29,348,34,61,1887,10789,0.6239108106623947,"C",4,5,5,104,0,14.0,3013.0
"강원특별자치도 동해시_2015",14,15,13,13,20,23,27,31,119,16,85,1399,5335,0.7083592595657736,"C",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"강원특별자치도 태백시_2015",12,10,11,10,17,16,26,27,53,3,89,546,2363,0.3385845158269358,"B",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"강원특별자치도 속초시_2015",12,14,15,14,19,21,29,33,111,7,94,594,4275,0.8427035815022093,"C",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"강원특별자치도 삼척시_2015",12,10,8,9,18,15,19,23,65,7,91,848,2933,0.2305345326378197,"B",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"강원특별자치도 홍천군_2015",9,7,10,13,14,12,21,32,73,5,91,698,3070,0.3203397827172921,"B",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"강원특별자치도 횡성군_2015",11,8,5,9,16,12,15,24,37,0,95,304,1829,0.3224230587219117,"B",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"강원특별자치도 영월군_2015",8,7,5,7,12,11,15,20,26,1,106,348,1529,0.254017359603204,"B",1,1,1,12,0,9.7,390.0
"강원특별자치도 평창군_2015",11,7,8,9,14,12,20,24,31,2,124,399,1873,0.260274625062739,"B",0,0,0,15,0,4.4,190.0
"강원특별자치도 정선군_2015",10,7,8,7,15,11,20,20,29,0,109,379,1489,0.2219611837705075,"B",0,2,2,10,0,8.8,343.0
"강원특별자치도 철원군_2015",10,9,12,12,15,15,25,30,56,1,96,354,2473,0.5890043719829263,"C",0,1,1,18,0,9.1,445.0
"강원특별자치도 화천군_2015",8,6,9,8,15,10,22,25,21,0,107,363,1154,0.3570751970672426,"B",0,0,0,7,0,1.9,50.0
"강원특별자치도 양구군_2015",9,7,7,11,13,13,19,27,17,0,141,145,1220,0.5852383693967742,"C",0,3,3,6,0,8.2,197.0
"강원특별자치도 인제군_2015",9,7,7,10,14,12,21,25,30,0,108,479,1692,0.6393717566701675,"C",0,1,1,7,0,5.7,191.0
"강원특별자치도 고성군_2015",10,6,7,9,14,9,19,24,15,0,124,189,1024,0.1875000995839813,"B",0,0,0,8,0,0.3,8.0
"강원특별자치도 양양군_2015",8,6,8,9,12,9,19,22,22,0,102,242,1033,0.2030228604889806,"B",0,0,0,6,0,1.1,30.0
"경상남도 창원시_2015",13,15,15,13,22,23,30,30,1650,147,63,17247,58903,2.236825066640838,"D",10,40,525,309,1,17.7,18956.0
"경상남도 진주시_2015",12,14,14,14,19,22,29,33,706,61,43,3890,19709,1.25058329213983,"C",3,10,177,104,1,14.7,5071.0
"경상남도 통영시_2015",14,13,12,14,22,21,26,31,217,8,63,2209,7846,0.8814825132934564,"C",0,7,76,32,0,13.8,1919.0
"경상남도 사천시_2015",11,13,13,9,16,20,26,26,193,9,46,1178,6372,0.4363687645105516,"B",0,6,44,28,0,25.0,2885.0
"경상남도 김해시_2015",14,16,16,15,23,24,32,35,997,58,69,9646,36185,3.685819424678916,"D",4,22,208,123,1,18.4,9754.0
"경상남도 밀양시_2015",11,11,11,11,17,18,26,23,147,10,47,1046,4374,0.2880868739869541,"B",1,7,48,24,1,21.9,2367.0
"경상남도 거제시_2015",14,15,14,17,21,22,29,36,395,25,72,5320,16556,4.179102596792757,"D",3,6,100,60,0,9.1,2330.0
"경상남도 양산시_2015",13,15,15,14,22,23,30,33,390,20,77,5892,17996,2.409098644921372,"D",3,2,137,63,1,22.0,6637.0
"경상남도 의령군_2015",6,5,7,10,11,8,20,24,18,0,77,179,848,0,"A",0,1,10,5,0,21.7,619.0
"경상남도 함안군_2015",11,11,12,11,18,17,24,25,71,0,69,1034,3543,0.4414867582719849,"B",0,3,23,11,0,16.3,1130.0
"경상남도 창녕군_2015",9,8,11,10,15,14,26,25,59,4,54,606,2214,0.2541644678472324,"B",0,2,26,12,0,32.8,2093.0
"경상남도 고성군_2015",6,8,7,12,13,13,18,26,64,2,57,326,2207,0.107733702321091,"A",0,3,20,11,0,16.7,924.0
"경상남도 남해군_2015",11,8,7,10,16,13,18,23,44,0,62,257,1474,0.0026085997831196,"A",0,1,22,9,0,6.1,282.0
"경상남도 하동군_2015",8,7,6,9,11,12,18,24,38,4,88,236,1698,0.3398246139288148,"B",0,2,20,9,0,11.4,575.0
"경상남도 산청군_2015",8,6,7,6,12,11,17,20,23,1,108,198,1142,0.197995749679711,"B",0,0,12,5,0,1.0,37.0
"경상남도 함양군_2015",11,9,9,10,16,13,22,25,38,2,85,407,1685,0.1099164673348293,"A",0,1,22,9,0,3.4,136.0
"경상남도 거창군_2015",10,10,9,11,16,16,21,24,90,7,52,590,2916,0.3254871603731216,"B",0,3,24,15,0,10.4,660.0
"경상남도 합천군_2015",7,6,8,8,12,9,19,23,39,1,62,319,1407,0,"A",0,3,17,10,0,16.3,801.0
"경상북도 포항시_2015",13,15,13,13,20,23,28,27,724,58,58,8519,26943,1.359030550625806,"D",5,11,262,145,1,15.8,15.8
"경상북도 경주시_2015",13,13,12,12,19,20,26,27,329,20,54,3236,12185,0.4797385942786771,"B",1,13,107,63,1,18.1,18.1
"경상북도 김천시_2015",13,11,6,12,18,18,17,28,105,19,82,1933,6007,0.6257131218810944,"C",2,0,51,30,0,16.0,16.0
"경상북도 안동시_2015",13,12,11,12,19,20,25,28,200,27,58,2225,8117,0.4438218622772092,"B",3,4,78,43,1,30.3,30.3
"경상북도 구미시_2015",13,16,14,14,20,25,30,33,719,58,70,9712,27484,5.847614630678478,"D",3,8,203,105,1,8.7,8.7
"경상북도 영주시_2015",14,13,10,13,19,21,23,28,160,18,43,1148,5156,0.2391633257051284,"B",0,4,55,26,1,19.1,19.1
"경상북도 영천시_2015",12,10,7,11,17,18,19,25,83,7,70,763,3622,0.2377582938001661,"B",1,3,58,19,1,20.9,20.9
"경상북도 상주시_2015",12,9,6,5,18,16,18,21,104,10,54,1350,4133,0.1533124034436744,"A",2,1,45,22,0,11.2,11.2
"경상북도 문경시_2015",12,10,10,7,20,17,24,27,76,9,62,865,3064,0.2137969157883736,"B",1,2,46,16,0,17.2,17.2
"경상북도 경산시_2015",10,14,13,13,16,22,28,29,298,21,56,4346,12796,1.296289049280839,"C",1,4,130,65,0,16.5,16.5
"대구광역시 군위군_2015",10,6,5,9,12,10,14,24,6,0,201,110,504,0.1366645255270391,"A",0,1,9,3,0,4.1,100.0
"경상북도 의성군_2015",9,6,5,8,11,11,14,19,20,1,126,205,1323,0.0136272368794747,"A",0,3,16,9,0,22.0,22.0
"경상북도 청송군_2015",10,7,3,5,16,12,10,18,16,1,76,208,743,0.1283754729779099,"A",0,1,9,5,0,13.4,13.4
"경상북도 영양군_2015",9,6,4,7,11,11,13,18,8,0,128,123,571,0,"A",0,1,1,3,0,2.8,2.8
"경상북도 영덕군_2015",10,8,6,10,11,14,17,23,30,0,77,174,1248,0.0477614381763845,"A",0,1,17,9,0,14.4,14.4
"경상북도 청도군_2015",10,7,3,8,12,13,11,20,32,1,45,280,1156,0.1078789443701482,"A",0,4,21,9,0,34.5,34.5
"경상북도 고령군_2015",9,9,6,8,13,14,15,20,23,0,83,248,1300,0.0700694463124178,"A",0,1,13,9,0,9.4,9.4
"경상북도 성주군_2015",11,6,5,8,13,11,17,20,30,0,69,221,1234,0.1907526008582882,"B",0,2,19,9,0,18.4,18.4
"경상북도 칠곡군_2015",13,12,12,11,18,20,26,25,180,4,63,2049,7095,1.55661641494004,"D",0,3,45,21,0,15.8,15.8
"경상북도 예천군_2015",11,8,6,8,14,14,17,23,33,3,78,279,1456,0.0289112535975964,"A",0,1,15,10,0,13.1,13.1
"경상북도 봉화군_2015",9,6,5,4,10,11,15,16,15,0,117,214,1070,0.0990189921098213,"A",0,1,7,4,0,8.1,8.1
"경상북도 울진군_2015",13,9,9,11,15,15,22,24,53,3,81,351,2231,0.1938912248930138,"B",0,2,15,8,0,6.2,6.2
"경상북도 울릉군_2015",11,7,4,11,14,12,12,24,3,0,404,104,305,0.2279141704889121,"B",0,0,1,1,0,6.2,6.2
"광주광역시 동구_2015",12,11,11,14,19,19,23,32,193,119,29,803,3445,0.4064905747509779,"B",3,7,120,54,6,57.2,5655.0
"광주광역시 서구_2015",11,15,15,14,18,22,30,32,731,87,43,4732,18413,2.31007050794567,"D",5,18,224,137,17,20.6,6270.0
"광주광역시 남구_2015",11,15,13,14,18,23,29,32,486,37,41,3609,12795,1.352292860031407,"D",3,10,118,96,14,27.0,5974.0
"광주광역시 북구_2015",11,14,13,15,18,21,28,34,823,124,46,6856,25016,2.003748737501058,"D",5,23,245,167,31,22.2,9913.0
"광주광역시 광산구_2015",13,16,15,14,20,24,30,34,871,64,61,7741,32193,5.058368083251393,"D",6,23,170,130,18,24.1,9659.0
"대구광역시 중구_2015",11,14,12,13,17,21,27,33,137,144,45,784,4283,0.7427790291293993,"C",3,9,217,108,1,46.3,3748.0
"대구광역시 동구_2015",11,14,12,13,19,22,26,33,331,26,70,5247,17021,0.9089624498250626,"C",1,9,209,95,0,11.4,3974.0
"대구광역시 서구_2015",12,12,11,10,22,19,25,25,142,25,81,1398,7035,0.6549635449903378,"C",1,9,121,54,0,18.3,3780.0
"대구광역시 남구_2015",11,13,11,10,17,20,24,33,117,32,67,1601,5392,0.5260261522404586,"B",2,9,105,57,0,28.8,4627.0
"대구광역시 북구_2015",12,14,14,14,19,22,27,33,563,41,75,7820,25157,2.089204263603668,"D",2,17,231,134,0,13.9,6150.0
"대구광역시 수성구_2015",11,16,14,15,19,24,28,35,889,45,48,6316,25671,1.792096797170832,"D",1,19,308,163,1,7.9,3578.0
"대구광역시 달서구_2015",13,14,14,13,22,22,28,33,830,53,70,9950,34231,2.680683813542956,"D",2,33,338,189,0,13.5,8113.0
"대구광역시 달성군_2015",12,13,12,13,20,20,26,32,257,7,69,3835,10793,2.003096156218731,"D",0,6,94,41,0,12.1,2333.0
"대전광역시 동구_2015",12,14,13,14,19,21,28,31,194,34,93,2967,12563,0.835404541449332,"C",1,1,147,69,1,13.0,3116.0
"대전광역시 중구_2015",12,13,13,17,20,21,29,37,256,95,79,4026,14086,0.9588376628197705,"C",3,4,180,93,1,22.9,5873.0
"대전광역시 서구_2015",13,16,13,13,19,23,29,33,754,97,70,8180,28324,3.282240310442544,"D",3,21,417,216,3,15.6,7673.0
"대전광역시 유성구_2015",14,15,13,14,20,23,29,34,480,39,89,7627,23742,6.013181861662981,"D",1,3,172,90,0,11.6,3884.0
"대전광역시 대덕구_2015",12,12,13,12,19,20,27,28,247,14,73,3121,10749,1.85170032830025,"D",2,4,113,47,0,15.2,2983.0
"부산광역시 중구_2015",9,14,13,12,19,20,27,28,33,25,269,152,1612,0.3010238156275302,"B",1,0,73,43,0,33.0,1510.0
"부산광역시 서구_2015",13,13,13,12,24,20,28,28,103,5,80,1130,3994,0.3251638190002764,"B",4,2,56,34,1,42.8,4967.0
"부산광역시 동구_2015",13,12,12,11,23,19,25,27,42,28,113,936,2812,0.1796704159146527,"B",3,6,78,40,1,33.8,3108.0
"부산광역시 영도구_2015",12,12,11,11,20,18,26,25,80,1,91,1062,4455,0.2288098320561287,"B",2,0,74,28,0,12.1,1570.0
"부산광역시 부산진구_2015",13,14,14,10,23,21,28,25,372,176,66,5524,16291,0.915081082940735,"C",4,12,404,164,1,17.3,6586.0
"부산광역시 동래구_2015",13,16,15,15,23,23,29,33,468,51,51,3956,12216,1.130381611212896,"C",3,14,166,124,0,21.3,5811.0
"부산광역시 남구_2015",13,15,15,12,23,22,29,28,273,52,81,3258,12638,0.83500406411167,"C",1,5,149,94,0,11.6,3271.0
"부산광역시 북구_2015",12,14,13,14,23,21,27,32,357,39,78,4213,13956,1.879010368735781,"D",1,9,154,86,0,14.8,4580.0
"부산광역시 해운대구_2015",12,15,15,15,22,22,29,34,602,35,67,5379,21695,1.529541179799883,"D",2,11,284,156,1,14.5,6125.0
"부산광역시 사하구_2015",12,14,15,15,21,21,29,30,404,36,56,4617,15315,1.193734224450581,"C",0,21,170,99,0,22.4,7554.0
"부산광역시 금정구_2015",12,14,15,12,23,21,28,28,348,47,53,2961,10212,0.8612065514330272,"C",1,9,132,88,2,22.1,5448.0
"부산광역시 강서구_2015",13,12,11,10,21,20,25,24,154,4,47,1752,4323,2.258737379392752,"D",0,1,20,18,0,3.3,310.0
"부산광역시 연제구_2015",12,15,14,10,21,22,27,24,247,36,59,1636,9610,1.117154926256736,"C",1,9,144,86,2,24.1,5083.0
"부산광역시 수영구_2015",13,15,12,15,24,22,25,32,252,23,41,2127,6588,0.9125055853358393,"C",2,8,110,68,0,21.6,3886.0
"부산광역시 사상구_2015",11,13,12,12,22,20,26,27,158,23,92,3417,9251,1.300311951632031,"C",2,8,109,59,0,28.5,6779.0
"부산광역시 기장군_2015",14,16,15,14,22,24,28,33,183,9,85,3055,9315,1.766566101160204,"D",1,5,71,37,1,13.5,2066.0
"서울특별시 종로구_2015",13,12,12,14,20,21,26,32,97,164,88,1238,6084,0.9668910352245528,"C",4,2,167,164,1,21.5,3327.0
"서울특별시 중구_2015",12,13,10,14,17,23,21,32,60,66,140,1204,5739,0.8436422732145479,"C",3,2,205,212,0,12.4,1557.0
"서울특별시 용산구_2015",12,13,13,14,22,22,25,31,129,34,94,1753,8210,1.09002413619122,"C",1,2,125,107,0,4.4,1032.0
"서울특별시 성동구_2015",13,13,13,13,22,22,26,29,240,35,85,2548,12641,1.731963850889578,"D",1,5,181,121,0,6.0,1782.0
"서울특별시 광진구_2015",13,15,14,15,23,23,29,33,389,57,67,3199,15760,2.614336172528413,"D",2,3,261,153,0,6.9,2470.0
"서울특별시 동대문구_2015",12,15,13,11,20,23,26,25,297,52,70,3437,14916,1.161510372297825,"C",5,13,235,155,1,17.0,6134.0
"서울특별시 중랑구_2015",12,14,14,13,21,22,28,28,282,15,96,3325,16472,1.462588685876628,"D",2,12,222,139,0,7.9,3274.0
"서울특별시 성북구_2015",13,15,14,13,22,24,29,31,405,28,78,5440,23306,1.342951990661072,"D",1,4,248,149,0,7.1,3273.0
"서울특별시 강북구_2015",13,14,15,12,22,24,29,26,206,21,93,2103,11879,0.8759298057550254,"C",1,8,227,120,0,6.4,2121.0
"서울특별시 도봉구_2015",13,15,14,11,19,23,28,26,353,13,83,3035,17408,1.293565731268548,"C",1,7,155,100,0,8.1,2832.0
"서울특별시 노원구_2015",13,15,15,13,20,23,29,31,734,46,72,7364,31048,1.840343772260686,"D",3,6,334,189,2,6.2,3551.0
"서울특별시 은평구_2015",13,15,14,12,18,24,28,27,483,32,71,4600,23918,1.376066410149059,"D",1,10,287,161,1,7.3,3622.0
"서울특별시 서대문구_2015",12,14,14,12,21,23,27,27,256,45,70,2571,13171,1.259093317803412,"C",2,5,195,125,1,11.7,3641.0
"서울특별시 마포구_2015",13,14,14,12,22,23,28,27,412,153,58,3132,17117,2.104351660798661,"D",0,1,337,196,1,1.6,629.0
"서울특별시 양천구_2015",12,16,15,14,20,24,30,32,1002,29,46,5168,25237,2.727172867188379,"D",2,5,267,180,3,6.1,2943.0
"서울특별시 강서구_2015",12,15,13,11,20,23,26,25,673,33,58,5643,27960,2.246331843668901,"D",3,16,325,194,1,5.7,3377.0
"서울특별시 구로구_2015",13,14,13,14,22,23,27,32,332,61,101,3568,19363,1.656413551002522,"D",2,8,251,166,2,9.0,3784.0
"서울특별시 금천구_2015",13,13,12,12,18,22,25,27,175,34,84,1763,9610,1.421432599320634,"D",1,7,135,100,1,8.2,1935.0
"서울특별시 영등포구_2015",12,13,14,12,22,22,28,28,308,139,93,4013,15078,1.473837510611323,"D",7,11,303,220,3,15.3,5774.0
"서울특별시 동작구_2015",13,15,14,13,20,25,28,29,355,90,77,3706,17474,1.536514323979847,"D",2,5,243,166,1,7.4,2947.0
"서울특별시 관악구_2015",13,14,13,11,21,23,27,25,361,85,78,4549,17747,1.871114848883782,"D",2,8,301,197,0,4.8,2430.0
"서울특별시 서초구_2015",13,17,15,13,23,27,29,31,902,279,43,3097,22817,2.73372228390025,"D",1,10,577,327,5,7.0,3149.0
"서울특별시 강남구_2015",12,15,13,15,22,25,28,33,1688,508,25,4213,24007,3.337459794213082,"D",4,35,1466,587,9,12.7,7335.0
"서울특별시 송파구_2015",13,15,15,13,22,24,29,29,1029,71,55,6027,32093,2.98029976545642,"D",2,14,451,306,2,9.3,6157.0
"서울특별시 강동구_2015",15,15,13,11,22,24,27,25,691,40,48,4698,21620,1.945475440340753,"D",3,13,333,210,4,12.7,5843.0
"울산광역시 중구_2015",16,15,14,13,22,22,29,31,419,32,55,3321,11998,2.622653924173783,"D",1,10,106,66,0,10.8,2630.0
"울산광역시 남구_2015",14,15,15,14,22,23,29,33,998,89,39,4733,17435,4.35771298478758,"D",3,25,250,166,3,16.0,5505.0
"울산광역시 동구_2015",16,15,13,12,22,22,26,28,271,15,59,2884,9750,4.030839555645279,"D",1,2,82,49,0,11.3,1980.0
"울산광역시 북구_2015",16,16,13,13,22,23,27,31,333,15,78,4543,13120,7.161515038047316,"D",1,2,62,45,0,5.2,997.0
"울산광역시 울주군_2015",14,14,14,14,19,21,27,34,362,8,63,3696,13831,1.939033286065616,"D",1,6,65,39,0,14.7,3231.0
"인천광역시 강화군_2015",11,16,15,9,13,22,30,22,69,12,159,628,7415,0.2544838426941899,"B",0,2,20,14,0,12.3,832.0
"인천광역시 옹진군_2015",11,15,12,4,12,22,25,12,46,1,112,152,4315,0.2736742312025436,"B",0,1,1,1,0,2.8,58.0
"인천광역시 중구_2015",13,16,15,12,16,23,31,28,305,56,90,2008,17369,1.332929441255981,"D",3,0,45,36,1,16.6,1901.0
"인천광역시 동구_2015",13,17,16,12,18,24,32,28,470,26,68,1030,19106,0.49455991208452,"B",2,0,39,25,0,10.8,782.0
"인천광역시 미추홀구_2015",14,16,16,12,19,24,30,28,528,66,94,4453,28812,1.216975718565153,"C",2,8,205,114,2,0.0,0.0
"인천광역시 연수구_2015",14,15,15,14,21,22,30,29,587,81,86,4622,27353,4.785205611521492,"D",2,4,141,82,1,5.6,1784.0
"인천광역시 남동구_2015",14,15,15,13,19,23,30,29,346,27,101,9428,17682,3.133397232163686,"D",1,12,320,172,1,11.7,6236.0
"인천광역시 부평구_2015",14,16,16,12,21,23,31,29,515,21,114,6721,31906,2.410772760102505,"D",3,12,297,171,4,9.9,5510.0
"인천광역시 계양구_2015",14,9,10,13,22,13,22,30,48,1,260,4150,2524,3.905691987993825,"D",1,9,159,101,4,12.4,4161.0
"인천광역시 서구_2015",16,7,6,15,21,10,13,33,4,0,2611,9197,617,4.582645829427933,"D",5,8,205,118,2,10.8,5446.0
"전라남도 목포시_2015",13,16,15,12,17,25,29,28,515,34,44,3846,15755,1.328291997128509,"C",5,11,134,61,8,31.6,7540.0
"전라남도 여수시_2015",12,14,14,14,15,21,29,32,567,30,47,3282,15461,0.7976930156795098,"C",3,7,144,74,1,14.1,4100.0
"전라남도 순천시_2015",10,15,15,13,15,23,30,30,491,48,61,3616,16951,1.413895788519227,"D",5,17,123,79,8,21.0,5858.0
"전라남도 나주시_2015",10,10,7,8,14,16,20,17,65,3,84,794,3718,0.636493240793141,"C",1,3,53,22,1,40.7,4000.0
"전라남도 광양시_2015",11,13,14,14,14,21,29,32,263,12,65,1687,9083,2.226345411226049,"D",1,4,53,37,1,6.6,1013.0
"전라남도 담양군_2015",10,7,8,10,15,13,21,27,15,1,176,384,1398,0.1271758466230762,"A",0,2,24,10,0,33.4,1569.0
"전라남도 곡성군_2015",8,8,11,11,10,14,25,28,23,2,92,165,1046,0.1430364282836992,"A",0,1,12,8,0,13.7,421.0
"전라남도 구례군_2015",11,7,8,11,13,11,22,29,22,0,95,224,1064,0.219245104796222,"B",0,1,10,5,0,24.4,666.0
"전라남도 고흥군_2015",8,8,7,12,11,13,20,27,51,1,87,339,2204,0.0103465025435883,"A",2,1,36,12,0,21.1,1450.0
"전라남도 보성군_2015",8,6,8,11,9,11,20,25,34,1,78,267,1475,0.0154364105080236,"A",0,2,21,8,0,31.2,1415.0
"전라남도 화순군_2015",11,10,11,15,13,17,24,33,91,2,70,506,3269,0.1800373907484231,"B",1,3,28,15,0,61.2,4030.0
"전라남도 장흥군_2015",10,8,8,10,12,13,21,26,26,0,129,337,1606,0.215535206053176,"B",1,1,23,8,0,8.4,367.0
"전라남도 강진군_2015",7,7,7,11,9,12,19,27,30,0,100,173,1444,0,"A",0,3,18,6,0,10.6,411.0
"전라남도 해남군_2015",11,8,10,7,13,15,25,14,58,5,88,586,3072,0.0288737664554697,"A",1,3,37,17,0,22.6,1723.0
"전라남도 영암군_2015",11,10,8,10,14,16,20,24,48,1,103,554,2738,0.1292222376570698,"A",0,2,24,12,0,19.6,1138.0
"전라남도 무안군_2015",11,12,12,11,14,19,27,23,108,5,65,839,4341,0.513932664301234,"B",1,2,42,17,0,8.9,729.0
"전라남도 함평군_2015",8,7,6,7,10,12,18,20,18,2,103,151,1080,0.0872778509372439,"A",0,1,16,8,0,22.2,774.0
"전라남도 영광군_2015",10,9,8,12,13,15,21,31,58,3,68,447,2329,0.1156339960759402,"A",2,0,34,14,0,20.8,1168.0
"전라남도 장성군_2015",13,9,8,12,16,15,22,30,37,1,91,650,1976,0.1790835447798139,"B",0,2,18,9,0,24.3,1126.0
"전라남도 완도군_2015",12,7,7,8,14,13,19,25,34,3,126,625,2130,0.1389305932009247,"A",0,1,25,11,0,3.1,165.0
"전라남도 진도군_2015",11,7,4,2,14,12,14,8,22,0,67,297,1233,0.0662657608771602,"A",0,2,16,6,0,6.7,217.0
"전라남도 신안군_2015",7,4,4,5,9,7,12,16,7,0,290,214,995,0.0318601019634686,"A",0,3,11,5,0,4.8,209.0
"전북특별자치도 전주시_2015",12,16,16,16,17,25,33,34,3360,289,26,10228,39372,1.824347239831721,"D",5,36,423,242,15,24.8,16155.0
"전북특별자치도 군산시_2015",13,14,15,15,18,21,31,32,3360,289,9,3889,15896,0.934026043452818,"C",2,8,151,68,3,14.8,4128.0
"전북특별자치도 익산시_2015",11,13,15,14,16,20,31,30,3360,289,10,4449,16709,0.8224477568462696,"C",2,7,157,88,4,16.3,4911.0
