,행정구역,소멸위험지수,소멸위험등급
137,서울특별시 관악구_2015,1.8711148488837825,D
138,서울특별시 광진구_2015,2.6143361725284127,D
139,서울특별시 구로구_2015,1.6564135510025224,D
140,서울특별시 금천구_2015,1.4214325993206336,D
141,서울특별시 노원구_2015,1.8403437722606857,D
142,서울특별시 도봉구_2015,1.2935657312685476,C
143,서울특별시 동대문구_2015,1.1615103722978248,C
144,서울특별시 동작구_2015,1.5365143239798473,D
145,서울특별시 마포구_2015,2.104351660798661,D
146,서울특별시 서대문구_2015,1.2590933178034118,C
147,서울특별시 서초구_2015,2.7337222839002506,D
148,서울특별시 성동구_2015,1.7319638508895783,D
149,서울특별시 성북구_2015,1.342951990661072,D
150,서울특별시 송파구_2015,2.9802997654564196,D
151,서울특별시 양천구_2015,2.727172867188379,D
152,서울특별시 영등포구_2015,1.473837510611323,D
153,서울특별시 용산구_2015,1.0900241361912202,C
154,서울특별시 은평구_2015,1.3760664101490592,D
155,서울특별시 종로구_2015,0.9668910352245527,C
156,서울특별시 중구_2015,0.8436422732145479,C
157,서울특별시 중랑구_2015,1.4625886858766284,D
158,세종특별자치시_2015,3.333634781804432,D
159,울산광역시_2015,3.439005986145737,D
160,울산광역시 남구_2015,4.35771298478758,D
161,울산광역시 동구_2015,4.030839555645279,D
162,울산광역시 북구_2015,7.161515038047316,D
163,울산광역시 울주군_2015,1.9390332860656159,D
164,울산광역시 중구_2015,2.6226539241737834,D
165,인천광역시_2015,2.3877639904292836,D
166,인천광역시 강화군_2015,0.25448384269418994,B
167,인천광역시 계양구_2015,3.9056919879938254,D
168,인천광역시 남동구_2015,3.133397232163686,D
169,인천광역시 동구_2015,0.49455991208452005,B
170,인천광역시 미추홀구_2015,1.216975718565153,C
171,인천광역시 부평구_2015,2.4107727601025046,D
172,인천광역시 서구_2015,4.582645829427933,D
173,인천광역시 연수구_2015,4.785205611521492,D
174,인천광역시 옹진군_2015,0.27367423120254364,B
175,인천광역시 중구_2015,1.3329294412559811,D
176,전라남도_2015,0.4054474644566499,B
177,전라남도 강진군_2015,0.0,A
178,전라남도 고흥군_2015,0.01034650254358837,A
179,전라남도 곡성군_2015,0.14303642828369928,A
180,전라남도 광양시_2015,2.2263454112260495,D
181,전라남도 구례군_2015,0.21924510479622206,B
182,전라남도 나주시_2015,0.636493240793141,C
183,전라남도 담양군_2015,0.12717584662307627,A
184,전라남도 목포시_2015,1.3282919971285092,C
185,전라남도 무안군_2015,0.513932664301234,B
186,전라남도 보성군_2015,0.01543641050802367,A
187,전라남도 순천시_2015,1.4138957885192274,D
188,전라남도 신안군_2015,0.031860101963468654,A
189,전라남도 여수시_2015,0.7976930156795098,C
190,전라남도 영광군_2015,0.11563399607594028,A
191,전라남도 영암군_2015,0.1292222376570698,A
192,전라남도 완도군_2015,0.13893059320092474,A
193,전라남도 장성군_2015,0.1790835447798139,B
194,전라남도 장흥군_2015,0.215535206053176,B
195,전라남도 진도군_2015,0.06626576087716028,A
196,전라남도 함평군_2015,0.0872778509372439,A
197,전라남도 해남군_2015,0.0288737664554697,A
