,2015,2016,2017,2018,2019,2020,2021,2022,2023
경상남도 창녕군,0.25416446784723246,0.20838636322890897,0.18755437347707365,0.07308060290455257,0.0033686237883817777,0.012030971725594017,0.00609430856520856,-0.09929714740740146,-0.06537252357635431
경상남도 창원시,2.2368250666408382,1.9281212407931658,1.597886775575458,1.3779549038082333,1.0883632961019685,0.8770417110420186,0.7531439497339932,0.567923544286721,0.432379043243045
경상남도 통영시,0.8814825132934564,0.7515314536389724,0.5307562664357527,0.47783361810809055,0.3566142468533013,0.21282563508445695,0.15880172656831226,0.12619327620824822,0.09321448104865265
경상남도 하동군,0.33982461392881486,0.07024402887336945,0.036967208686410076,-0.09546494700073596,-0.043258414832263586,-0.23599963768899543,-0.14401329797931808,-0.059634935776955104,-0.060433867264728505
경상남도 함안군,0.4414867582719849,0.3444603273814777,0.23830524041529813,0.1419105705540029,0.06151963193389112,0.010901212556798823,-0.020687520371615503,0.0449111890228896,-0.022326345238783796
경상남도 함양군,0.10991646733482939,0.15710741884573215,0.17953948622290733,0.1530713666417872,0.06986775658877406,0.03156454788480134,0.007303593090895857,0.05663070881171512,-0.046794197880644
경상남도 합천군,-0.07715147532370431,-0.06910929055305834,-0.0520316351855153,-0.07219008863929308,0.003575789235648427,-0.11437118681721457,-0.04019758985788928,0.02914813473890003,-0.02641267618226827
경상북도,0.5790213774239135,0.5226298874680289,0.4481838211060118,0.38005948615189916,0.342663397576154,0.24971804477007553,0.27485736621383117,0.20245287943846935,0.17381803042427488
경상북도 경산시,1.2962890492808394,1.1376602950110448,1.017292968081094,0.9220093261194598,0.8390586141487374,0.6958885414689487,0.7222568830603164,0.5324691568802623,0.42724242295124165
경상북도 경주시,0.4797385942786771,0.4776959130936539,0.37775307438870187,0.35585450666239415,0.29340108701954876,0.23131941415652366,0.23146395695360536,0.18010332503435722,0.13881413624051034
경상북도 고령군,0.07006944631241786,0.09379884089098892,0.039189382223405386,-0.06202190822038661,-0.03705733219496257,-0.14006400970972172,-0.051885485804658314,0.11177726358101321,0.08568636918924616
경상북도 구미시,5.847614630678478,5.216373757052696,4.49992221359479,3.8267704530983493,3.186939644922659,2.5933412187245377,2.1459667202695387,1.7690501221662167,1.4865060284816933
경상북도 김천시,0.6257131218810944,0.5032829843800948,0.41405762245030603,0.22838189958751354,0.3148524809595508,0.23556710596400346,0.24817784140118113,0.19995441443643489,0.09706480558354816
경상북도 문경시,0.21379691578837362,0.087679006893148,0.021167821614539478,0.014225062809779254,0.22024358145992418,0.06778131833175333,0.12309657369738877,0.11640390190516961,-0.06204957042152638
경상북도 봉화군,0.09901899210982136,0.06385859601125415,0.05531724875516074,0.02559141829561993,-0.09524489129700114,-0.06928464381495328,-0.055395582257655424,-0.021166391256008478,-0.01585579379428575
