,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,출생아수,합계출산율,남녀성비,인구증가율,주민등록인구,가구수,일반공공행정예산비중,소멸위험지수,소멸위험등급
909,충청북도 옥천군_2018,10,10,8,12,14,15,18,27,29,2,140,542,2233,1,0,29,11,0,13,21.5,1107.0,87.9,86.9,172,0.894,101.4,-0.49,51465,20600,6.0,0.1568240389930503,A
910,충청북도 영동군_2018,9,7,6,9,13,12,15,23,43,1,69,351,1738,0,1,26,10,0,16,14.0,696.0,68.8,78.6,285,1.575,98.4,-0.94,49715,21157,8.0,0.0774438400746327,A
911,충청북도 증평군_2018,10,14,9,9,16,21,21,23,49,3,69,270,2094,0,3,20,8,0,7,12.5,465.0,97.1,99.9,324,1.506,106.3,-1.02,37317,15446,10.0,0.5975904651704705,C
912,충청북도 진천군_2018,9,13,9,10,16,19,21,24,81,6,96,750,4604,1,0,31,19,0,16,10.5,824.0,79.9,89.8,545,1.331,109.3,6.33,78218,33339,6.4,1.0884513182504518,C
913,충청북도 괴산군_2018,9,5,4,12,11,9,14,26,16,0,127,212,1065,0,2,9,5,0,5,10.1,396.0,50.4,66.1,101,0.847,103.7,0.45,39133,16986,5.3,0.1804383817111435,B
914,충청북도 음성군_2018,9,10,8,12,15,17,20,27,78,9,99,1035,4754,0,4,44,26,0,20,23.2,2228.0,62.7,86.8,538,1.158,111.6,-0.9,95830,42815,6.3,0.2994689382120622,B
915,충청북도 단양군_2018,4,6,6,12,7,10,18,27,14,0,199,133,1047,0,1,6,6,0,4,7.7,233.0,76.9,74.0,104,0.999,101.5,0.09,30255,12762,6.1,0.2145582626460613,B
916,세종특별자치시_2019,6,12,8,9,14,18,20,22,586,21,6,377,2107,2,1,276,1,2,79,4.2,1440.0,96.8,95.7,3819,1.472,99.5,8.53,340575,131679,6.2,3.529805663590829,D
917,경기도 수원시_2019,12,17,13,10,17,25,29,25,1880,172,64,18404,69546,4,33,721,445,4,353,10.0,11913.0,99.8,100.0,7791,0.89,101.4,-0.58,1194465,479379,7.3,2.520678611070315,D
918,경기도 성남시_2019,11,16,12,10,15,25,28,25,1829,129,43,9843,46942,7,17,784,468,4,343,10.6,10040.0,99.6,100.0,5808,0.852,98.0,-1.23,942724,371437,5.6,1.3733091822493488,D
919,경기도 안양시_2019,11,17,13,11,16,25,27,26,985,71,49,5974,28467,3,14,382,253,2,183,8.0,4508.0,100.0,100.0,3830,0.98,98.0,-1.67,567044,209927,12.3,1.4356366311034503,D
920,경기도 부천시_2019,12,16,12,9,16,24,27,24,1144,107,65,10081,41053,5,23,510,286,9,218,14.1,11726.0,99.9,100.0,4747,0.807,98.8,-1.43,829996,324811,6.2,1.4006614608878083,D
921,경기도 광명시_2019,11,15,13,10,15,25,28,26,516,31,66,3435,18420,1,5,204,114,0,81,6.8,2165.0,99.6,99.9,1827,0.84,97.7,-3.19,316552,118926,7.6,1.1962484185231892,C
922,경기도 평택시_2019,12,16,13,12,14,23,27,26,654,61,68,7281,30978,4,11,253,148,1,111,7.8,4022.0,82.5,99.9,3562,1.102,106.0,3.56,513027,208466,5.6,1.7613954443035509,D
923,경기도 안산시_2019,12,16,13,10,15,24,27,23,884,89,73,7360,34954,4,21,357,191,15,140,14.4,9388.0,99.1,99.8,3621,0.887,105.2,-1.36,650918,283124,17.9,2.3074477509629068,D
924,경기도 과천시_2019,9,16,13,9,11,25,28,22,76,3,74,316,2826,0,0,35,18,0,14,0.0,0.0,98.5,98.5,282,0.78,96.6,0.23,58289,19023,27.9,1.246853724441995,C
925,경기도 오산시_2019,13,17,14,12,16,25,31,27,271,12,99,5623,16571,2,6,103,71,1,41,12.0,2727.0,99.0,100.0,1709,1.04,106.8,2.86,226379,93117,9.2,3.5563248501938256,D
926,경기도 시흥시_2019,13,16,13,12,17,24,28,27,700,32,75,6022,29619,3,4,226,133,9,74,9.2,4367.0,97.6,99.9,3309,1.081,109.7,5.18,473682,198515,11.5,3.595574881921896,D
927,경기도 군포시_2019,12,15,13,11,16,24,28,26,403,33,67,3245,15126,2,3,140,2,0,68,8.3,2288.0,99.8,100.0,1985,1.046,98.5,-0.36,275852,104573,16.7,1.6261634727673622,D
928,경기도 의왕시_2019,11,15,12,10,15,23,27,22,168,7,72,1485,7490,0,2,61,45,0,30,11.7,1882.0,99.5,99.9,923,0.924,99.4,4.68,161153,57588,8.4,1.6629101057863382,D
929,경기도 하남시_2019,14,17,13,9,18,25,28,21,305,12,81,3048,16083,0,7,148,76,0,58,4.7,1267.0,96.0,98.5,1981,0.975,101.1,7.0,272455,102261,7.6,2.0342265821127183,D
930,경기도 용인시_2019,13,16,14,12,16,25,30,28,1865,59,66,15584,70018,3,10,497,321,2,228,7.6,8101.0,92.9,99.2,6463,0.936,98.6,2.38,1059609,379061,7.6,1.8423639201073208,D
931,경기도 이천시_2019,12,15,12,10,13,23,26,24,352,28,65,2490,13184,1,4,106,56,0,44,10.8,2332.0,92.1,98.8,1359,0.991,106.4,0.8,215834,83144,32.5,1.2301179096652082,C
932,경기도 안성시_2019,12,13,12,11,13,20,26,25,214,19,80,2487,10917,2,2,72,48,0,33,11.9,2174.0,77.7,92.9,1001,1.002,105.7,0.13,183405,79302,5.7,0.6572515163952241,C
933,경기도 김포시_2019,13,18,14,12,17,26,30,27,724,38,69,10084,31544,2,15,200,131,6,94,9.0,3940.0,90.1,95.1,3160,1.016,100.9,3.28,437221,162871,7.4,1.977163981051243,D
934,경기도 화성시_2019,14,17,15,13,16,25,31,30,1340,59,75,17442,63581,3,12,332,204,3,148,6.5,5286.0,85.1,100.0,7158,1.199,107.5,7.25,815396,312599,8.4,4.152073954486019,D
935,경기도 광주시_2019,12,18,14,11,15,27,29,25,398,10,81,2550,19866,1,2,131,75,0,69,5.7,2119.0,96.1,91.7,2662,1.043,104.9,2.34,372654,141279,8.3,1.6923513670266968,D
