행정구역(시군구)별,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울특별시 도봉구,-0.06902691160663973,-0.0807561652976645,-0.09970559661161325,-0.11226259917496947,-0.1510626691386817,-0.16925272930681173,-0.14570124518144914,-0.11679844727954465,-0.12355273716702943
서울특별시 노원구,-0.12923810739615868,-0.1165011509104752,-0.19773895038875922,-0.16201449466426138,-0.1746471376058752,-0.13085274664826715,-0.15338668022805796,-0.09557759523578872,-0.08562144145630644
서울특별시 은평구,-0.03523238044937011,-0.10226345070925569,-0.07374555283896783,-0.05799852702898517,-0.046757742962768606,0.0026093413437484557,-0.05656553079049864,-0.06102590213712919,0.02296874467590695
서울특별시 서대문구,0.010171963551268896,0.01674811517444679,-0.03546212508095359,-0.05561876392125882,-0.02051886805312113,0.05315423184480486,-0.10231709808291974,0.08577849353736142,0.011272077505183588
서울특별시 마포구,-0.010714040347298023,-0.15018381708036005,-0.10240084357284153,-0.01391636500315168,-0.030802083986497253,-0.03636171109969338,-0.009396270220771542,-0.048061069675330186,-0.015127575477340548
서울특별시 양천구,-0.05883063133441558,-0.12921682947623886,-0.13518841271581739,-0.13414041580225392,-0.12122610921695477,-0.05966857289787486,-0.09522415061390574,-0.10139658622748204,-0.09384272845002259
서울특별시 강서구,0.001089342007726379,0.03008756948165015,0.04227001654582217,-0.07569999854565397,-0.07999372211544883,-0.132709648631114,-0.04590000533015467,-0.0478757165121038,-0.08227942266974277
서울특별시 구로구,-0.11490865008647361,-0.12420407432441022,-0.15840079048480715,-0.13582048623217094,0.020746293010570276,-0.05027117410577426,-0.1304125627755004,-0.010839193333212076,-0.06693948267510938
서울특별시 금천구,-0.09106752384410728,-0.04645222909987995,-0.019584929620102016,-0.049474751267614914,-0.039676224852624294,-0.03328323060746579,0.017423718964830633,-0.007170858346944928,-0.061601596612070424
서울특별시 영등포구,-0.10831190463011454,-0.15776520044299597,-0.053128822533334216,-0.036832891959498286,-0.02395729856658314,0.14613837996873943,-0.008925622034710853,-0.0054268165224697846,-0.018726084580921974
서울특별시 동작구,-0.131880707215423,-0.027001373056570594,-0.09432675835885826,-0.015335198848620522,-0.014267985421386038,-0.07687949385100475,-0.061180140524565656,-0.05908999167161133,-0.02823840948209328
서울특별시 관악구,-0.06283234078120709,-0.053178071608234255,-0.050106029066064574,-0.021731785660558018,-0.02328867311437271,-0.04888655925955739,-0.06423835688070156,0.04038636956352033,-0.046393005391753846
서울특별시 서초구,-0.0848359419712701,-0.04377310130496321,-0.1087995575119004,-0.11179720163029606,-0.06567271625193243,-0.08626138821600648,-0.1545869204188205,-0.11222260001168427,0.05282002460507136
서울특별시 강남구,-0.053684547510987085,-0.1332416528835105,-0.133223245587585,-0.15342530113609215,0.019453995671760538,-0.06357424835078808,-0.04188178435274499,-0.019759409755474938,0.1735228701987941
서울특별시 송파구,-0.08772848226739793,-0.06410396794452682,0.03410933069908373,-0.004206458070236836,0.0582197501489727,-0.0853663953908989,-0.07744967357703271,0.024381941752685155,-0.05699409359532473
서울특별시 강동구,-0.24508235248461288,-0.21821692434229825,-0.10685544621261281,-0.1499525208486222,0.1097925154037512,0.2592607520967587,0.04516053568160727,-0.023621393573119164,-0.013783572170116807
부산광역시,-0.02639255895993358,-0.045550772025207936,-0.06267162845214742,-0.06232654504407521,-0.05517471099277299,-0.02875333979356823,-0.041940639523048225,-0.034721852472579945,-0.0309008415180222
