,행정구역,2015,2016,2017,2018,2019,2020,2021
34,경기도 안산시,4.634025584497635,4.1614196558306,3.3992778613835113,2.755025031850655,2.3074477509629068,2.0454704342225454,1.6633446757650134
35,경기도 안성시,0.9552066815703866,1.0794436140671269,0.8500933251642105,0.7950715219541458,0.6572515163952241,0.734264923743047,0.640829074110837
36,경기도 안양시,2.8188522413958963,2.6240291818106054,2.1351625580169227,1.753183527740615,1.4356366311034505,1.0707934230335763,1.0839844047726863
37,경기도 양주시,1.586111851090338,1.3835495788453673,1.4161272475458504,1.2263689933020576,1.115892285776265,1.0692283387597141,0.9369358343692735
38,경기도 양평군,0.5513845430961003,0.5325897120146721,0.5551287502960567,0.3459263033662623,0.29999637484196123,0.3430974248760288,0.3706407531898126
39,경기도 여주시,0.6674322266808987,0.6195251419151536,0.5490882757434523,0.420816676247546,0.35307462238698695,0.3991071661077208,0.34273586953221935
40,경기도 연천군,0.34231027486958443,0.29207802229842345,0.15987148558625974,0.06989676814963092,0.04539772753655051,0.12505432130663305,0.06896239912221266
41,경기도 오산시,5.336184782631133,5.020793537914268,4.476207830088827,4.089925407944256,3.5563248501938256,2.9462406306463875,2.4308914068323557
42,경기도 용인시,2.6927401408249017,2.5185053847074026,2.187556191385997,2.0783468151391906,1.8423639201073212,1.5464452625651146,1.3031268074521583
43,경기도 의왕시,2.4717679435098914,2.1986749564479373,1.7915739907786399,1.4296876387787865,1.6629101057863382,1.331656713045124,1.0300116374018002
44,경기도 의정부시,1.809732492231082,1.693619701351901,1.4828720842362684,1.376972652017308,1.205636292112451,1.1139963313404302,0.9463829751690753
45,경기도 이천시,1.6932241785483333,1.8332022307541436,1.5691450525476662,1.3561835905731376,1.2301179096652082,1.1252899344451064,1.1062158699991158
46,경기도 파주시,1.9366955281775633,1.8035430165782544,1.6458132551632751,1.6430539770670627,1.3089914387825061,1.308311630908621,1.3354742783611782
47,경기도 평택시,2.160819079793824,2.086489717417375,1.9295162844036926,1.8570998824721123,1.7613954443035507,1.7159147740084462,1.7067124968114475
48,경기도 포천시,0.7490193703750927,0.7052181077233276,0.5281845539086387,0.4195022523283684,0.31628659990363006,0.32021430536680345,0.4509316345762748
49,경기도 하남시,2.3184066634907414,2.9217676370163383,2.4134411437231216,2.2076571879772793,2.0342265821127183,1.9601272860797498,1.9718898827977418
50,경기도 화성시,4.468961816399332,4.472124456855936,4.367387742033771,4.40048813365106,4.152073954486019,3.6763198330605196,3.293369102808681
51,경상남도,1.1448952538324948,1.0404057025350442,0.9169243522174465,0.7893661786300575,0.6697103918785204,0.5369224494436422,0.45514775522592904
52,경상남도 거제시,4.179102596792757,3.7152058878532244,3.037757382320815,2.567820944664317,2.1402993197789897,1.691419220216338,1.2819055036326488
53,경상남도 거창군,0.32548716037312164,0.28229414946809067,0.16109180966633116,0.20230707079594462,0.18772666105386476,0.09192488624239117,0.15620098855983783
