시도별,하수도보급률,상수도보급률
대전광역시 중구,99.4,100
대전광역시 서구,99.2,99.91
대전광역시 유성구,91.8,99.81
대전광역시 대덕구,99.6,99.96
부산광역시 중구,100,100
부산광역시 서구,100,100
부산광역시 동구,100,100
부산광역시 영도구,100,100
부산광역시 부산진구,100,100
부산광역시 동래구,100,100
부산광역시 남구,100,100
부산광역시 북구,100,100
부산광역시 해운대구,100,100
부산광역시 사하구,100,100
부산광역시 금정구,100,100
부산광역시 강서구,94.07,100
부산광역시 연제구,100,100
부산광역시 수영구,100,100
부산광역시 사상구,100,100
부산광역시 기장군,90.28,100
서울특별시 종로구,100,100
서울특별시 중구,100,100
서울특별시 용산구,100,100
서울특별시 성동구,100,100
서울특별시 광진구,100,100
서울특별시 동대문구,100,100
서울특별시 중랑구,100,100
서울특별시 성북구,100,100
서울특별시 강북구,100,100
서울특별시 도봉구,100,100
서울특별시 노원구,100,100
서울특별시 은평구,100,100
서울특별시 서대문구,100,100
서울특별시 마포구,100,100
서울특별시 양천구,100,100
서울특별시 강서구,100,100
서울특별시 구로구,100,100
서울특별시 금천구,99,100
서울특별시 영등포구,100,100
서울특별시 동작구,100,100
서울특별시 관악구,100,100
서울특별시 서초구,100,100
서울특별시 강남구,100,100
서울특별시 송파구,100,100
서울특별시 강동구,100,100
세종특별자치시,95.6,92.5
울산광역시 중구,99.8,100
울산광역시 남구,99.9,100
울산광역시 동구,99.9,99.9
울산광역시 북구,99,99.9
울산광역시 울주군,96.2,92.3
인천광역시 강화군,31.3,72.5
인천광역시 옹진군,43.1,25.3
인천광역시 중구,87.2,99.5
인천광역시 동구,98.3,100
인천광역시 미추홀구,100,100
인천광역시 연수구,99.6,100
인천광역시 남동구,99.2,100
인천광역시 부평구,100,100
인천광역시 계양구,99.2,100
인천광역시 서구,98.6,99.9
전라남도 목포시,98,99.8
전라남도 여수시,84,92.4
전라남도 순천시,91.5,96
전라남도 나주시,68.2,81.6
전라남도 광양시,92.7,87.1
전라남도 담양군,73.3,78.8
전라남도 곡성군,77.5,79
전라남도 구례군,89.2,73.9
전라남도 고흥군,57.5,73.1
전라남도 보성군,57.3,57
전라남도 화순군,78.8,87.7
전라남도 장흥군,59.7,83.8
전라남도 강진군,60.3,63.1
전라남도 해남군,51.5,73.9
전라남도 영암군,72.8,85.7
전라남도 무안군,65,98.6
전라남도 함평군,63.9,87.2
전라남도 영광군,55.9,93.6
전라남도 장성군,60.3,91.7
전라남도 완도군,58.8,96.4
전라남도 진도군,59.9,99.1
전라남도 신안군,31.2,89.8
전북특별자치도 전주시,99,100
전북특별자치도 군산시,93,98.9
전북특별자치도 익산시,90,99.4
전북특별자치도 정읍시,78,98.8
전북특별자치도 남원시,82,92
전북특별자치도 김제시,63,100
전북특별자치도 완주군,84,80.3
전북특별자치도 진안군,78,83.8
전북특별자치도 무주군,76,81
전북특별자치도 장수군,83,86.3
전북특별자치도 임실군,64,88.8
전북특별자치도 순창군,52,79.4
전북특별자치도 고창군,67,99.6
전북특별자치도 부안군,71,99.9
제주특별자치도 제주시,92.4,100
제주특별자치도 서귀포시,93.4,100
충청남도 천안시,96.3,99.1
충청남도 공주시,72.1,96.2
충청남도 보령시,76,98
충청남도 아산시,82,99.8
충청남도 서산시,75.1,98
충청남도 논산시,73.1,93.4
충청남도 계룡시,97.1,99.4
충청남도 당진시,64.4,94.9
충청남도 금산군,78,92.2
충청남도 부여군,59.7,92.6
충청남도 서천군,53.7,95.4
충청남도 청양군,51.8,92.7
충청남도 홍성군,71.1,98.7
충청남도 예산군,56.3,92.4
충청남도 태안군,58,87.6
충청북도 청주시,93.1,97.1
충청북도 충주시,92.1,92
충청북도 제천시,93.2,94
충청북도 보은군,71,52.3
충청북도 옥천군,87.9,86.9
충청북도 영동군,68.8,78.6
충청북도 증평군,97.1,99.9
충청북도 진천군,79.9,89.8
충청북도 괴산군,50.4,66.1
충청북도 음성군,62.7,86.8
충청북도 단양군,76.9,74
서울특별시,0,0
인천광역시,0,0
경기도,0,0
강원도,0,0
충청남도,0,0
충청북도 ,0,0
대전광역시,0,0
전북특별자치도,0,0
전라남도,0,0
광주광역시,0,0
경상북도,0,0
대구광역시,0,0
경상남도,0,0
울산광역시,0,0
부산광역시,0,0
제주특별자치도,0,0
